main_topic;cloze_test;translation;hint;extra
Wohn-Insel Gegenwart;{{c1::Hoy limpio la habitación más grande de la casa}}.;"Heute putze ich das größte Zimmer des Hauses.";Nutze die 1. Person Singular Präsens von limpiar kombiniert mit dem Komparativ und dem Genitiv de la casa.;Habitación ist weiblich laut D-IÓ-A-Z-Regel. Hier siehst du auch das Komparativ-Muster aus Satzmuster 28.
Wohn-Insel Zukunft;{{c1::Mañana voy a trabajar en el jardín hermoso}}.;"Morgen werde ich im schönen Garten arbeiten.";Bilde die Zukunft mit dem periphrastischen Futur voy a vor dem Ausdruck en el jardín hermoso.;Hier greift das zukunftsorientierte Baukastensystem aus Satzmuster 11. Jardín ist maskulin laut LONERS.
Wohn-Insel Abgeschlossene Vergangenheit;{{c1::Ayer Carlos compró una casa nueva en el centro}}.;"Gestern hat Carlos ein neues Haus im Zentrum gekauft.";Nutze das Zeitsignal ayer vor der 3. Person Singular des Indefinidos von comprar (compró) mit Akzent.;Ayer fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14). Centro ist maskulin.
Wohn-Insel Gewohnheit Vergangenheit;{{c1::Antes vivía en una ciudad tranquila y limpia}}.;"Früher wohnte ich in einer ruhigen und sauberen Stadt.";Bilde die andauernde Vergangenheit im Imperfekt (vivía) nach dem Zeitsignal antes (früher).;Gewohnheiten oder Beschreibungen in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15). Ciudad ist weiblich.
Wohn-Insel Frist;{{c1::Las llaves para la casa son para el próximo lunes}}.;"Die Schlüssel für das Haus sind für nächsten Montag fällig.";Nutze die Zeit-Fristen-Präposition para vor dem maskulinen Wochentag el próximo lunes.;Deadlines und feste Termine in der Zukunft werden immer mit para eingeleitet (Satzmuster 23). Llave ist weiblich.
Wohn-Insel Dauer;{{c1::Nosotros vamos a alquilar la habitación por seis meses}}.;"Wir werden das Zimmer für sechs Monate mieten.";Nutze die Dauer-Präposition por vor dem Zeitraum seis meses im periphrastischen Futur.;Zeiträume und Dauern einer Aktivität werden im Spanischen starr mit por verknüpft (Satzmuster 23).
Wohn-Insel Perfekt;{{c1::Este año hemos plantado hermosas flores en el jardín}}.;"Dieses Jahr haben wir schöne Blumen im Garten gepflanzt.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos plantado nach dem Signal este año.;Zeiträume, die noch zur Gegenwart gehören (dieses Jahr), fordern das Perfekt (Satzmuster 24). Jardín ist maskulin.
Wohn-Insel Einfache Verneinung;{{c1::Nunca dejo las ventanas abiertas por la noche}}.;"Nie lasse ich die Fenster nachts offen.";Bilde die einfache Verneinung, indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca vor dem Verb, fällt das zusätzliche no komplett weg (Satzmuster 25). Tageszeiten nutzen starr por (Muster 23).
Wohn-Insel Abstraktes Nomen;{{c1::Lo hermoso de la casa es el gran jardín}}.;"Das Schöne an dem Haus ist der große Garten.";Bilde das abstrakte Substantiv das Schöne mit lo hermoso kombiniert mit de la casa.;Das neutrale lo wandelt das Adjektiv sofort in ein abstraktes Nomen um (Satzmuster 26).
Wohn-Insel Relativsatz;La casa {{c1::que Carlos compró en el centro es roja}}.;"Das Haus, das Carlos im Zentrum gekauft hat, ist rot.";Verknüpfe den Nebensatz flüssig mit dem Relativpronomen-Allrounder que vor Carlos und dem Indefinido-Verb.;Das Wörtchen que reicht für 90 % aller spanischen Relativsätze völlig aus (Satzmuster 27).
Wohn-Insel Vergleich;Este jardín {{c1::es más grande que el de mi vecino}}.;"Dieser Garten ist größer als der meines Nachbarn.";Bilde den Komparativ mit der starren Baukasten-Formel más ... que vor el de mi vecino.;Das Adjektiv grande bleibt in seiner Grundform und wird beim Steigern nicht verändert (Satzmuster 28).
Wohn-Insel Bedingungssatz;Si {{c1::el sol brilla, abro la ventana de la habitación}}.;"Wenn die Sonne scheint, öffne ich das Zimmerfenster.";Bilde den realen Konditional im Hier und Jetzt nach der Formel Si + Präsens, Präsens.;Hier verbindet sich das Si-Muster mit dem weiblichen Genitiv de la habitación (Satzmuster 2 und 29).
Wohn-Insel Begleitung;¿{{c1::Quieres ver la nueva casa conmigo esta tarde}}?;"Möchtest du heute Nachmittag mit mir das neue Haus anschauen?";Bilde die Frage im Präsens für du kombiniert mit dem unregelmäßigen Spezialwort conmigo.;Trifft con auf das Pronomen für ich, verschmelzen sie starr zu conmigo (Satzmuster 30).
Wohn-Insel Subjunktiv;Espero {{c1::que la habitación tenga una cama cómoda}}.;"Ich hoffe, dass das Zimmer ein bequemes Bett hat.";Bilde den Subjunktiv Präsens für die 3. Person von tener (tenga) nach der Hoffnung espero que.;Hoffnungen lösen im spanischen Nebensatz starr den Subjunktiv aus (Satzmuster 17). Cama ist weiblich.
Wohn-Insel Höfliche Frage;¿{{c1::Usted sabe dónde están las llaves del hotel}}?;"Wissen Sie (Sg. höflich), wo die Hotelschlüssel sind?";Bilde die Frage mit usted sabe vor dem Ortsausdruck dónde están und der Genitiv-Verschmelzung del hotel.;Usted nutzt immer die Verbformen der 3. Person Einzahl (Satzmuster 18). Ortsangaben verlangen estar.
Wohn-Insel Vorliebe;{{c1::Me gusta mucho caminar por el centro de la ciudad}}.;"Ich gehe sehr gerne durch das Stadtzentrum spazieren.";Wende das psychologische Muster me gusta mucho vor dem Infinitiv caminar por an.;Da eine Handlung folgt, bleibt gustar starr in der Singularform stehen (Satzmuster 19). por beschreibt die Bewegung durch einen Ort.
Wohn-Insel Personen markieren;{{c1::Recibo a los nuevos vecinos con una sonrisa}}.;"Ich empfange die neuen Nachbarn mit einem Lächeln.";Setze das zwingende persönliche a vor die maskuline Pluralgruppe der Personen (a los nuevos vecinos).;Menschen als direktes Akkusativ-Objekt verlangen starr das persönliche A (Satzmuster 20).
Wohn-Insel Routine;Siempre {{c1::me quedo en casa cuando el día está frío}}.;"Ich bleibe immer zu Hause, wenn der Tag kalt ist.";Nutze das Präsens des reflexiven Verbs quedarse (bleiben) kombiniert mit dem Zustandsverb está.;Das Reflexivpronomen me steht ganz starr direkt vor dem Verb (Satzmuster 21). Wetterzustände nutzen estar (Muster 16).
Wohn-Insel Unpersönlich;Aquí {{c1::se construyen casas modernas con jardines hermosos}}.;"Hier werden moderne Häuser mit schönen Gärten gebaut.";Bilde den unpersönlichen Passiv-Ersatz mit se vor dem Plural-Verb construyen passend zu casas modernas.;Da die Häuser im Plural stehen, wandert auch das Verb zwingend in den Plural (Satzmuster 22).
Wohn-Insel Zweck von etwas;Esta llave {{c1::es para la puerta principal del edificio}}.;"Dieser Schlüssel ist für die Haupttür des Gebäudes bestimmt.";Nutze die Zweck-Präposition para kombiniert mit der Genitiv-Verschmelzung del edificio.;Para markiert den Verwendungszweck. Edificio (Gebäude) ist maskulin laut LONERS (Satzmuster 2 und 23).
Wohn-Insel Perfekt Vergangenheit;Hoy {{c1::hemos abierto todas las ventanas para el aire fresco}}.;"Heute haben wir alle Fenster für die frische Luft geöffnet.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos und dem unregelmäßigen Partizip abierto.;Abrir bildet das Partizip unregelmäßig auf abierto (Satzmuster 24). Aire ist maskulin laut LONERS.
Wohn-Insel Doppelte Verneinung;{{c1::No hay ningún árbol grande en este jardín}}.;"Es gibt keinerlei großen Baum in diesem Garten.";Bilde die doppelte Verneinung mit no hay vor dem maskulinen ningún mit Akzent vor árbol.;Ninguno verliert vor männlichen Singular-Nomen das o (Satzmuster 25). Árbol ist maskulin laut LONERS.
Wohn-Insel Höfliche Bitte;{{c1::Muéstreme la oficina del director por favor}}.;"Zeigen Sie mir bitte das Büro des Direktors.";Bilde den bejahenden höflichen Imperativ für Sie (muestre) mit angehängtem Dativpronomen me und del director.;Beim bejahenden Imperativ (Satzmuster 18) werden Pronomen unzertrennlich hinten angehängt.
Wohn-Insel Ortsbeschreibung;{{c1::Pasamos la tarde disfrutando de la naturaleza limpia}}.;"Wir verbringen den Nachmittag damit, die saubere Natur zu genießen.";Nutze das Präsens für wir kombiniert mit dem regelmäßigen Gerundium von disfrutar (disfrutando) + de.;Disfrutar verlangt oft de vor dem Objekt. Gerundium greift (Satzmuster 13). Naturaleza ist weiblich.
Wohn-Insel Dank;Gracias {{c1::por abrir la puerta de tu casa para nosotros}}.;"Danke, dass du die Tür deines Hauses für uns geöffnet hast.";Nutze die Ursachen-Präposition por direkt nach dem Dankeschön und dem Genitiv de tu casa.;Nach gracias steht im Spanischen starr por, weil die Handlung die Ursache für den Dank ist (Satzmuster 23).
Wohn-Insel Verlaufsform;El agua del río {{c1::está corriendo rápido por el valle}}.;"Das Flusswasser fließt gerade schnell durch das Tal.";Bilde die aktuelle Verlaufsform mit está und dem regelmäßigen Gerundium von correr (corriendo).;Hier siehst du die Verlaufsform (Satzmuster 13) kombiniert mit der Ortsbewegung por. Río und valle sind maskulin.
Wohn-Insel Ortsbeschreibung;{{c1::La oficina de mi padre está al lado del parque}}.;"Das Büro meines Vaters liegt neben dem Park.";Bilde die Ortsangabe mit der Präpositionsverbindung al lado del vor dem maskulinen Nomen parque.;Für feste Positionen gilt immer das Verb estar (Satzmuster 16). Verschmelzung de + el = del.
Wohn-Insel Meinung;{{c1::Para mí vivir cerca de la naturaleza es lo mejor}}.;"Für mich (Meiner Meinung nach) ist es das Beste, in der Nähe der Natur zu leben.";Nutze das Meinungssignal para mí am Satzanfang kombiniert mit der unregelmäßigen Steigerung lo mejor.;Para mí drückt eine persönliche Sichtweise aus (Satzmuster 23). Vivir und lo mejor nutzen das neutrale Muster.
Wohn-Insel Zustand;La puerta del jardín {{c1::va a estar cerrada para la noche}}.;"Die Gartentür wird bis heute Abend geschlossen sein.";Nutze das periphrastische Futur van a estar vor dem weiblichen Adjektiv/Partizip cerrada und der Frist para.;Cerrada passt sich an la puerta an. Para la noche markiert den zeitlichen Endpunkt (Satzmuster 11, 16 und 23).
Wohn-Insel Gegenwart;{{c1::Hoy abro la puerta del jardín para dejar entrar el sol}}.;"Heute öffne ich die Gartentür, um die Sonne hereinzulassen.";Nutze die 1. Person Singular Präsens von abrir kombiniert mit der Genitiv-Verschmelzung del.;Puerta ist weiblich, jardín und sol sind maskulin laut LONERS-Regel. del entsteht aus de + el.
Wohn-Insel Zukunft;{{c1::Mañana vamos a ver un apartamento moderno en el centro}}.;"Morgen werden wir eine moderne Wohnung im Zentrum besichtigen (sehen).";Bilde die Zukunft mit dem periphrastischen Futur voy a -> vamos a vor den Infinitiven ver un apartamento.;Hier greift das zukunftsorientierte Baukastensystem aus Satzmuster 11. Apartamento und centro sind maskulin.
Wohn-Insel Abgeschlossene Vergangenheit;{{c1::Ayer Luis reparó la ventana de la cocina}}.;"Gestern hat Luis das Küchenfenster repariert.";Nutze das Zeitsignal ayer vor der 3. Person Singular des Indefinidos von reparar (reparó) mit Akzent.;Ayer fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14). Ventana und cocina sind weiblich.
Wohn-Insel Gewohnheit Vergangenheit;{{c1::Antes pasábamos los veranos en una casa de campo}}.;"Früher verbrachten wir die Sommer in einem Landhaus.";Bilde die andauernde Vergangenheit im Imperfekt für wir (pasábamos) nach dem Zeitsignal antes.;Gewohnheiten in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15). Verano und campo sind maskulin, casa ist weiblich.
Wohn-Insel Frist;{{c1::El diseño del jardín es para el próximo mes}}.;"Die Gestaltung des Gartens ist für nächsten Monat geplant.";Nutze die Zeit-Fristen-Präposition para vor dem maskulinen Zeitraum el próximo mes.;Deadlines und feste Termine in der Zukunft werden immer mit para eingeleitet (Satzmuster 23).
Wohn-Insel Dauer;{{c1::Ellos van a vivir en esta ciudad por un año}}.;"Sie werden für ein Jahr in dieser Stadt leben.";Nutze die Dauer-Präposition por vor dem Zeitraum un año im periphrastischen Futur.;Zeiträume und Dauern einer Aktivität werden starr mit por verknüpft (Satzmuster 23).
Wohn-Insel Perfekt;{{c1::Este fin de semana hemos pintado la habitación de los niños}}.;"Dieses Wochenende haben wir das Kinderzimmer gestrichen (gemalt).";Bilde das gegenwartsorientierte Perfekt für wir mit hemos pintado nach dem Signal este fin de semana.;Fin de semana ist maskulin laut LONERS-Regel. Das Perfekt (Satzmuster 24) ist unzertrennlich.
