main_topic;cloze_test;translation;hint;extra
Verb estar Präsens (1. Sg. - Ort);Yo {{c1::estoy}} en la oficina ahora.;Ich bin jetzt im Büro.;Bilde die 1. Person Singular von estar (ich bin) im Präsens für eine Ortsangabe.;Ortsangaben werden im Spanischen immer mit estar ausgedrückt.
Verb estar Präsens (1. Sg. - Gefühl);Yo {{c1::estoy}} muy cansado hoy.;Ich bin heute sehr müde.;Bilde die 1. Person Singular von estar (ich bin) im Präsens für einen Zustand.;Vorübergehende körperliche oder mentale Zustände verlangen estar.
Verb estar Präsens (1. Sg. - Beziehungsstatus);Actualmente yo {{c1::estoy}} soltero.;Momentan bin ich ledig.;Bilde die 1. Person Singular von estar (ich bin) im Präsens.;Der Familienstand (soltero, casado, divorciado) wird meist mit estar gebildet.
Verb estar Präsens (1. Sg. - Verlaufsform);Yo {{c1::estoy}} leyendo un libro bueno.;Ich lese gerade ein gutes Buch.;Bilde die 1. Person Singular von estar für die Verlaufsform (estar + Gerundium).;Das Gerundium von leer lautet unregelmäßig leyendo (mit y).
Verb estar Präsens (1. Sg. - Meinung/Dafür sein);Yo {{c1::estoy}} a favor de tu propuesta.;Ich bin für deinen Vorschlag.;Bilde die 1. Person Singular von estar (ich bin) im Präsens.;"Estar a favor de" ist eine feste Struktur für "dafür sein".
Verb estar Präsens (2. Sg. - Ort);¿Dónde {{c1::estás}} tú en este momento?;Wo bist du in diesem Moment?;Bilde die 2. Person Singular von estar (du bist) im Präsens. Denke an den Akzent!;Die Form estás hat einen obligatorischen Akzent auf dem a.
Verb estar Präsens (2. Sg. - Gesundheit);Tú {{c1::estás}} enfermo desde ayer.;Du bist seit gestern krank.;Bilde die 2. Person Singular von estar (du bist) im Präsens für den Gesundheitszustand.;Gesundheitszustände gelten als vorübergehend und nutzen estar.
Verb estar Präsens (2. Sg. - Bereitschaft);Tú ya {{c1::estás}} listo para salir.;Du bist schon fertig (bereit) um auszugehen.;Bilde die 2. Person Singular von estar (du bist) im Präsens.;Listo mit estar bedeutet "fertig/bereit" (mit ser bedeutet es "klug").
Verb estar Präsens (2. Sg. - Verlaufsform);¿Tú qué {{c1::estás}} haciendo ahora?;Was machst du gerade?;Bilde die 2. Person Singular von estar für die aktuelle Verlaufsform.;Haciendo ist das Gerundium des Verbs hacer (machen/tun).
Verb estar Präsens (2. Sg. - Zustand);Tú {{c1::estás}} muy equivocado con eso.;Du bist dir damit sehr im Irrtum (du liegst sehr falsch).;Bilde die 2. Person Singular von estar (du bist) im Präsens.;"Estar equivocado" bedeutet im Irrtum sein oder falschliegen.
Verb estar Präsens (3. Sg. - Ort);El hospital {{c1::está}} cerca del centro.;Das Krankenhaus ist in der Nähe des Zentrums.;Bilde die 3. Person Singular von estar (es ist) im Präsens mit Akzent.;Cerca de bedeutet "in der Nähe von". De und el verschmelzen zu del.
Verb estar Präsens (3. Sg. - Zustand Sache);La comida ya {{c1::está}} fría.;Das Essen ist schon kalt.;Bilde die 3. Person Singular von estar (es ist) im Präsens.;Zustände von Lebensmitteln (kalt, warm, gekocht) verlangen estar.
Verb estar Präsens (3. Sg. - Zustand Person);Ella {{c1::está}} muy triste por la noticia.;Sie ist sehr traurig wegen der Nachricht.;Bilde die 3. Person Singular von estar (er/sie ist) im Präsens.;Emotionen wie Trauer oder Freude werden im Moment mit estar beschrieben.
Verb estar Präsens (3. Sg. - Verlaufsform);El agua {{c1::está}} hirviendo ahora.;Das Wasser kocht gerade (ist am Kochen).;Bilde die 3. Person Singular von estar für die Verlaufsform im Präsens.;Agua ist weiblich (las aguas), nutzt im Singular aber den männlichen Artikel el wegen des betonten "a".
Verb estar Präsens (3. Sg. - Abwesenheit);El director no {{c1::está}} en su despacho.;Der Leiter ist nicht in seinem Büro.;Bilde die 3. Person Singular von estar (er/sie ist) im Präsens.;Despacho bedeutet Büro oder Arbeitszimmer.
