main_topic;cloze_test;translation;hint;extra
"Plural auf -s (maskulin)";"{{c1::Los días son hermosos}}.";"Die Tage sind wunderschön.";"Setze den Artikel (el), das Nomen (día) und das Adjektiv (hermoso) synchron in den maskulinen Plural auf -s.";"Achtung: Obwohl 'día' auf -a endet, ist es eine maskuline Ausnahme aus der LONERS-Regel!"
"Plural auf -es (maskulin)";"{{c1::Los perros son marrones}}.";"Die Hunde sind braun.";"Bilde den Plural. Achtung: Das Adjektiv 'marrón' endet auf einen Konsonanten und braucht daher die Endung -es.";""
"Plural auf -s (maskulin)";"{{c1::Los sueños son grandes}}.";"Die Träume sind groß.";"Setze den Satz in den Plural. Das Adjektiv 'grande' endet auf -e und bekommt im Plural nur ein einfaches -s.";"Das Adjektiv 'grande' bleibt für männliche und weibliche Nomen in der Form gleich (unveränderlich auf -e)."
"Plural auf -s (maskulin)";"{{c1::Los amigos son buenos}}.";"Die Freunde sind treu/gut.";"Bilde den maskulinen Plural für alle drei Satzglieder (los + amigos + buenos).";""
"Plural auf -s (feminin)";"{{c1::Las flores son bonitas}}.";"Die Blumen sind schön.";"Setze den Satz in den weiblichen Plural. 'Flor' endet auf einen Konsonanten (-r), der Plural des Nomens ist also 'flores'.";""
"Plural auf -s (feminin)";"{{c1::Las gatas son blancas}}.";"Die Katzen sind weiß.";"Bilde den vollständigen weiblichen Plural für Artikel, Nomen und Adjektiv.";""
"Plural auf -s (feminin)";"{{c1::Las respuestas son claras}}.";"Die Antworten sind klar.";"Alle Elemente müssen in den weiblichen Plural gesetzt werden (las + respuestas + claras).";""
"Plural auf -s (feminin)";"{{c1::Las caras son lindas}}.";"Die Gesichter sind süß.";"Bilde den weiblichen Plural auf -s.";""
"Plural auf -es (feminin)";"{{c1::Las canciones son alegres}}.";"Die Lieder sind fröhlich.";"Das Nomen 'canción' endet auf einen Konsonanten (-n) und braucht im Plural ein -es. Das Adjektiv 'alegre' braucht nur ein -s.";"Hinweis zur Rechtschreibung: Durch die zusätzliche Silbe im Plural verliert 'canciones' den geschriebenen Akzent auf dem o."
"Plural auf -es (feminin)";"{{c1::Las ciudades están limpias}}.";"Die Städte sind sauber.";"Das Nomen 'ciudad' endet auf einen Konsonanten (-d). Nutze das richtige 'Sein'-Verb (estar) für Zustände.";""
"Plural auf -es (maskulin)";"{{c1::Los hoteles son fantásticos}}.";"Die Hotels sind fantastisch.";"Das Nomen 'hotel' endet auf einen Konsonanten (-l). Setze den ganzen Satz synchron in den maskulinen Plural.";""
"Plural auf -es (maskulin)";"{{c1::Los países son preciosos}}.";"Die Länder sind wunderschön.";"Setze den maskulinen Satz in den Plural. 'País' endet auf einen Konsonanten (-s).";"Im Plural 'países' bleibt der Akzent auf dem i erhalten, damit die Buchstaben nicht zu einem Diphthong verschmelzen."
"Plural-Besonderheit -z zu -ces";"{{c1::Las luces son claras}}.";"Die Lichter sind hell.";"Wichtige Rechtschreibregel: Das -z am Ende von 'luz' verwandelt sich im Plural zwingend in ein -ces.";"Diese Regel betrifft alle spanischen Wörter auf -z (z. B. feliz -> felices)."
"Plural-Besonderheit -z zu -ces";"{{c1::Las voces son dulces}}.";"Die Stimmen sind süß/angenehm.";"Wichtige Rechtschreibregel: Das -z am Ende von 'voz' verwandelt sich im Plural zwingend in ein -ces. Das Adjektiv 'dulce' bekommt nur ein -s.";""
"Plural-Besonderheit -z zu -ces";"{{c1::Las paces son necesarias}}.";"Die Friedenszeiten (Die Frieden) sind nötig.";"Das Wort 'paz' endet auf -z, ändere die Endung im weiblichen Plural zu -ces.";""
"Demonstrativpronomen im Plural";"{{c1::Estos regalos son perfectos}}.";"Diese Geschenke sind perfekt.";"Das Demonstrativpronomen 'este' wandelt sich im maskulinen Plural zu 'estos'. Passe Nomen und Adjektiv an.";"Vorsicht: Viele Anfänger schreiben fälschlicherweise 'estes'. Die korrekte maskuline Pluralform ist immer 'estos'."
"Possessivpronomen im Plural";"{{c1::Nuestras ideas son buenas}}.";"Unsere Ideen sind gut.";"Das Possessivpronomen 'nuestra' muss im weiblichen Plural ein -s erhalten (nuestras).";""
"Possessivpronomen im Plural";"{{c1::Tus éxitos son grandes}}.";"Deine Erfolge sind groß.";"Das Possessivpronomen 'tu' wächst im Plural zu 'tus' an. Das Adjektiv 'grande' bekommt ein -s.";"Auch das Wort 'éxito' (Erfolg) verliert im Plural seinen Akzent nicht, da die Betonung auf der drittletzten Silbe bleibt."
"Mengenpronomen im Plural";"Aquí hay {{c1::muchas personas felices}}.";"Es gibt viele glückliche Menschen hier.";"Setze das Mengenpronomen (mucha), das Nomen und das Adjektiv (feliz) synchron in den weiblichen Plural. Denke an die -z-Regel!";"Das Adjektiv 'feliz' endet auf -z, weshalb seine Pluralform für Frauen und Männer gleichermaßen 'felices' lautet."
"Demonstrativpronomen im Plural";"{{c1::Estos caminos nuevos están abiertos}}.";"Diese neuen Wege sind offen.";"Das Demonstrativpronomen 'este' wird im maskulinen Plural zu 'estos'. Setze auch die Adjektive in den Plural.";""
