main_topic;cloze_test;translation;hint;extra
Logistik-Insel Weg erfragen;¿{{c1::Dónde está la estación de autobuses}}?;"Wo ist der Busbahnhof?";Frage nach dem Ort des Busbahnhofs mit dónde está und dem weiblichen Nomen estación.;Für Orte nutzt das Spanische ausnahmslos estar. Das Bindeglied zur Gruppe ist de.
Logistik-Insel Im Hotel;¿{{c1::Tiene una habitación libre}}?;"Haben Sie ein freies Zimmer?";Bilde die höfliche Frage nach einem freien Zimmer für eine Person im Hotel.;Habitación ist weiblich laut D-IÓ-A-Z-Regel weshalb das Adjektiv libre starr bleibt aber una benötigt wird.
Logistik-Insel Schlüssel;¿{{c1::Dónde está la llave de la habitación}}?;"Wo ist der Zimmerschlüssel? (Der Schlüssel des Zimmers)";Frage nach der Position der Schlüssel kombiniert mit dem gelernten Genitiv-Muster de la.;Sowohl llave als auch habitación sind im Spanischen weiblich.
Logistik-Insel Ticket kaufen;{{c1::Quiero comprar un billete para Madrid}}.;"Ich möchte ein Ticket nach Madrid kaufen.";Nutze quiero + Infinitiv + un billete und die Ziel-Präposition para vor dem Bestimmungsort.;Para steuert immer das finale Ziel oder den Bestimmungsort an (Satzmuster 23).
Logistik-Insel Weg zum Hotel;¿{{c1::Este camino va para el hotel}}?;"Führt dieser Weg zum Hotel? (Geht dieser Weg für das Hotel)";Nutze das Demonstrativpronomen este vor camino und die Richtungspräposition para.;Hotel ist maskulin laut LONERS-Regel.
Logistik-Insel Position Bus;El autobús {{c1::está enfrente de la estación}}.;"Der Bus steht gegenüber vom Bahnhof.";Bilde die Ortsangabe mit está und der Präpositionsverbindung enfrente de la.;Für Positionen gilt immer estar. Im Spanischen steht getrennt de la vor estación.
Logistik-Insel Ticket-Preis;¿{{c1::Cuál es el precio del billete}}?;"Wie hoch ist der Ticketpreis? (Welcher ist der Preis des Tickets)";Nutze das Auswahl-Fragewort cuál vor dem gelernten Genitiv-Verschmelzungsmuster del.;Billete ist maskulin weshalb die Präposition zu de + el = del verschmilzt (Satzmuster 2).
Logistik-Insel Gepäck;¿{{c1::Dónde puedo dejar mi bolso}}?;"Wo kann ich meine Tasche lassen/abstellen?";Frage mit puedo + Infinitiv dejar nach dem Ort für dein Possessivpronomen mi vor bolso.;Das Wort bolso ist maskulin laut LONERS-Regel.
Logistik-Insel Höfliche Bitte;{{c1::Traígame la llave por favor}}.;"Bringen Sie mir bitte den Schlüssel.";Bilde den bejahenden höflichen Imperativ für Sie mit angehängtem Dativpronomen me.;Beim bejahenden Imperativ (Satzmuster 18) wird das Pronomen unzertrennlich hinten angehängt.
Logistik-Insel Wegbeschreibung;{{c1::Tiene que ir por este camino}}.;"Sie müssen diesen Weg entlanggehen.";Nutze die Verpflichtung tiene que + ir und die lokale Durchgangs-Präposition por.;Por beschreibt die Bewegung entlang oder durch einen Raum (Satzmuster 23).
Logistik-Insel Ankunft Bus;El autobús {{c1::va a llegar pronto a la estación}}.;"Der Bus wird bald am Bahnhof ankommen.";Bilde die Zukunft mit dem periphrastischen Futur ir a vor dem Infinitiv von llegar.;Hier greift das gegenwartsorientierte Futur aus Satzmuster 11.
Logistik-Insel Zustand Zimmer;La habitación {{c1::está limpia y ordenada}}.;"Das Zimmer ist sauber und ordentlich.";Nutze das Zustandsverb está vor den weiblichen Adjektiven auf -a.;Für temporäre Zustände (Sauberkeit) gilt immer estar (Satzmuster 16).
Logistik-Insel Verneinte Frage;¿{{c1::No hay un autobús para el centro}}?;"Gibt es keinen Bus zum Zentrum?";Bilde die verneinte unpersönliche Frage mit no hay vor dem unbestimmten Artikel un.;Die Verneinung no steht absolut starr ganz links vor dem unpersönlichen es gibt (Satzmuster 12).
Logistik-Insel Höfliche Frage;¿{{c1::Usted sabe dónde está el hotel}}?;"Wissen Sie (Sg. höflich) wo das Hotel ist?";Bilde die Frage mit usted vor der 3. Person von saber (sabe) kombiniert mit dónde está.;Usted teilt sich morphologisch immer die Formen mit der 3. Person Singular (Satzmuster 18).
Logistik-Insel Vorliebe Hotel;{{c1::Me gusta mucho este hotel limpio}}.;"Ich mag dieses saubere Hotel sehr.";Wende das psychologische Muster für mir gefällt dieses Hotel an mit dem Adjektiv limpio.;Das Hotel ist das Subjekt weshalb gustar im Singular steht (Satzmuster 19).
Logistik-Insel Personen im Hotel;{{c1::Veo a los huéspedes en la estación}}.;"Ich sehe die Gäste am Bahnhof.";Setze das zwingende persönliche a vor die maskuline Pluralgruppe der Personen (a los).;Menschen als direktes Objekt verlangen im Spanischen starr das persönliche A (Satzmuster 20).
Logistik-Insel Im Hotel;Hoy {{c1::me quedo en una habitación bonita}}.;"Heute bleibe ich in einem schönen Zimmer.";Nutze das Präsens des reflexiven Verbs quedarse (bleiben) vor dem weiblichen Nomen-Adjektiv-Paar.;Das Reflexivpronomen me steht ganz starr direkt vor dem Verb (Satzmuster 21).
Logistik-Insel Unpersönlich;Aquí {{c1::se venden billetes para el tren}}.;"Hier werden Zugtickets verkauft (Hier verkauft man Tickets für den Zug).";Bilde den unpersönlichen Passiv-Ersatz mit se vor dem Plural-Verb venden passend zu billetes.;Da die Tickets im Plural stehen wandert auch das Verb zwingend in den Plural (Satzmuster 22).
Logistik-Insel Zweck von etwas;Esta llave {{c1::es para la habitación del profesor}}.;"Dieser Schlüssel ist für das Zimmer des Lehrers.";Nutze die Zweck-Präposition para kombiniert mit der Genitiv-Verschmelzung del.;Hier greifen Empfänger-para und Besitzer-del perfekt ineinander.
Logistik-Insel Perfekt Vergangenheit;Esta mañana {{c1::he perdido el billete del autobús}}.;"Heute Morgen habe ich das Busticket verloren.";Bilde das Perfekt für ich mit he perdido kombiniert mit dem Genitiv del autobús.;Die unzertrennliche Klammerstruktur von haber + Partizip darf nicht getrennt werden (Satzmuster 24).
Logistik-Insel Doppelte Verneinung;{{c1::No hay ningún hotel barato aquí}}.;"Es gibt hier keinerlei billiges Hotel.";Bilde die doppelte Verneinung mit no hay vor dem maskulinen ningun mit Akzent vor hotel.;Ninguno verliert vor männlichen Singular-Nomen das o (Satzmuster 25).
Logistik-Insel Abstraktes Nomen;{{c1::Lo difícil del viaje ya pasó}}.;"Das Schwierige an der Reise ist schon vorbei.";Bilde das abstrakte Substantiv das Schwierige mit lo + Adjektiv kombiniert mit del viaje.;Das neutrale lo wandelt jedes Adjektiv sofort in ein abstraktes Nomen um (Satzmuster 26).
Logistik-Insel Relativsatz;El autobús {{c1::que va para la estación es azul}}.;"Der Bus, der zum Bahnhof fährt, ist blau.";Verknüpfe den Nebensatz flüssig mit dem Relativpronomen-Allrounder que vor va para.;Das Wörtchen que reicht für 90 % aller spanischen Relativsätze völlig aus (Satzmuster 27).
Logistik-Insel Vergleich;Este hotel {{c1::es más caro que el otro}}.;"Dieses Hotel ist teuer als das andere.";Bilde den Komparativ mit der starren Baukasten-Formel más ... que vor el otro.;Das Adjektiv caro bleibt in seiner Grundform und wird nicht verändert (Satzmuster 28).
Logistik-Insel Bedingungssatz;Si {{c1::tengo la llave, entro en la habitación}}.;"Wenn ich den Schlüssel habe, gehe ich ins Zimmer.";Bilde den realen Konditional im Hier und Jetzt nach der Formel Si + Präsens, Präsens.;Für reale Alltagsbedingungen brauchst du keinen komplizierten Konjunktiv (Satzmuster 29).
Logistik-Insel Mit mir;¿{{c1::Quieres ir al hotel conmigo}}?;"Möchtest du mit mir zum Hotel gehen?";Bilde die Frage mit ir al (a + el) kombiniert mit dem unregelmäßigen Spezialwort für mit mir.;Trifft con auf das Pronomen für ich verschmelzen sie starr zu conmigo (Satzmuster 30).
Logistik-Insel Weg erfragen;¿{{c1::Cómo puedo llegar a la estación}}?;"Wie kann ich zum Bahnhof gelangen?";Bilde die Frage mit dem Fragewort cómo mit Akzent + puedo llegar und dem Richtungssignal a la.;Llegar (ankommen/gelangen) verlangt bei Orten immer die Präposition a.
Logistik-Insel Im Hotel;¿{{c1::A qué hora tengo que dejar la habitación}}?;"Um wie viel Uhr muss ich das Zimmer verlassen?";Nutze das Fragewort ¿A qué hora? vor der Verpflichtung tengo que + Infinitiv dejar.;Dejar bedeutet hier ein Zimmer räumen oder verlassen.
Logistik-Insel Orientierung;El hotel {{c1::está cerca de la estación de autobuses}}.;"Das Hotel liegt in der Nähe vom Busbahnhof.";Bilde die Ortsbeschreibung mit está vor der zusammengesetzten Präposition cerca de la.;Cerca de (in der Nähe von) verlangt de als Bindeglied zum Ort.
Logistik-Insel Ticket-Kontrolle;¿{{c1::Usted tiene su billete por favor}}?;"Haben Sie (Sg. höflich) Ihr Ticket bitte?";Bilde die Gegenwart für usted mit dem passenden Possessivpronomen su vor billete.;Das Wort su bedeutet in der Höflichkeitsform Ihr oder Ihre.
Logistik-Insel Gepäck-Zustand;Mi bolso {{c1::está abierto en la mesa}}.;"Meine Tasche steht geöffnet auf dem Tisch.";Nutze das Zustandsverb está vor dem unregelmäßigen Partizip/Adjektiv abierto.;Abierto ist das unregelmäßige Partizip von abrir fungiert hier aber als Zustand.
Logistik-Insel Unpersönlich;Aquí {{c1::hay que comprar los billetes antes}}.;"Man muss die Tickets hier vorher kaufen.";Nutze die unpersönliche allgemeine Verpflichtungsformel hay que vor dem Infinitiv comprar.;
Logistik-Insel Verlorener Gegenstand;¿{{c1::Alguien ha visto la llave del hotel}}?;"Hat jemand den Hotelschlüssel gesehen?";Nutze das unbestimmte Pronomen alguien für Personen vor der Perfektform ha visto.;Alguien verweist auf Menschen. Das Partizip von ver lautet unregelmäßig visto.
Logistik-Insel Im Bus;No se {{c1::puede fumar en el autobús}}.;"Man darf im Bus nicht rauchen (Es kann sich im Bus nicht geraucht werden).";Bilde den verneinten unpersönlichen Passiv-Ersatz mit no se vor der 3. Person puede.;Das no steht ganz links starr vor dem unpersönlichen se (Satzmuster 12 und 22).
Logistik-Insel Abreise;Mañana {{c1::voy a tomar el tren para Madrid}}.;"Morgen werde ich den Zug nach Madrid nehmen.";Bilde das periphrastische Futur für ich mit voy a vor tomar und dem Ziel-para.;Tren ist maskulin laut LONERS-Regel. Para markiert das Bestimmungsziel.
Logistik-Insel Weg erfragen;¿{{c1::Cómo llego al centro de la ciudad}}?;"Wie gelange ich zum Stadtzentrum?";Frage im Präsens für ich nach dem Weg mit der Richtungsverschmelzung al vor centro.;Hier greift das Richtungs-Signal al (a + el) vor dem maskulinen Nomen centro.
Logistik-Insel Im Hotel;{{c1::Tengo una reserva para esta noche}}.;"Ich habe eine Reservierung für heute Abend.";Bilde den Aussagesatz mit tengo und dem weiblichen Nomen reserva gefolgt von para esta noche.;Para wird hier für den zeitlichen Bezug (für wann) genutzt.
Logistik-Insel Schlüssel;{{c1::Dejo la llave en la recepción del hotel}}.;"Ich lasse den Schlüssel an der Hotelrezeption.";Nutze die 1. Person Präsens von dejar (lassen/abgeben) kombiniert mit dem Genitiv del hotel.;Hier greift das gelernte Genitiv-Verschmelzungsmuster del (de + el).
Logistik-Insel Verspätung;El autobús {{c1::tiene una hora de retraso}}.;"Der Bus hat eine Stunde Verspätung.";Bilde die Angabe mit der 3. Person Präsens von tener (tiene) vor dem maskulinen Nomen retraso.;Retraso (Verspätung) ist maskulin laut LONERS-Regel.
Logistik-Insel Weg zum Hotel;¿{{c1::Dónde está el camino para el hotel}}?;"Wo ist der Weg zum Hotel?";Frage nach dem Ort des Weges mit dónde está und der Zweck-Präposition para.;Camino und hotel sind maskulin laut LONERS-Regel.
Logistik-Insel Position Taxi;El taxi {{c1::está esperando fuera de la estación}}.;"Das Taxi wartet draußen vor dem Bahnhof.";Bilde die Orts- und Verlaufsform mit está esperando vor dem Ausdruck fuera de la.;Hier siehst du das gelernte Gerundium (Satzmuster 13) kombiniert mit estar für Orte.
Logistik-Insel Ticket-Gültigkeit;¿{{c1::Este billete es bueno para hoy}}?;"Ist dieses Ticket für heute gültig (frisch/gut)?";Nutze das Demonstrativpronomen este vor billete und das Adjektiv bueno vor para hoy.;
Logistik-Insel Gepäck verloren;No {{c1::encuentro mi bolso en la estación}}.;"Ich finde meine Tasche am Bahnhof nicht.";Bilde den verneinten Satz mit no encuentro vor deinem maskulinen Nomen mi bolso.;Die Verneinung no steht starr direkt vor dem konjugierten Verb (Satzmuster 12).
