main_topic;cloze_test;translation;hint;extra
Passiv-Ersatz-Se Singular;Aquí se {{c1::habla}} español.;Hier spricht man Spanisch (Hier wird Spanisch gesprochen).;Nutze die 3. Person Singular von hablar (habla) nach dem unpersönlichen Pronomen se.;Da español im Singular steht bleibt das Verb starr in der 3. Person Einzahl.
Passiv-Ersatz-Se Plural;Aquí se {{c1::venden}} libros.;Hier verkauft man Bücher (Hier werden Bücher verkauft).;Das Subjekt libros steht im Plural weshalb das Verb nach dem se zwingend in den Plural wachsen muss (venden).;Hier siehst du den massiven Hebel: Das Verb richtet sich immer nach der Sache die man behandelt.
Passiv-Ersatz-Se Singular;Se {{c1::busca}} una solución rápida.;Man sucht eine schnelle Lösung (Eine schnelle Lösung wird gesucht).;Nutze die 3. Person Singular von buscar (busca) nach dem unpersönlichen se.;
Passiv-Ersatz-Se Plural;Se {{c1::buscan}} alternativas nuevas.;Man sucht neue Alternativen (Neue Alternativen werden gesucht).;Passe das Verb an das Pluralobjekt alternativas an (buscan).;
Passiv-Ersatz-Se Singular;Se {{c1::necesita}} más tiempo.;Man braucht mehr Zeit (Mehr Zeit wird benötigt).;Nutze die 3. Person Singular von necesitar (necesita) passend zu tiempo.;Das Wort tiempo ist maskulin laut LONERS-Regel.
Passiv-Ersatz-Se Plural;Se {{c1::necesitan}} buenas ideas.;Man braucht gute Ideen (Gute Ideen werden benötigt).;Setze das Verb in die 3. Person Plural (necesitan) passend zu ideas.;
Passiv-Ersatz-Se Singular;Se {{c1::ofrece}} ayuda hoy.;Man bietet heute Hilfe an (Hilfe wird heute angeboten).;Nutze die 3. Person Singular von ofrecer (ofrece) nach dem se.;
Passiv-Ersatz-Se Plural;Se {{c1::ofrecen}} servicios excelentes.;Man bietet exzellente Dienstleistungen an.;Setze das Verb in die 3. Person Plural (ofrecen) passend zu servicios.;
Passiv-Ersatz-Se Singular;Aquí se {{c1::vive}} bien.;Hier lebt man gut (Hier wird gut gelebt).;Nutze die 3. Person Singular von vivir (vive) für eine allgemeine unpersönliche Aussage.;Wenn kein konkretes Nomen folgt bleibt das Passiv-Se-Verb immer starr im Singular.
Passiv-Ersatz-Se Singular;Se {{c1::cree}} en el éxito.;Man glaubt an den Erfolg.;Nutze die 3. Person Singular von creer (cree) nach dem unpersönlichen se.;Das Wort éxito ist maskulin laut LONERS-Regel.
Passiv-Ersatz-Se Singular;Se {{c1::espera}} una gran noticia.;Man erwartet eine große Nachricht.;Nutze die 3. Person Singular von esperar (espera).;
Passiv-Ersatz-Se Plural;Se {{c1::esperan}} buenos resultados.;Man erwartet gute Ergebnisse.;Setze das Verb in die 3. Person Plural (esperan) passend zu resultados.;
Passiv-Ersatz-Se Singular;Se {{c1::escribe}} un libro nuevo.;Man schreibt ein neues Buch (Ein neues Buch wird geschrieben).;Nutze die 3. Person Singular von escribir (escribe).;
Passiv-Ersatz-Se Plural;Se {{c1::escriben}} cartas con frecuencia.;Man schreibt häufig Briefe (Briefe werden häufig geschrieben).;Setze das Verb in die 3. Person Plural (escriben) passend zu cartas.;
Passiv-Ersatz-Se Singular;Se {{c1::compra}} una casa hermosa.;Man kauft ein schönes Haus (Ein schönes Haus wird gekauft).;Nutze die 3. Person Singular von comprar (compra).;
Passiv-Ersatz-Se Plural;Se {{c1::compran}} coches nuevos aquí.;Man kauft hier neue Autos (Neue Autos werden hier gekauft).;Setze das Verb in die 3. Person Plural (compran) passend zu coches.;
Passiv-Ersatz-Se Singular;Se {{c1::aprende}} español rápido.;Man lernt schnell Spanisch (Spanisch wird schnell gelernt).;Nutze die 3. Person Singular von aprender (aprende).;
Passiv-Ersatz-Se Plural;Se {{c1::aprenden}} idiomas nuevos.;Man lernt neue Sprachen.;Setze das Verb in die 3. Person Plural (aprenden) passend zu idiomas.;Erinnerst du dich an den -matic-Hack? Idioma ist maskulin (los idiomas).
Passiv-Ersatz-Se Singular;Se {{c1::termina}} el proyecto hoy.;Man beendet das Projekt heute (Das Projekt wird heute beendet).;Nutze die 3. Person Singular von terminar (termina).;
Passiv-Ersatz-Se Plural;Se {{c1::terminan}} los trabajos a tiempo.;Man beendet die Arbeiten pünktlich.;Setze das Verb in die 3. Person Plural (terminan) passend zu trabajos.;
Negation vor Passiv-Se;No se {{c1::pierde}} la esperanza.;Man verliert die Hoffnung nicht (Die Hoffnung wird nicht verloren).;Das Verneinungswort no steht starr ganz links vor dem unpersönlichen se.;Hier greift deine Pareto-Regel 12: Die Negation steht starr vor dem gesamten Paket.
Negation vor Passiv-Se;No se {{c1::permiten}} errores.;Man erlaubt keine Fehler (Fehler werden nicht erlaubt).;Das no steht ganz links. Setze das Verb in den Plural (permiten) passend zu errores.;
Negation vor Passiv-Se;No se {{c1::sabe}} la respuesta.;Man weiß die Antwort nicht.;Das no steht links vor se. Nutze die 3. Person Singular von saber (sabe).;
Negation vor Passiv-Se;No se {{c1::venden}} llaves sueltas.;Man verkauft keine einzelnen Schlüssel.;Das no steht links vor se. Setze das Verb in den Plural (venden) passend zu llaves.;
Frage mit Passiv-Se;¿Cómo se {{c1::dice}} esto?;Wie sagt man das?;Bilde die Frage mit dem Fragewort cómo und der 3. Person Singular von decir (dice).;Alle Fragewörter tragen starr einen geschriebenen Akzent (Satzmuster 7).
Frage mit Passiv-Se;¿Dónde se {{c1::encuentran}} los mejores hoteles?;Wo findet man die besten Hotels?;Nutze dónde + se + Plural-Verb encuentran passend zu los mejores hoteles.;Das Wort hotel ist maskulin laut LONERS-Regel.
Passiv-Se im Futur;Se va a {{c1::celebrar}} la victoria.;Man wird den Sieg feiern (Der Sieg wird gefeiert werden).;Nutze die 3. Person von ir (va) + a + Infinitiv des Hauptverbs nach dem se.;Beim Futur umschließt das se das konjugierte Hilfsverb (se va a celebrar).
Passiv-Se im Futur;Se van a {{c1::abrir}} las puertas.;Man wird die Türen öffnen (Die Türen werden geöffnet werden).;Passe das Hilfsverb ir an das Pluralobjekt las puertas an (se van a abrir).;
Passiv-Se im Gerundium;Se está {{c1::creando}} un gran futuro.;Man erschafft gerade eine große Zukunft.;Nutze die 3. Person von estar (está) vor dem Gerundium des Hauptverbs.;Hier siehst du die Verlaufsform (Satzmuster 13) im unpersönlichen Passiv-Gewand.
Passiv-Se in der Vergangenheit;Ayer se {{c1::tomó}} una buena decisión.;Gestern wurde eine gute Entscheidung getroffen (Gestein traf man eine gute Entscheidung).;Nutze die 3. Person Singular im Indefinido (tomó) für eine abgeschlossene unpersönliche Handlung.;Das Indefinido (Satzmuster 14) greift wegen des Signalworts ayer.
Passiv-Se in der Vergangenheit;El año pasado se {{c1::lograron}} grandes éxitos.;Letztes Jahr wurden große Erfolge erzielt.;Setze das Indefinido-Verb in die 3. Person Plural (lograron) passend zu éxitos.;El año pasado erfordert starr das Indefinido.
Passiv-Se im Imperfekt;Antes se {{c1::viajaba}} más en tren.;Früher reiste man mehr mit dem Zug.;Nutze die 3. Person Singular im Imperfekt (viajaba) für andauernde Gewohnheiten in der Vergangenheit.;Das Imperfekt (Satzmuster 15) beschreibt alte Zustände (Antes).
Passiv-Se im Imperfekt;En esa época se {{c1::leían}} muchos libros.;In jener Zeit las man viele Bücher.;Setze das Imperfekt-Verb in die 3. Person Plural (leían) passend zu muchos libros.;
Passiv-Se im Subjunktiv;Espero que se {{c1::encuentre}} una solución.;Ich hoffe, dass eine Lösung gefunden wird.;Bilde den Subjunktiv Präsens im Singular für encontrar (encuentre) nach espero que.;Hoffnungen erfordern starr den Subjunktiv im Nebensatz (Satzmuster 17).
Passiv-Se im Subjunktiv;Quiero que se {{c1::respeten}} las reglas.;Ich möchte, dass die Regeln respektiert werden.;Setze das Subjunktiv-Verb in die 3. Person Plural (respeten) passend zu las reglas nach quiero que.;Wünsche (quiero que) erzwingen den Subjunktiv im Nebensatz.
Passiv-Ersatz-Se Singular;Se {{c1::produce}} energía limpia aquí.;Hier wird saubere Energie produziert (Man produziert hier saubere Energie).;Nutze die 3. Person Singular von producir (produce) nach dem unpersönlichen se.;Da energía im Singular steht bleibt das Verb in der 3. Person Einzahl.
Passiv-Ersatz-Se Plural;Se {{c1::producen}} resultados excelentes.;Man erzielt exzellente Ergebnisse (Exzellente Ergebnisse werden erzielt).;Das Subjekt resultados steht im Plural weshalb das Verb nach dem se in den Plural wachsen muss (producen).;
Passiv-Ersatz-Se Singular;Se {{c1::mantiene}} la calma en momentos clave.;Man bewahrt die Ruhe in Schlüsselmomenten.;Nutze die 3. Person Singular von mantener (mantiene) nach dem unpersönlichen se.;
Passiv-Ersatz-Se Plural;Se {{c1::mantienen}} las tradiciones vivas.;Man hält die Traditionen lebendig (Traditionen werden lebendig gehalten).;Passe das Verb an das Pluralobjekt tradiciones an (mantienen).;
Passiv-Ersatz-Se Singular;Se {{c1::requiere}} un esfuerzo constante.;Man erfordert eine ständige Anstrengung (Eine ständige Anstrengung wird benötigt).;Nutze die 3. Person Singular von requerir (requiere).;
Passiv-Ersatz-Se Plural;Se {{c1::requieren}} nuevas habilidades.;Man benötigt neue Fähigkeiten (Neue Fähigkeiten werden benötigt).;Setze das Verb in die 3. Person Plural (requieren) passend zu habilidades.;
Passiv-Ersatz-Se Singular;Se {{c1::desarrolla}} un proyecto innovador.;Man entwickelt ein innovatives Projekt.;Nutze die 3. Person Singular von desarrollar (desarrolla) nach dem se.;Das Wort proyecto ist maskulin laut LONERS-Regel.
Passiv-Ersatz-Se Plural;Se {{c1::desarrollan}} ideas brillantes.;Man entwickelt brillante Ideen (Brillante Ideen werden entwickelt).;Setze das Verb in die 3. Person Plural (desarrollan) passend zu ideas.;
Passiv-Ersatz-Se Singular;Aquí se {{c1::trabaja}} con alegría.;Hier arbeitet man mit Freude.;Nutze die 3. Person Singular von trabajar (trabaja) für eine allgemeine unpersönliche Aussage.;Wenn kein konkretes Nomen folgt bleibt das Passiv-Se-Verb starr im Singular.
Passiv-Ersatz-Se Singular;Se {{c1::defiende}} la libertad de expresión.;Man verteidigt die Meinungsfreiheit.;Nutze die 3. Person Singular von defender (defiende) nach dem unpersönlichen se.;
Passiv-Ersatz-Se Singular;Se {{c1::alcanza}} la meta final.;Man erreicht das Endziel (Das Endziel wird erreicht).;Nutze die 3. Person Singular von alcanzar (alcanza).;
Passiv-Ersatz-Se Plural;Se {{c1::alcanzan}} grandes éxitos.;Man erreicht große Erfolge (Große Erfolge werden erzielt).;Setze das Verb in die 3. Person Plural (alcanzan) passend zu éxitos.;Das Wort éxito ist maskulin laut LONERS-Regel.
Passiv-Ersatz-Se Singular;Se {{c1::construye}} un futuro mejor.;Man baut eine bessere Zukunft (Eine bessere Zukunft wird gebaut).;Nutze die 3. Person Singular von construir (construye).;
Passiv-Ersatz-Se Plural;Se {{c1::construyen}} casas modernas.;Man baut moderne Häuser (Moderne Häuser werden gebaut).;Setze das Verb in die 3. Person Plural (construyen) passend zu casas.;
Passiv-Ersatz-Se Singular;Se {{c1::organiza}} un evento hermoso.;Man organisiert ein schönes Event.;Nutze die 3. Person Singular von organizar (organiza).;
Passiv-Ersatz-Se Plural;Se {{c1::organizan}} reuniones semanales.;Man organisiert wöchentliche Treffen.;Setze das Verb in die 3. Person Plural (organizan) passend zu reuniones.;
Passiv-Ersatz-Se Singular;Se {{c1::protege}} el medio ambiente.;Man schützt die Umwelt (Die Umwelt wird geschützt).;Nutze die 3. Person Singular von proteger (protege).;
Passiv-Ersatz-Se Plural;Se {{c1::protegen}} los recursos naturales.;Man schützt die natürlichen Ressourcen.;Setze das Verb in die 3. Person Plural (protegen) passend zu recursos.;
Passiv-Ersatz-Se Singular;Se {{c1::reconoce}} el gran esfuerzo.;Man erkennt die große Anstrengung an.;Nutze die 3. Person Singular von reconocer (reconoce).;
