main_topic;cloze_test;translation;hint;extra
"Doppelte Pronomen (fem. Singular)";"Ella {{c1::se la}} da.";"Sie gibt ihn (den Schlüssel, la llave) ihm. → Sie gibt ihn ihm.";"Reihenfolge: Wem vor Was. Das Dativ-Pronomen (ihm -> le) mutiert vor 'la' wegen des Wohlklangs zu 'se'.";"Das Wort 'llave' ist im Spanischen weiblich, weshalb das Pronomen für 'ihn/es' zwingend 'la' heißen muss."
"Doppelte Pronomen (fem. Singular)";"{{c1::Se la}} vendo.";"Ich verkaufe sie (die Küche, la cocina) ihr. → Ich verkaufe sie ihr.";"Nutze die Kombination aus Dativ (ihr -> se) und dem weiblichen Akkusativ-Pronomen für die Küche.";""
"Doppelte Pronomen (fem. Singular)";"Él {{c1::se la}} trae.";"Er bringt sie (die Mahlzeit, la comida) ihnen. → Er bringt sie ihnen.";"Dativ (ihnen -> les) mutiert vor 'la' ebenfalls zu 'se'. Das Akkusativ-Pronomen ist weiblich.";""
"Doppelte Pronomen (fem. Singular)";"{{c1::Se la}} decimos.";"Wir sagen sie (die Wahrheit, la verdad) ihm. → Wir sagen sie ihm.";"Nutze die se-Mutation für 'ihm' vor dem weiblichen Objekt-Pronomen (la).";""
"Doppelte Pronomen (fem. Singular)";"{{c1::Se la}} envías.";"Du schickst sie (die Nachricht, la carta) ihr. → Du schickst sie ihr.";"Bilde die Pronomen-Kette (Wem vor Was) mit der zwingenden Wohlklang-Mutation.";""
"Doppelte Pronomen (fem. Plural)";"Ella {{c1::se las}} da.";"Sie gibt sie (die Schlüssel, las llaves) ihm. → Sie gibt sie ihm.";"Setze das Akkusativ-Pronomen in den weiblichen Plural (las) passend zu den Schlüsseln. Dativ bleibt 'se'.";""
"Doppelte Pronomen (fem. Plural)";"{{c1::Se las}} muestro.";"Ich zeige sie (die Fotos, las fotos) ihr. → Ich zeige sie ihr.";"Kombination aus mutiertem Dativ (ihr -> se) und weiblichem Akkusativ-Plural (las) für die Fotos.";"Obwohl 'foto' auf -o endet, ist es eine weibliche Kurzform (von la fotografía) und braucht 'las'!"
"Doppelte Pronomen (fem. Plural)";"Él {{c1::se las}} compra.";"Er kauft sie (die Kleider/Sachen, las prendas) ihnen. → Er kauft sie ihnen.";"Bilde die Kette mit Dativ-Plural-Mutation (ihnen -> se) und weiblichem Akkusativ-Plural (las).";""
"Doppelte Pronomen (fem. Plural)";"{{c1::Se las}} traemos.";"Wir bringen sie (die Flaschen/Getränke, las bebidas) ihm. → Wir bringen sie ihm.";"Dativ-Mutation (ihm -> se) + weiblicher Akkusativ-Plural (las) vor dem Verb.";""
"Doppelte Pronomen (fem. Plural)";"{{c1::Se las}} das.";"Du gibst sie (die Antworten, las respuestas) ihr. → Du gibst sie ihr.";"Nutze die se-Mutation zusammen mit dem weiblichen Akkusativ-Plural.";""
"Direkte/Indirekte Pronomen (mir sie)";"¿Dónde está mi bolsa? Tú {{c1::me la}} das.";"Wo ist meine Tasche (la bolsa)? Du gibst sie mir.";"Reihenfolge: Dativ (me) vor Akkusativ (la). Hier mutiert nichts, da kein le/les im Spiel ist.";"Die se-Mutation findet AUSSCHLIESSLICH statt, wenn le/les auf lo/la/los/las treffen. Bei me/te/nos/os bleibt alles normal."
"Direkte/Indirekte Pronomen (dir sie)";"{{c1::Te las}} traigo.";"Ich bringe dir sie (die Blumen, las flores). → Ich bringe sie dir.";"Dativ (dir -> te) vor weiblichem Akkusativ-Plural (las).";""
"Direkte/Indirekte Pronomen (uns sie)";"Él {{c1::nos la}} sirve.";"Er serviert uns sie (die Suppe, la sopa). → Er serviert sie uns.";"Dativ (uns -> nos) vor weiblichem Akkusativ-Singular (la) direkt vor dem Verb.";""
"Direkte/Indirekte Pronomen (euch sie)";"Ellos {{c1::os las}} muestran.";"Sie zeigen euch sie (die Wohnungen, las casas). → Sie zeigen sie euch.";"Dativ (euch -> os) vor weiblichem Akkusativ-Plural (las).";""
"Direkte/Indirekte Pronomen (mir sie)";"{{c1::Me las}} escribe.";"Er schreibt mir sie (die Briefe/Nachrichten, las cartas). → Er schreibt sie mir.";"Dativ (mir -> me) vor dem weiblichen Akkusativ-Plural (las).";""
"Grammatik-Falle (Motorrad)";"Veo la moto. {{c1::Se la}} vendo.";"Ich sehe das Motorrad. Ich verkaufe es ihm.";"Achtung: 'moto' ist im Spanischen weiblich. Das Pronomen für 'es' muss zwingend weiblich sein.";"Im Deutschen ist das Motorrad sächlich (es), im Spanischen weiblich (la moto -> la). Lass dich nicht verwirren!"
"Grammatik-Falle (Hand)";"Carlos limpia la mano. {{c1::Se la}} lava.";"Carlos wäscht die Hand. Er wäscht sie (sich).";"Das Wort 'mano' endet auf -o, ist aber weiblich. Passe das Akkusativ-Pronomen an.";""
"Grammatik-Falle (Zimmer)";"Tienen la habitación. {{c1::Se la}} alquilan.";"Sie haben das Zimmer. Sie vermieten es ihnen.";"Das Zimmer (la habitación) ist im Spanischen weiblich. Bilde die Kette mit se-Mutation (ihnen -> se).";""
"Pronomen-Kette mit Subjekt";"Nosotros {{c1::se las}} enviamos.";"Wir schicken sie (die Nachrichten, las notas) ihnen.";"Nutze das explizite Subjektpronomen (Nosotros) am Anfang. Die Pronomen-Kette bleibt starr vor dem Verb.";""
"Pronomen-Kette mit Subjekt";"Vosotros {{c1::nos la}} dais.";"Ihr gebt sie (die Gitarre, la guitarra) uns.";"Subjektpronomen (Vosotros) + Dativ (nos) + weiblicher Akkusativ-Singular (la).";""
