main_topic;cloze_test;translation;hint;extra
Doppelte Verneinung (nunca);No leo {{c1::nunca}} un libro.;Ich lese nie ein Buch.;Das no steht links vor dem Verb. Setze das Wort für nie (nunca) nach dem Verb ein.;Da nunca nach dem Verb steht ist das no vor dem Verb zwingend erforderlich.
Einfache Verneinung (nunca);{{c1::Nunca}} leo un libro.;Nie lese ich ein Buch (Ich lese nie ein Buch).;Setze das Wort für nie (nunca) ganz an den Satzanfang vor das Verb leo.;Steht nunca vor dem Verb fällt das zusätzliche no komplett weg. Beide Satzstrukturen bedeuten exakt dasselbe.
Doppelte Verneinung (nadie);No veo {{c1::a nadie}} hoy.;Ich sehe heute niemanden.;Das no steht vor dem Verb veo. Nutze niemand (nadie) nach dem Verb. Denke an das persönliche a!;Nadie bezieht sich auf Menschen weshalb das persönliche a (Satzmuster 20) auch bei der Verneinung Pflicht ist.
Einfache Verneinung (nadie);{{c1::Nadie}} me ve hoy.;Niemand sieht mich heute.;Setze das Wort für niemand (nadie) ganz an den Anfang vor das Pronomen-Verb-Paket.;Da nadie das Subjekt am Satzanfang ist entfällt das no vollständig.
Doppelte Verneinung (ninguno);No tengo {{c1::ningún}} problema.;Ich habe kein (keinerlei) Problem.;Das no steht vor tengo. Nutze kein (ningún) vor dem maskulinen Singularnomen problema.;Ninguno verliert vor männlichen Nomen im Singular das o und bekommt einen Akzent (ningún). Problema ist maskulin laut -matic-Hack.
Einfache Verneinung (ninguno);{{c1::Ningún}} problema me detiene.;Kein Problem hält mich auf.;Setze kein (ningún) ganz an den Satzanfang vor das Nomen und das Verb.;
Doppelte Verneinung (nunca);No pierdo {{c1::nunca}} la esperanza.;Ich verliere nie die Hoffnung.;Das no steht starr vor pierdo. Setze nie (nunca) nach dem Verb ein.;Ein wunderbar optimistischer Satz für dein Anki-Deck!
Einfache Verneinung (nunca);{{c1::Nunca}} pierdo la esperanza.;Nie verliere ich die Hoffnung.;Setze das negative Wort für nie (nunca) an den Satzanfang vor das Verb pierdo.;
Doppelte Verneinung (nadie);No escucho {{c1::a nadie}} negativo.;Ich höre niemandem zu der negativ ist.;Das no steht vor escucho. Nutze nadie nach dem Verb. Denke an das persönliche a vor Personen!;
Einfache Verneinung (nadie);{{c1::Nadie}} habla de manera negativa aquí.;Niemand spricht hier negativ.;Setze das unbestimmte negative Pronomen nadie an den Satzanfang.;
Doppelte Verneinung (nada);No quiero {{c1::nada}} ordinario.;Ich will nichts Alltägliches (Gewöhnliches).;Das no steht vor quiero. Setze nichts (nada) nach dem Verb ein.;
Einfache Verneinung (nada);{{c1::Nada}} me frena hoy.;Nichts bremst mich heute.;Setze das negative Wort nichts (nada) an den Satzanfang vor das Pronomen me.;
Doppelte Verneinung (ninguno);No busco {{c1::ninguna}} excusa.;Ich suche keine Ausrede.;Das no steht vor busco. Nutze kein (ninguna) vor dem weiblichen Nomen excusa.;Vor weiblichen Nomen im Singular passt sich die Verneinung starr an (ninguna).
Einfache Verneinung (ninguno);{{c1::Ninguna}} excusa es buena hoy.;Keine Ausrede ist heute gut.;Setze das feminine negative Wort (ninguna) ganz nach vorne an den Satzanfang.;
Doppelte Verneinung mit Pronomen;No lo sé {{c1::nunca}} a tiempo.;Ich weiß es nie rechtzeitig.;Das Pronomen lo steht zwischen no und dem Verb. Setze nie (nunca) nach das Verb.;Die eiserne Pronomenkette bleibt unberührt: no + Pronomen + Verb + nunca.
Einfache Verneinung mit Pronomen;{{c1::Nunca}} lo sé a tiempo.;Nie weiß ich es rechtzeitig.;Setze nie (nunca) ganz nach vorne vor das Pronomen-Verb-Paket lo sé.;Das negative Wort am Anfang umschließt das gesamte Pronomen-Verb-Paket von links.
Doppelte Verneinung mit Pronomen;No me dice {{c1::nada}} malo.;Er/Sie sagt mir nichts Schlechtes.;Das Pronomen me steht vor dice. Setze nichts (nada) nach dem Verb ein.;
Einfache Verneinung mit Pronomen;{{c1::Nada}} me detiene hoy.;Nichts hält mich heute auf.;Setze nichts (nada) ganz nach vorne vor das Pronomen me und das Verb.;
Doppelte Verneinung im Futur;No voy a saber {{c1::nunca}} la verdad.;Ich werde die Wahrheit nie wissen.;Das no steht vor dem Hilfsverb voy. Setze nie (nunca) hinter den Infinitiv saber am Ende.;Bei zusammengesetzten Zeiten umschließt die doppelte Verneinung die gesamte Verb-Konstruktion.
Einfache Verneinung im Futur;{{c1::Nunca}} voy a saber la verdad.;Nie werde ich die Wahrheit wissen.;Setze nie (nunca) ganz nach vorne vor das konjugierte Hilfsverb voy.;
Doppelte Verneinung im Perfekt;No he visto {{c1::a nadie}} en el jardín.;Ich habe niemanden im Garten gesehen.;Das no steht vor he. Setze nadie nach dem Partizip visto ein. Denke an das persönliche a!;Das no steht vor haber das negative Wort folgt erst ganz nach dem Partizip Perfekt.
Einfache Verneinung im Perfekt;{{c1::Nadie}} ha venido hoy.;Niemand ist heute gekommen.;Setze niemand (nadie) ganz nach vorne vor das Hilfsverb ha.;
Doppelte Verneinung im Subjunktiv;Espero que no tengas {{c1::ningún}} miedo.;Ich hoffe, dass du keinerlei Angst hast.;Bilde den Subjunktiv von tener (tengas) nach espero que. Setze kein (ningún) vor das maskuline Nomen miedo.;Miedo (Angst) ist maskulin laut LONERS-Regel.
