main_topic;cloze_test;translation;hint;extra
Verb ser Präsens (1. Sg. - Identität);Yo {{c1::soy}} un estudiante de medicina.;Ich bin ein Medizinstudent.;Bilde die 1. Person Singular von ser (ich bin) im Präsens.;Substantive für Berufe oder Rollen stehen nach ser im Singular meist ohne Artikel (außer bei Adjektiven).
Verb ser Präsens (1. Sg. - Herkunft);Yo {{c1::soy}} de una ciudad del norte.;Ich bin aus einer Stadt im Norden.;Bilde die 1. Person Singular von ser (ich bin) im Präsens für die Herkunftsangabe.;Herkunft oder Ursprung wird im Spanischen immer mit ser + de ausgedrückt.
Verb ser Präsens (1. Sg. - Eigenschaft);Yo {{c1::soy}} una persona muy paciente.;Ich bin eine sehr geduldige Person.;Bilde die 1. Person Singular von ser (ich bin) im Präsens für eine Charaktereigenschaft.;Dauerhafte oder charakteristische Eigenschaften erfordern das Verb ser.
Verb ser Präsens (1. Sg. - Religion);Yo {{c1::soy}} católico pero no voy a misa.;Ich bin katholisch, aber ich gehe nicht zur Messe.;Bilde die 1. Person Singular von ser (ich bin) im Präsens.;Religiöse und politische Zugehörigkeiten werden dauerhaft mit ser ausgedrückt.
Verb ser Präsens (1. Sg. - Beruf);Yo {{c1::soy}} el director de este proyecto.;Ich bin der Leiter dieses Projekts.;Bilde die 1. Person Singular von ser (ich bin) im Präsens.;Da hier ein bestimmter Artikel (el) folgt, wird die spezifische Rolle betont.
Verb ser Präsens (2. Sg. - Herkunft);¿De dónde {{c1::eres}} tú originalmente?;Woher bist du ursprünglich?;Bilde die 2. Person Singular von ser (du bist) im Präsens für die Frage nach der Herkunft.;Das Fragewort dónde verlangt einen geschriebenen Akzent.
Verb ser Präsens (2. Sg. - Eigenschaft);Tú {{c1::eres}} mi mejor amigo en el mundo.;Du bist mein bester Freund auf der Welt.;Bilde die 2. Person Singular von ser (du bist) im Präsens.;Beziehungen zwischen Personen (Freund, Bruder, Kollege) werden mit ser definiert.
Verb ser Präsens (2. Sg. - Charakter);Tú {{c1::eres}} muy inteligente y trabajador.;Du bist sehr intelligent und fleißig.;Bilde die 2. Person Singular von ser (du bist) im Präsens für eine Eigenschaft.;Das Adjektiv trabajador wechselt im Weiblichen zu trabajadora.
Verb ser Präsens (2. Sg. - Nationalität);Tú {{c1::eres}} español y vives en Madrid.;Du bist Spanier und wohnst in Madrid.;Bilde die 2. Person Singular von ser (du bist) im Präsens für die Nationalität.;Nationalitäten werden im Spanischen kleingeschrieben (español).
Verb ser Präsens (2. Sg. - Aussehen);Tú {{c1::eres}} una mujer alta y fuerte.;Du bist eine große und starke Frau.;Bilde die 2. Person Singular von ser (du bist) im Präsens für physische Merkmale.;Körperliche Grundmerkmale gelten als dauerhaft und nutzen ser.
Verb ser Präsens (3. Sg. - Herkunft);Él {{c1::es}} de un país muy lejano.;Er ist aus einem sehr fernen Land.;Bilde die 3. Person Singular von ser (er/sie ist) im Präsens.;Das Pronomen él (er) hat einen Akzent, um es vom Artikel el (der) zu unterscheiden.
Verb ser Präsens (3. Sg. - Beruf);Ella {{c1::es}} profesora de la universidad.;Sie ist Universitätsprofessorin.;Bilde die 3. Person Singular von ser (er/sie ist) im Präsens für die Berufsangabe.;Vor Berufsbezeichnungen ohne nähere Bestimmung steht kein Artikel.
Verb ser Präsens (3. Sg. - Besitz);Este teléfono {{c1::es}} de mi hermano.;Dieses Telefon gehört meinem Bruder (ist von meinem Bruder).;Bilde die 3. Person Singular von ser (es ist) im Präsens für die Besitzanzeige.;Besitzverhältnisse werden mit ser + de ausgedrückt.
Verb ser Präsens (3. Sg. - Material);La mesa {{c1::es}} de madera natural.;Der Tisch ist aus natürlichem Holz.;Bilde die 3. Person Singular von ser (es ist) im Präsens für das Material.;Das Material, aus dem ein Gegenstand besteht, wird mit ser + de angegeben.
Verb ser Präsens (3. Sg. - Uhrzeit 1 Uhr);Ya {{c1::es}} la una de la tarde.;Es ist schon ein Uhr mittags.;Bilde die 3. Person Singular von ser für die Uhrzeit "ein Uhr".;Für "ein Uhr" (la una) nutzt man die Einzahl (es), für alle anderen Stunden die Mehrzahl (son).
