main_topic;cloze_test;translation;hint;extra
Verb deber Präsens (1. Sg. - Verpflichtung);Yo {{c1::debo}} estudiar español todos los días.;Ich muss jeden Tag Spanisch lernen.;Bilde die 1. Person Singular von deber (ich muss) im Präsens.;Deber ist im Präsens komplett regelmäßig.
Verb deber Präsens (1. Sg. - Schulden);Yo te {{c1::debo}} diez euros por la cena de ayer.;Ich schulde dir zehn Euro für das gestrige Abendessen.;Bilde die 1. Person Singular von deber (ich schulde) im Präsens.;Vor einem direkten Nomen (diez euros) bedeutet deber "schulden".
Verb deber Präsens (1. Sg. - Empfehlung);Yo {{c1::debo}} hablar con el director hoy mismo.;Ich sollte heute noch mit dem Leiter sprechen.;Bilde die 1. Person Singular von deber (ich sollte/muss) im Präsens.;Es drückt eine dringende persönliche Pflicht oder Empfehlung aus.
Verb deber Präsens (1. Sg. - Verpflichtung);Yo {{c1::debo}} terminar todo el trabajo de la oficina.;Ich muss die gesamte Büroarbeit beenden.;Bilde die 1. Person Singular von deber (ich muss) im Präsens.;Auf das Modalverb deber folgt direkt der Infinitiv.
Verb deber Präsens (1. Sg. - Absage);Yo no {{c1::debo}} hacer ese gran esfuerzo sola.;Ich darf diese große Anstrengung alleine nicht machen.;Bilde die verneinte 1. Person Singular von deber für ein weibliches Subjekt.;"No debo" entspricht im Spanischen oft einem Verbot oder "ich darf/sollte nicht".
Verb deber Präsens (2. Sg. - Frage);¿Tú {{c1::debes}} hacer deporte por la mañana hoy?;Musst du heute Morgen Sport machen?;Bilde die 2. Person Singular von deber (du musst) im Präsens.;Die Form lautet ganz regelmäßig debes.
Verb deber Präsens (2. Sg. - Vermutung);Tú {{c1::debes de}} estar muy cansado ahora, lo sé.;Du musst jetzt wohl sehr müde sein, ich weiß es.;Bilde die Struktur für eine Vermutung (du musst wohl ... sein) im Präsens.;"Deber + de + Infinitiv" drückt im Spanischen eine starke Vermutung aus.
Verb deber Präsens (2. Sg. - Verpflichtung);Tú {{c1::debes}} cambiar de coche este año.;Du musst dieses Jahr das Auto wechseln.;Bilde die 2. Person Singular von deber (du musst) im Präsens.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb deber Präsens (2. Sg. - Schulden);Tú le {{c1::debes}} el dinero del viaje a tu hermano.;Du schuldest deinem Bruder das Geld für die Reise.;Bilde die 2. Person Singular von deber (du schuldest) im Präsens.;Das Pronomen le bezieht sich auf "deinem Bruder".
Verb deber Präsens (2. Sg. - Erreichbarkeit);Tú {{c1::debes}} estar disponible el lunes por la tarde.;Du musst am Montagnachmittag verfügbar sein.;Bilde die 2. Person Singular von deber (du musst) im Präsens.;Disponible (verfügbar) bleibt für beide Geschlechter gleich.
Verb deber Präsens (3. Sg. - Verpflichtung);El director {{c1::debe}} hacer la llamada importante.;Der Leiter muss den wichtigen Anruf tätigen (machen).;Bilde die 3. Person Singular von deber (er/sie/es muss) im Präsens.;Die Form lautet ganz regelmäßig debe.
Verb deber Präsens (3. Sg. - Verbot);Ella no {{c1::debe}} entrar en este despacho privado.;Sie darf dieses private Büro nicht betreten.;Bilde die verneinte 3. Person Singular von deber im Präsens.;"No debe" drückt hier ein klares Verbot oder eine Richtlinie aus.
Verb deber Präsens (3. Sg. - Vermutung);Él {{c1::debe de}} ir en bicicleta porque no hay coches.;Er muss wohl mit dem Fahrrad fahren, weil es keine Autos gibt.;Bilde die Struktur für eine Vermutung (er muss wohl ... tun) im Präsens.;"Debe de + Infinitiv" steht für die Vermutung.
Verb deber Präsens (3. Sg. - Unpersönlich);Aquí se {{c1::debe}} pagar el precio total en efectivo.;Hier muss man den Gesamtpreis in bar bezahlen.;Bilde die unpersönliche Form mit se (man muss) im Präsens.;"Se debe + Infinitiv" drückt eine unpersönliche Pflicht oder Regel aus.
Verb deber Präsens (3. Sg. - Richtung);El tren {{c1::debe}} ir hacia el norte por esta vía.;Der Zug muss auf diesem Gleis in Richtung Norden fahren.;Bilde die 3. Person Singular von deber (er/sie/es muss) im Präsens.;Hacia bedeutet in Richtung oder gegen.
Verb deber Präsens (1. Pl. - Verpflichtung);Nosotros {{c1::debemos}} ir a la playa este verano.;Wir müssen diesen Sommer an den Strand gehen (wir haben uns verpflichtet).;Bilde die 1. Person Plural von deber (wir müssen) im Präsens.;Die Form lautet ganz regelmäßig debemos.
Verb deber Präsens (1. Pl. - Empfehlung);Nosotros {{c1::debemos}} hacer una fiesta para el grupo.;Wir sollten ein Fest für die Gruppe machen.;Bilde die 1. Person Plural von deber (wir sollten/müssen) im Präsens.;Wird oft als nachdrücklicher Vorschlag genutzt.
Verb deber Präsens (1. Pl. - Verpflichtung);Nosotras {{c1::debemos}} buscar la solución juntas.;Wir müssen zusammen die Lösung suchen.;Bilde die 1. Person Plural von deber für eine rein weibliche Gruppe.;Juntas passt sich an das weibliche Pronomen nosotras an.
Verb deber Präsens (1. Pl. - Schulden);Nosotros no le {{c1::debemos}} nada a las empresas.;Wir schulden den Unternehmen nichts.;Bilde die verneinte 1. Person Plural von deber (wir schulden) im Präsens.;"No... nada" ist die doppelte Verneinung für "nichts".
Verb deber Präsens (1. Pl. - Verpflichtung);Nosotros {{c1::debemos}} estar de acuerdo antes del lunes.;Wir müssen uns vor Montag einig sein.;Bilde die 1. Person Plural von deber (wir müssen) im Präsens.;"Estar de acuerdo" bedeutet zustimmen oder einverstanden sein.
Verb deber Präsens (2. Pl. - Frage);¿Vosotros {{c1::debéis}} hacer el proyecto juntos?;Müsst ihr das Projekt zusammen machen?;Bilde die 2. Person Plural von deber (ihr müsst) im Präsens. Achte auf den Akzent!;Die Form debéis trägt einen geschriebenen Akzent auf dem e.
