main_topic;cloze_test;translation;hint;extra
01 Genus & Adjektiv-Angleichung;{{c1::El libro es rojo}}.;Das Buch ist rot.;;Nomen haben ein festes Geschlecht (el = maskulin). Adjektive passen ihre Endung an das Nomen an (rojo).
02 Genitiv / Besitzanzeige;{{c1::Es el libro de Carlos}}.;Es ist Carlos' Buch.;;Es gibt kein Genitiv-S. Besitz wird immer von hinten aufgerollt mit der Präposition de (von).
03 Doppelte Pronomen & Dativ-Signal;{{c1::Le doy el libro a Carlos}}.;Ich gebe Carlos das Buch.;;Wenn das indirekte Objekt (Dativ) eine Person ist, steht im Satz zwingend das Pronomen le UND ein a vor dem Namen.
04 Plural-Dativ & Plural-Akkusativ;{{c1::Les damos los libros}}.;Wir geben ihnen die Bücher.;;Pluralisierung im Dativ & Akkusativ: Das Dativ-Pronomen wächst für Gruppen zu les an. Auch Artikel und Nomen des direkten Objekts müssen konsequent das Plural-S erhalten (los libros).
05 Feste Pronomen-Kette & Mutation;{{c1::Ella se lo da}};Sie gibt es ihm.;;Eiserne Regel: Nominativ > Dativ > Akkusativ > Verb (Subjekt > Wem > Was > Verb). Treffen Dativ (le) und Akkusativ (lo) aufeinander, wird le wegen des Wohlklangs zu se.
06 Weibliches Akkusativ-Pronomen;{{c1::Ella se las da}}.;.Sie gibt sie (die Schlüssel) ihm.;;Das Akkusativ-Pronomen (Was?) passt sich dem Geschlecht der Sache an. Aus dem maskulinen lo wird bei weiblichen Dingen im Plural zwingend las.
07 Fragesatz-Struktur;¿{{c1::El libro es rojo}}?;Ist das Buch rot?;;Der Satzbau ändert sich bei Fragen oft überhaupt nicht. Nur die Betonung und die umgedrehten Fragezeichen am Anfang markieren die Frage.
08 Pluralbildung (Mehrzahl);{{c1::Los libros son rojos}}.;Die Bücher sind rot.;;Im Plural hängen alle Elemente zusammen: Artikel (los), Nomen (libros) und Adjektiv (rojos) bekommen ein -s.
09 Enklise (Pronomen-Anhängung);{{c1::Puedo dárselo a él}}.;Ich kann es ihm geben.;;Bei einer Kombination aus Hilfsverb + Infinitiv wandern die Pronomen als ein einziges, langes Wort direkt ans Ende des Infinitivs.
10 Dativ-Klarstellung;{{c1::Quiero dárselo a ella}}.;Ich will es ihr geben.;;Da das Pronomen se für „ihm“, „ihr“ und „Ihnen“ gleich ist, baut man am Satzende ein a ella ein, um Missverständnisse zu vermeiden. Der Akzent auf dem á in „dárselo“ ist nötig, um die ursprüngliche Betonung des Verbs beizubehalten, nachdem Pronomen angehängt wurden.
11 Periphrastisches Futur;{{c1::Voy a saberlo mañana}}.;Ich werde es morgen wissen.;;Die einfachste Zukunft der Welt: Du brauchst keine echten Futur-Endungen, sondern nutzt einfach ir a (ich gehe zu) + Infinitiv.
12 Starrheit der Negation;{{c1::No puedo leer el libro}}.;Ich kann das Buch nicht lesen.;;Das Wörtchen no ist extrem dominant. Es steht im Regelfall immer direkt und unzertrennlich vor dem konjugierten Verb.
13 Das Gerundium (Verlaufsform);{{c1::Estoy leyendo el libro}}.;Ich lese das Buch gerade.;;Gegenwart im Moment des Sprechens: estar + -ando/-iendo.
14 Das Präteritum (Indefinido);{{c1::Ayer leí el libro}}.;Gestern habe ich das Buch gelesen.;;Einmalige, abgeschlossene Handlung in der Vergangenheit.
