main_topic;cloze_test;translation;hint;extra
Realer Konditionalsatz;Si Carlos {{c1::tiene}} tiempo, lee el libro.;Wenn Carlos Zeit hat, liest er das Buch.;Nutze die normale 3. Person Singular im Präsens des Verbs tener (tiene) direkt nach dem Bedingungswort si (wenn).;Das Wort si (wenn/falls) wird im Gegensatz zu sí (ja) streng ohne Akzent geschrieben.
Realer Konditionalsatz;Si {{c1::estudio}} hoy, aprendo rápido.;Wenn ich heute lerne, lerne ich schnell.;Nutze die 1. Person Singular im Präsens von estudiar (estudio) nach dem Wort si.;Im Spanischen gilt für die Gegenwart die einfachste Formel: Si + Präsens, Präsens.
Realer Konditionalsatz;Si tú {{c1::quieres}}, vamos a la playa.;Wenn du willst, gehen wir an den Strand.;Nutze die 2. Person Singular im Präsens von querer (quieres) nach dem Wort si.;
Realer Konditionalsatz;Si el sol {{c1::brilla}}, el día es hermoso.;Wenn die Sonne scheint, ist der Tag wunderschön.;Nutze die 3. Person Singular im Präsens von brillar (brilla).;Das Wort sol ist maskulin laut LONERS-Regel.
Realer Konditionalsatz;Si nosotros {{c1::ayudamos}}, el proyecto avanza.;Wenn wir helfen, kommt das Projekt voran.;Nutze die 1. Person Plural im Präsens von ayudar (ayudamos).;
Realer Konditionalsatz;Si vosotros {{c1::compartís}} las ideas, todos ganan.;Wenn ihr die Ideen teilt, gewinnen alle.;Nutze die 2. Person Plural im Präsens von compartir (compartís). Denke an den Akzent!;
Realer Konditionalsatz;Si ellos {{c1::vienen}} hoy, celebramos el éxito.;Wenn sie heute kommen, feiern wir den Erfolg.;Nutze die 3. Person Plural im Präsens von venir (vienen).;Das Wort éxito ist maskulin laut LONERS-Regel.
Realer Konditionalsatz;Si usted {{c1::necesita}} las llaves, están aquí.;Wenn Sie (Sg. höflich) die Schlüssel brauchen, sind sie hier.;Nutze die 3. Person Singular im Präsens von necesitar (necesita) passend zu usted.;Hier siehst du auch estar für Orte (están aquí).
Realer Konditionalsatz;Si ustedes {{c1::compran}} el coche, es de ustedes.;Wenn Sie (Pl. höflich) das Auto kaufen, gehört es Ihnen.;Nutze die 3. Person Plural im Präsens von comprar (compran).;Hier siehst du auch das gelernte Genitiv-Muster (es de ustedes) für den Besitz.
Realer Konditionalsatz;Si tengo el dinero, {{c1::compro}} el libro.;Wenn ich das Geld habe, kaufe ich das Buch.;Setze das Folgeverb in der 1. Person Singular Präsens von comprar (compro) ein.;Die Reihenfolge kann auch umgedreht werden: Compro el libro si tengo el dinero. Auch dann bleibt alles im Präsens.
Realer Konditionalsatz mit Futur;Si haces el trabajo, vas a {{c1::lograr}} el éxito.;Wenn du die Arbeit machst, wirst du den Erfolg erreichen.;Der Hauptsatz steht im periphrastischen Futur. Ergänze den reinen Infinitiv lograr.;Das Präsens im Si-Satz lässt sich im Hauptsatz auch wunderbar mit dem periphrastischen Futur (Satzmuster 11) kombinieren.
