main_topic;cloze_test;translation;hint;extra
Verb dar Präsens (1. Sg. - Feste Wendung);Yo {{c1::doy}} un consejo bueno a mi amigo.;Ich gebe meinem Freund einen guten Rat.;Bilde die unregelmäßige 1. Person Singular von dar (ich gebe) im Präsens.;Die 1. Person Singular von dar endet unregelmäßig auf -oy (doy).
Verb dar Präsens (1. Sg. - Feste Wendung);Yo siempre {{c1::doy}} un paseo por el parque.;Ich gehe immer im Park spazieren (ich gebe einen Spaziergang).;Bilde die 1. Person Singular von dar (ich gehe spazieren) im Präsens.;"Dar un paseo" ist die feste spanische Struktur für spazieren gehen.
Verb dar Präsens (1. Sg. - Feste Wendung);Yo le {{c1::doy}} un abrazo a mi madre ahora.;Ich umarme meine Mutter jetzt (ich gebe ihr eine Umarmung).;Bilde die 1. Person Singular von dar (ich umarme) im Präsens.;Das Pronomen le verweist hier redundant auf den Empfänger (a mi madre).
Verb dar Präsens (1. Sg. - Feste Wendung);Yo {{c1::doy}} las gracias por la comida rica.;Ich bedanke mich für das leckere Essen.;Bilde die 1. Person Singular von dar (ich bedanke mich) im Präsens.;"Dar las gracias" bedeutet sich bedanken.
Verb dar Präsens (1. Sg. - Reflexiv);Yo me {{c1::doy}} cuenta del error grave hoy.;Ich bemerke den schweren Fehler heute.;Bilde die 1. Person Singular von dar für das reflexive Bemerken (darse cuenta).;"Darse cuenta de algo" ist die feste Redewendung für etwas bemerken oder einsehen.
Verb dar Präsens (2. Sg. - Frage);¿Tú qué le {{c1::das}} al director en la oficina?;Was gibst du dem Leiter im Büro?;Bilde die 2. Person Singular von dar (du gibst) im Präsens. Ohne Akzent!;Die Präsensformen von dar haben im Indikativ keinen geschriebenen Akzent.
Verb dar Präsens (2. Sg. - Feste Wendung);Tú {{c1::das}} una vuelta por el hotel nuevo.;Du drehst eine Runde im neuen Hotel.;Bilde die 2. Person Singular von dar (du drehst eine Runde) im Präsens.;"Dar una vuelta" bedeutet eine Runde drehen oder kurz spazieren gehen.
Verb dar Präsens (2. Sg. - Feste Wendung);Tú siempre me {{c1::das}} la razón en todo.;Du gibst mir immer in allem recht.;Bilde die 2. Person Singular von dar (du gibst recht) im Präsens.;"Dar la razón a alguien" bedeutet jemandem recht geben.
Verb dar Präsens (2. Sg. - Feste Wendung);Tú {{c1::das}} un grito cuando ves el accidente.;Du stößt einen Schrei aus, wenn du den Unfall siehst.;Bilde die 2. Person Singular von dar (du schreist/stößt aus) im Präsens.;"Dar un grito" drückt das punktuelle Aufschreien aus.
Verb dar Präsens (2. Sg. - Reflexiv);¿Tú te {{c1::das}} cuenta de la hora que es?;Merkst du (bmerkst du), wie spät es ist?;Bilde die 2. Person Singular von dar für das reflexive Bemerken (darse cuenta).;Achte auf das Reflexivpronomen te vor dem Verb.
Verb dar Präsens (3. Sg. - Feste Wendung);El mapa {{c1::da}} la dirección del hospital.;Die Karte gibt (zeigt) die Adresse des Krankenhauses.;Bilde die 3. Person Singular von dar (es gibt/zeigt) im Präsens.;Dirección ist weiblich laut D-IÓ-A-Z-Regel (la dirección).
Verb dar Präsens (3. Sg. - Emotion);A ella le {{c1::da}} pena esa noticia triste.;Ihr tut diese traurige Nachricht leid.;Bilde die 3. Person Singular von dar (es tut leid) im Präsens.;"Dar pena a alguien" ist das feste Muster für leidtun oder traurig machen.
Verb dar Präsens (3. Sg. - Feste Wendung);El sol {{c1::da}} mucha luz en la playa hoy.;Die Sonne gibt heute am Strand viel Licht.;Bilde die 3. Person Singular von dar (sie gibt) im Präsens.;Sol und playa gehören zum absoluten Grundwortschatz.
Verb dar Präsens (3. Sg. - Feste Wendung);El profesor {{c1::da}} una clase de español ahora.;Der Lehrer gibt (hält) jetzt eine Spanischstunde.;Bilde die 3. Person Singular von dar (er/sie/es gibt) im Präsens.;"Dar una clase" bedeutet Unterricht geben oder eine Stunde halten.
Verb dar Präsens (3. Sg. - Egal sein);A él le {{c1::da}} igual el precio del coche.;Ihm ist der Preis des Autos egal (es gibt ihm gleich).;Bilde die 3. Person Singular von dar für den Ausdruck "egal sein" (dar igual).;"Dar igual a alguien" bedeutet jemandem egal oder gleichgültig sein.
Verb dar Präsens (1. Pl. - Überreichen);Nosotros {{c1::damos}} los documentos nuevos al jefe.;Wir geben dem Chef die neuen Dokumente.;Bilde die 1. Person Plural von dar (wir geben) im Präsens. Kein Akzent!;Die Form damos ist komplett regelmäßig im Stamm.
