main_topic;cloze_test;translation;hint;extra
Verb poder Präsens (1. Sg. - Fähigkeit);Yo {{c1::puedo}} hablar español un poco ahora.;Ich kann jetzt ein wenig Spanisch sprechen.;Bilde die 1. Person Singular von poder (ich kann) im Präsens mit Stammwechsel.;Der Stamm wechselt im Präsens von o zu ue (puedo).
Verb poder Präsens (1. Sg. - Möglichkeit);Hoy yo {{c1::puedo}} hacer el trabajo de la oficina.;Heute kann ich die Büroarbeit machen.;Bilde die 1. Person Singular von poder (ich kann) im Präsens.;Auf das Modalverb poder folgt direkt der Infinitiv des Hauptverbs.
Verb poder Präsens (1. Sg. - Erlaubnis Frage);¿{{c1::Puedo}} ir al baño, por favor?;Kann (darf) ich bitte auf die Toilette gehen?;Bilde die 1. Person Singular von poder (ich kann/darf) für eine höfliche Frage.;Poder drückt neben der reinen Fähigkeit auch eine Erlaubnis aus.
Verb poder Präsens (1. Sg. - Hilfe);Yo {{c1::puedo}} hacer un favor a tu hermano mayor.;Ich kann deinem älteren Bruder einen Gefallen tun.;Bilde die 1. Person Singular von hacer (ich tue) im Präsens.;"Hacer un favor a alguien" bedeutet jemandem einen Gefallen tun.
Verb poder Präsens (1. Sg. - Lösung);Yo no {{c1::puedo}} buscar una solución sola.;Ich kann alleine keine Lösung suchen.;Bilde die verneinte 1. Person Singular von poder für ein weibliches Subjekt.;Sola passt sich an das weibliche, implizite Subjekt (yo) an.
Verb poder Präsens (2. Sg. - Frage);¿Tú {{c1::puedes}} hacer deporte conmigo mañana?;Kannst du morgen mit mir Sport machen?;Bilde die 2. Person Singular von poder (du kannst) im Präsens mit Stammwechsel.;Der Stammwechsel (puedes) betrifft auch die 2. Person Singular.
Verb poder Präsens (2. Sg. - Erlaubnis);Tú {{c1::puedes}} ir a la fiesta el sábado.;Du kannst (darfst) am Samstag zum Fest gehen.;Bilde die 2. Person Singular von poder (du kannst/darfst) im Präsens.;Fiesta ist ein weibliches Substantiv (la fiesta).
Verb poder Präsens (2. Sg. - Möglichkeit);Tú {{c1::puedes}} cambiar de coche este año.;Du kannst dieses Jahr das Auto wechseln.;Bilde die 2. Person Singular von poder (du kannst) im Präsens.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb poder Präsens (2. Sg. - Gefallen);¿Tú me {{c1::puedes}} hacer un favor ahora?;Kannst du mir jetzt einen Gefallen tun?;Bilde die 2. Person Singular von poder (du kannst) im Präsens.;Das Pronomen me kann vor poder stehen oder an den Infinitiv angehängt werden (puedes hacerme).
Verb poder Präsens (2. Sg. - Erreichbarkeit);Tú {{c1::puedes}} estar disponible el lunes, ¿no?;Du kannst am Montag verfügbar sein, richtig?;Bilde die 2. Person Singular von poder (du kannst) im Präsens.;Disponible (verfügbar) bleibt für beide Geschlechter gleich.
Verb poder Präsens (3. Sg. - Möglichkeit);El director {{c1::puede}} hacer la llamada pronto.;Der Leiter kann den Anruf bald tätigen (machen).;Bilde die 3. Person Singular von poder (er/sie/es kann) im Präsens mit Stammwechsel.;Auch in der 3. Person Singular bricht der Stammwechsel durch (puede).
Verb poder Präsens (3. Sg. - Erlaubnis);Ella no {{c1::puede}} entrar en este despacho.;Sie darf dieses Büro nicht betreten (kann nicht hineingehen).;Bilde die verneinte 3. Person Singular von poder im Präsens.;Despacho bedeutet Büro oder Arbeitszimmer und ist maskulin.
Verb poder Präsens (3. Sg. - Fähigkeit);Mi hijo menor ya {{c1::puede}} ir en bicicleta.;Mein jüngerer Sohn kann schon Fahrrad fahren.;Bilde die 3. Person Singular von poder (er/sie/es kann) im Präsens.;Das Transportmittel wird mit en eingeleitet (en bicicleta).
Verb poder Präsens (3. Sg. - Unpersönlich);Aquí se {{c1::puede}} pagar con tarjeta de crédito.;Hier kann man mit Kreditkarte bezahlen.;Bilde die unpersönliche Form mit se (man kann) im Präsens.;"Se puede + Infinitiv" ist die Standardform für "man kann / es ist möglich".
