main_topic;cloze_test;translation;hint;extra
Persönliches A bei Eigennamen;Veo {{c1::a}} Carlos.;Ich sehe Carlos.;Setze die zwingende Präposition vor den spezifischen Personennamen Carlos.;Carlos ist das direkte Objekt (Wen-oder-was-Objekt). Weil er ein Mensch ist braucht das Spanische das persönliche a.
Persönliches A bei Eigennamen;Abrazo {{c1::a}} María.;Ich umarme Maria.;Setze das persönliche a vor den weiblichen Vornamen.;Das Verb abrazar bedeutet umarmen und gehört zum optimistischen Alltagswortschatz.
Persönliches A bei Eigennamen;Busco {{c1::a}} Juan.;Ich suche Juan.;Nutze die Präposition a vor dem männlichen Vornamen.;
Persönliches A bei Eigennamen;Escucho {{c1::a}} Sofía.;Ich höre Sofia zu.;Setze das persönliche a vor den Namen Sofía.;Escuchar bedeutet im Spanischen direkt jemanden hören oder anhören.
Persönliches A bei Eigennamen;Esperamos {{c1::a}} Ana.;Wir warten auf Ana.;Setze das persönliche a vor den Namen Ana.;Das Verb esperar (warten) braucht im Spanischen kein auf sondern greift direkt über das persönliche a auf Personen zu.
Persönliches A Verschmelzung al;Veo {{c1::al}} profesor.;Ich sehe den Lehrer.;Pflichtverschmelzung beachten: Wenn das persönliche a auf den maskulinen Artikel el trifft wird daraus zwingend al.;Die Formel lautet: a + el = al. Bei weiblichen Formen (a la) passiert das nicht.
Persönliches A Verschmelzung al;Ayudamos {{c1::al}} médico.;Wir helfen dem Arzt.;Nutze die Pflichtverschmelzung al vor dem maskulinen Substantiv médico.;Das Verb ayudar verlangt im Spanischen das direkte Akkusativ-Objekt weshalb hier das persönliche a greift.
Persönliches A Verschmelzung al;Amo {{c1::al}} niño.;Ich liebe das Kind (den Jungen).;Kombiniere das persönliche a mit dem maskulinen Artikel el zu einem einzigen Wort (al).;
Persönliches A Verschmelzung al;Llamo {{c1::al}} director.;Ich rufe den Direktor an.;Nutze die Verschmelzung al vor dem maskulinen Nomen director.;Llamar (anrufen/rufen) verlangt im Spanischen bei Personen immer das persönliche a.
Persönliches A Verschmelzung al;Recibimos {{c1::al}} huésped con una sonrisa.;Wir empfangen den Gast mit einem Lächeln.;Bilde die Besitz- oder Personenmarkierung mit der Verschmelzung al vor huésped (Gast).;
Persönliches A ohne Verschmelzung feminin;Amo {{c1::a la}} madre.;Ich liebe die Mutter.;Bei weiblichen Personen im Singular findet keine Verschmelzung statt. Schreibe das persönliche a und den Artikel getrennt (a la).;Hier siehst du wieder la madre: Endet auf -e ist aber biologisch weiblich.
Persönliches A ohne Verschmelzung feminin;Escucho {{c1::a la}} profesora.;Ich höre der Lehrerin zu.;Schreibe das persönliche a und den weiblichen Artikel sauber getrennt vor der Person (a la).;
Persönliches A ohne Verschmelzung feminin;Visito {{c1::a la}} abuela.;Ich besuche die Oma.;Bilde die Personenmarkierung für die weibliche Einzahl komplett getrennt (a la).;
Persönliches A ohne Verschmelzung feminin;Conozco {{c1::a la}} directora.;Ich kenne die Direktorin.;Nutze die getrennte Form a la vor der weiblichen Führungskraft.;Conocer bedeutet jemanden kennen oder kennenlernen.
Persönliches A ohne Verschmelzung feminin;El médico atiende {{c1::a la}} niña.;Der Arzt bedient (behandelt) das Mädchen.;Setze die getrennte Form a la vor dem weiblichen Kind ein.;
Persönliches A im Plural maskulin;Quiero {{c1::a los}} niños.;Ich liebe die Kinder.;Im Plural findet keine Verschmelzung statt. Nutze a los für eine maskuline oder gemischte Gruppe von Personen.;Querer bedeutet bei Personen überaus häufig lieben statt wollen.
Persönliches A im Plural maskulin;Ayudo {{c1::a los}} estudiantes.;Ich helfe den Studenten.;Bilde die Personenmarkierung im maskulinen Plural komplett getrennt (a los).;Wörter auf -e wie estudiante sind laut LONERS maskulin.
Persönliches A im Plural maskulin;Saludamos {{c1::a los}} vecinos.;Wir grüßen die Nachbarn.;Nutze die getrennte Pluralform a los vor dem maskulinen/gemischten Plural vecinos.;Saludar bedeutet jemanden grüßen oder begrüßen.
Persönliches A im Plural feminin;Veo {{c1::a las}} mujeres.;Ich sehe die Frauen.;Nutze für die rein weibliche Pluralgruppe die getrennte Struktur a las.;
Persönliches A im Plural feminin;Recibo {{c1::a las}} amigas en casa.;Ich empfange die Freundinnen zu Hause.;Nutze für die rein weibliche Gruppe im Plural die Kombination a las.;
Persönliches A bei Haustieren;Amo {{c1::a}} mi perro.;Ich liebe meinen Hund.;Das persönliche a ist auch bei personalisierten Haustieren (wie dem eigenen Hund) absolute Pflicht.;Wenn man von einem namenlosen Straßentier spricht fällt das a oft weg. Beim eigenen Haustier steht es immer.
Persönliches A bei Haustieren;Llamo {{c1::a}} mi gata.;Ich rufe meine Katze.;Nutze das persönliche a vor dem Possessivpronomen mi bei deinem Haustier.;
Direkter Kontrast ohne A;Veo {{c1::el}} libro en la mesa.;Ich sehe das Buch auf dem Tisch.;Hier bleibt die Lücke ohne ein a! Nutze nur den normalen maskulinen Artikel el.;Das Buch ist eine Sache (unbelebt) weshalb das persönliche a hier strengstens verboten ist.
Direkter Kontrast ohne A;Compro {{c1::la}} casa nueva.;Ich kaufe das neue Haus.;Hier darf kein a stehen! Nutze nur den normalen weiblichen Artikel la.;Das Haus ist eine Sache weshalb kein persönliches a greift.
Direkter Kontrast ohne A;Tengo {{c1::un}} coche rápido.;Ich habe ein schnelles Auto.;Hier bleibt das persönliche a weg da das Auto ein Gegenstand ist. Nutze den unbestimmten Artikel un.;
Negation vor dem Verb;No veo {{c1::a}} Carlos hoy.;Ich sehe Carlos heute nicht.;Das no steht starr vor dem Verb veo. Das persönliche a bleibt unberührt vor Carlos stehen.;Hier greift deine Pareto-Regel 12: Die Verneinung schützt das konjugierte Verb steht aber weit links vom Objekt.
Persönliches A in einer Frage;¿Buscas {{c1::a}} tu amiga?;Suchst du deine Freundin?;Bilde die Frage mit dem persönlichen a vor dem Possessivpronomen tu.;
Persönliches A in einer Frage;¿Conocéis {{c1::al}} director del hotel?;Kennt ihr den Direktor des Hotels?;Nutze die Verschmelzung al in der Frage. Denke an den Genitiv del am Ende!;Hier greifen das persönliche al und die Besitzanzeige del perfekt ineinander.
Persönliches A im Futur (ir a);Voy a visitar {{c1::a}} mi hermano.;Ich werde meinen Bruder besuchen.;Das persönliche a steht nach dem Infinitiv vor dem Possessivpronomen mi.;Beim Futur (Satzmuster 11) rutscht das persönliche a hinter den Infinitiv direkt vor die Person.
Persönliches A im Gerundium;Estoy mirando {{c1::a}} las estrellas.;Ich schaue gerade die Sterne an.;Bilde die Verlaufsform. Sterne werden im Spanischen poetisch oft mit dem persönlichen a personalisiert.;Sterne oder die Natur werden in der spanischen Sprache häufig wie lebendige Wesen mit dem persönlichen a markiert.
Persönliches A nach unbestimmten Pronomen;No veo {{c1::a}} nadie.;Ich sehe niemanden.;Das unbestimmte Pronomen nadie (niemand) verweist auf Menschen und braucht zwingend das persönliche a.;Hier siehst du auch wieder die doppelte Verneinung (no + veo + nadie).
Persönliches A nach unbestimmten Pronomen;Busco {{c1::a}} alguien.;Ich suche jemanden.;Das Pronomen alguien (jemand) bezieht sich auf Personen weshalb das persönliche a Pflicht ist.;
Persönliches A Höflichkeitsform Sg.;Quiero ayudar {{c1::a}} usted.;Ich möchte Ihnen (Sg. höflich) helfen (Ich will Sie unterstützen).;Nutze das persönliche a vor dem Höflichkeitspronomen usted am Satzende.;Da usted direkt die Person meint greift das persönliche a.
Persönliches A Höflichkeitsform Pl.;Veo {{c1::a}} ustedes en la reunión.;Ich sehe Sie (Pl. höflich) im Treffen.;Nutze das persönliche a vor dem Höflichkeits-Plural-Pronomen ustedes.;
Persönliches A bei Berufen;Llamamos {{c1::a la}} doctora.;Wir rufen die Ärztin an.;Bilde die getrennte Struktur a la vor dem weiblichen Berufstext.;
