main_topic;cloze_test;translation;hint;extra
Verb ver Präsens (1. Sg. - Wahrnehmung);Yo {{c1::veo}} un coche nuevo y rojo en la calle.;Ich sehe ein neues, rotes Auto auf der Straße.;Bilde die 1. Person Singular von ver (ich sehe) im Präsens.;Die 1. Person Singular von ver lautet unregelmäßig veo.
Verb ver Präsens (1. Sg. - Medien);Yo {{c1::veo}} la televisión por la tarde siempre.;Ich sehe nachmittags immer fern (ich schaue Fernsehen).;Bilde die 1. Person Singular von ver (ich sehe) im Präsens.;"Ver la televisión" ist der Standardausdruck für fernsehen.
Verb ver Präsens (1. Sg. - Treffen);Hoy yo {{c1::veo}} al director en su nuevo despacho.;Heute treffe (sehe) ich den Leiter in seinem neuen Büro.;Bilde die 1. Person Singular von ver (ich sehe/treffe) im Präsens.;Bei Personen folgt nach ver das persönliche "a" (ver a + el = al).
Verb ver Präsens (1. Sg. - Zukunft/Plan);Yo {{c1::veo}} que tenemos que buscar una solución.;Ich sehe, dass wir eine Lösung suchen müssen.;Bilde die 1. Person Singular von ver (ich sehe) im Präsens.;"Lo que" oder "que" leitet oft logische Schlussfolgerungen ein.
Verb ver Präsens (1. Sg. - Reflexiv Aussehen);Yo me {{c1::veo}} muy bien con este traje nuevo.;Ich sehe mit diesem neuen Anzug sehr gut aus (ich sehe mich gut).;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse).;"Verse + Adjektiv" bedeutet in einem bestimmten Zustand aussehen.
Verb ver Präsens (2. Sg. - Frage);¿Tú {{c1::ves}} los resultados del examen ahora?;Siehst du die Prüfungsergebnisse jetzt?;Bilde die 2. Person Singular von ver (du siehst) im Präsens. Ohne Akzent!;Die Formen ab der 2. Person Singular sind bei ver im Präsens regelmäßig.
Verb ver Präsens (2. Sg. - Wahrnehmung);Tú {{c1::ves}} el hospital desde la ventana, ¿no?;Du siehst das Krankenhaus vom Fenster aus, oder?;Bilde die 2. Person Singular von ver (du siehst) im Präsens.;Desde bedeutet von... aus oder seit (zeitlich).
Verb ver Präsens (2. Sg. - Reflexiv Aussehen);Tú te {{c1::ves}} muy cansado hoy por la mañana.;Du siehst heute Morgen sehr müde aus.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse).;Cansado passt sich an das Geschlecht des Angesprochenen an.
Verb ver Präsens (2. Sg. - Medien);Tú siempre {{c1::ves}} partidos de fútbol en casa.;Du schaust dir zu Hause immer Fußballspiele an.;Bilde die 2. Person Singular von ver (du siehst/schaust) im Präsens.;Partido steht für Spiel, Match oder auch eine politische Partei.
Verb ver Präsens (2. Sg. - Verstehen);Tú {{c1::ves}} que la situación es bastante grave.;Du siehst (erkennst), dass die Situation ziemlich ernst ist.;Bilde die 2. Person Singular von ver (du siehst) im Präsens.;Bastante bedeutet genug oder ziemlich/ganz schön.
Verb ver Präsens (3. Sg. - Wahrnehmung);El director {{c1::ve}} un gran error en el contrato.;Der Leiter sieht einen großen Fehler im Vertrag.;Bilde die 3. Person Singular von ver (er/sie/es sieht) im Präsens. Ohne Akzent!;Die Form ve ist einsilbig und trägt im Präsens keinen Akzent.
Verb ver Präsens (3. Sg. - Treffen);Ella {{c1::ve}} a su madre todos los domingos.;Sie sieht (trifft) ihre Mutter jeden Sonntag.;Bilde die 3. Person Singular von ver (er/sie/es sieht) im Präsens.;Das persönliche "a" steht vor dem weiblichen Nomen (a su madre).
Verb ver Präsens (3. Sg. - Reflexiv Aussehen);Él se {{c1::ve}} muy elegante con esa camisa.;Er sieht mit diesem Hemd sehr elegant aus.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse).;Camisa (Hemd) gehört zum alltäglichen Grundwortschatz.
Verb ver Präsens (3. Sg. - Wahrnehmung);Desde aquí no se {{c1::ve}} nada por la niebla.;Von hier aus sieht man wegen des Nebels nichts.;Bilde die unpersönliche Form mit se (man sieht) im Präsens.;"No se ve nada" bedeutet man sieht nichts / es ist nichts zu sehen.
Verb ver Präsens (3. Sg. - Medien);El niño {{c1::ve}} una película de dibujos animados.;Das Kind schaut einen Zeichentrickfilm.;Bilde die 3. Person Singular von ver (er/sie/es sieht/schaut) im Präsens.;"Dibujos animados" ist der spanische Begriff für Zeichentrick.
Verb ver Präsens (1. Pl. - Wahrnehmung);Nosotros {{c1::vemos}} las estrellas en el cielo.;Wir sehen die Sterne am Himmel.;Bilde die 1. Person Plural von ver (wir sehen) im Präsens. Kein Akzent!;Die Form vemos ist komplett regelmäßig.
Verb ver Präsens (1. Pl. - Medien);Nosotros {{c1::vemos}} una serie nueva en la televisión.;Wir schauen eine neue Serie im Fernsehen.;Bilde die 1. Person Plural von ver (wir schauen/sehen) im Präsens.;Serie ist ein weibliches Substantiv (una serie).
Verb ver Präsens (1. Pl. - Reflexiv Treffen);Nosotros nos {{c1::vemos}} mañana en la oficina.;Wir sehen (treffen) uns morgen im Büro.;Bilde die 1. Person Plural von ver für das reziproke "uns sehen" (verse).;"¡Nos vemos!" ist der mit Abstand häufigste Abschiedsgruß im Spanischen.
Verb ver Präsens (1. Pl. - Treffen);Nosotras {{c1::vemos}} a nuestras amigas en la playa.;Wir sehen (treffen) unsere Freundinnen am Strand.;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe.;Nuestras amigas fordert das persönliche "a" nach dem Verb.
Verb ver Präsens (1. Pl. - Verstehen);Nosotros {{c1::vemos}} que los cambios son necesarios.;Wir sehen, dass die Veränderungen notwendig sind.;Bilde die 1. Person Plural von ver (wir sehen/erkennen) im Präsens.;Cambio (Veränderung) ist ein maskulines Substantiv.
Verb ver Präsens (2. Pl. - Frage);¿Vosotros {{c1::veis}} el problema real aquí?;Seht ihr das wirkliche Problem hier?;Bilde die 2. Person Plural von ver (ihr seht) im Präsens. Kein Akzent!;Achte darauf, dass die Form veis im Präsens keinen Akzent trägt (Diphthong auf der Endsilbe).
Verb ver Präsens (2. Pl. - Reflexiv Aussehen);Vosotros os {{c1::veis}} muy jóvenes en esa foto.;Ihr seht auf dem Foto sehr jung aus.;Bilde die 2. Person Plural von ver für das reflexive Aussehen mit os.;Jóvenes (jung) trägt im Plural einen Akzent auf dem o.
Verb ver Präsens (2. Pl. - Medien);Vosotras {{c1::veis}} un documental sobre la naturaleza.;Ihr schaut eine Dokumentation über die Natur.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe.;Documental ist maskulin im Spanischen (el documental).
Verb ver Präsens (2. Pl. - Treffen);¿Vosotros {{c1::veis}} al jefe el próximo lunes?;Seht (trefft) ihr den Chef nächsten Montag?;Bilde die 2. Person Plural von ver (ihr seht) im Präsens.;Verschmelzung von a + el = al vor jefe.
Verb ver Präsens (2. Pl. - Reflexiv Treffen);Vosotros os {{c1::veis}} en el centro comercial, ¿no?;Ihr seht (trefft) euch im Einkaufszentrum, richtig?;Bilde die 2. Person Plural von ver für das reziproke "euch sehen".;Das Pronomen lautet os für die ihr-Form.
