main_topic;cloze_test;translation;hint;extra
Verb hacer Präsens (1. Sg. - Aktivität);Yo {{c1::hago}} deporte todas las mañanas.;Ich mache jeden Morgen Sport.;Bilde die unregelmäßige 1. Person Singular von hacer (ich mache) im Präsens.;Die 1. Person Singular von hacer endet unregelmäßig auf -go (hago).
Verb hacer Präsens (1. Sg. - Aufgabe);Yo {{c1::hago}} el trabajo de la escuela ahora.;Ich mache jetzt die Schularbeit.;Bilde die 1. Person Singular von hacer (ich mache) im Präsens.;Trabajo ist ein maskulines Substantiv (el trabajo).
Verb hacer Präsens (1. Sg. - Frage);¿Qué {{c1::hago}} yo con estos documentos nuevos?;Was mache ich mit diesen neuen Dokumenten?;Bilde die 1. Person Singular von hacer (ich mache) im Präsens.;Qué (was) trägt in Fragen immer einen Akzent.
Verb hacer Präsens (1. Sg. - Projekt);Yo {{c1::hago}} una propuesta excelente para el grupo.;Ich mache einen exzellenten Vorschlag für die Gruppe.;Bilde die 1. Person Singular von hacer (ich mache) im Präsens.;Propuesta (Vorschlag) stammt aus dem geschäftlichen Grundwortschatz.
Verb hacer Präsens (1. Sg. - Gefallen);Yo {{c1::hago}} un favor a mi hermano mayor.;Ich tue meinem älteren Bruder einen Gefallen.;Bilde die 1. Person Singular von hacer (ich tue) im Präsens.;"Hacer un favor a alguien" bedeutet jemandem einen Gefallen tun.
Verb hacer Präsens (2. Sg. - Frage);¿Tú qué {{c1::haces}} en tu tiempo libre?;Was machst du in deiner Freizeit?;Bilde die 2. Person Singular von hacer (du machst) im Präsens.;Die Formen ab der 2. Person sind bei hacer im Präsens regelmäßig.
Verb hacer Präsens (2. Sg. - Aufgabe);Tú {{c1::haces}} las tareas de la oficina hoy.;Du machst heute die Aufgaben des Büros.;Bilde die 2. Person Singular von hacer (du machst) im Präsens.;Tarea bedeutet Aufgabe oder Hausaufgabe.
Verb hacer Präsens (2. Sg. - Essen);Tú {{c1::haces}} una comida deliciosa los domingos.;Du machst sonntags ein köstliches Essen.;Bilde die 2. Person Singular von hacer (du machst) im Präsens.;Hacer wird im Spanischen auch für das Zubereiten von Essen genutzt.
Verb hacer Präsens (2. Sg. - Fehler);Tú {{c1::haces}} un gran esfuerzo, no te preocupes.;Du machst eine große Anstrengung, mach dir keine Sorgen.;Bilde die 2. Person Singular von hacer (du machst) im Präsens.;Esfuerzo bedeutet Anstrengung, Bemühung oder Aufwand.
Verb hacer Präsens (2. Sg. - Frage);¿Por qué tú {{c1::haces}} tantas preguntas siempre?;Warum stellst (machst) du immer so viele Fragen?;Bilde die 2. Person Singular von hacer (du machst) im Präsens.;"Hacer preguntas" ist die spanische Struktur für Fragen stellen.
Verb hacer Präsens (3. Sg. - Aufgabe);El director {{c1::hace}} una llamada importante.;Der Leiter tätigt (macht) einen wichtigen Anruf.;Bilde die 3. Person Singular von hacer (er/sie/es macht) im Präsens.;Llamada (Anruf) stammt vom Verb llamar.
Verb hacer Präsens (3. Sg. - Wetter Kälte);Hoy {{c1::hace}} mucho frío en la calle.;Heute ist es sehr kalt auf der Straße (macht es viel Kälte).;Bilde die unpersönliche 3. Person Singular von hacer für das Wetter.;Wetterbedingungen (Kälte, Hitze, Wind) werden unpersönlich mit hacer ausgedrückt.
Verb hacer Präsens (3. Sg. - Wetter Sonne);En verano siempre {{c1::hace}} sol aquí.;Im Sommer scheint hier immer die Sonne (macht es Sonne).;Bilde die unpersönliche 3. Person Singular von hacer für das Wetter.;Sol (Sonne) ist ein maskulines Substantiv (el sol).
Verb hacer Präsens (3. Sg. - Zeitspanne);{{c1::Hace}} dos años que vivo en este país.;Seit zwei Jahren wohne ich in diesem Land (Es macht 2 Jahre, dass...).;Bilde die unpersönliche Form für Zeitspannen (hace) im Präsens.;Die Struktur hace + Zeitspanne + que drückt eine andauernde Handlung seit einem Zeitpunkt aus.
Verb hacer Präsens (3. Sg. - Reise);Ella {{c1::hace}} un viaje largo por Europa.;Sie macht eine lange Reise durch Europa.;Bilde die 3. Person Singular von hacer (er/sie/es macht) im Präsens.;Viaje ist im Spanischen maskulin (el viaje).
Verb hacer Präsens (1. Pl. - Aktivität);Nosotros {{c1::hacemos}} una fiesta el sábado.;Wir machen am Samstag ein Fest.;Bilde die 1. Person Plural von hacer (wir machen) im Präsens.;Fiesta (Fest/Party) ist ein weibliches Substantiv.
Verb hacer Präsens (1. Pl. - Aufgabe);Nosotros {{c1::hacemos}} el proyecto juntos.;Wir machen das Projekt zusammen.;Bilde die 1. Person Plural von hacer (wir machen) im Präsens.;Juntos (zusammen) passt sich im Geschlecht an (juntas für reine Frauengruppen).
Verb hacer Präsens (1. Pl. - Zeitspanne);{{c1::Hace}} un mes que nosotros estamos aquí.;Seit einem Monat sind wir hier.;Bilde die unpersönliche Form für Zeitspannen (hace) am Satzanfang.;Auch bei Plural-Subjekten im Hauptsatz bleibt die Zeitform „hace“ starr in der 3. Person Singular.
Verb hacer Präsens (1. Pl. - Sport);Nosotras {{c1::hacemos}} ejercicio en el gimnasio.;Wir machen Übungen (Sport) im Fitnessstudio.;Bilde die 1. Person Plural von hacer für eine rein weibliche Gruppe.;Gimnasio stammt aus dem modernen Alltagswortschatz.
Verb hacer Präsens (1. Pl. - Fehler);A veces nosotros {{c1::hacemos}} errores graves.;Manchmal machen wir schwere Fehler.;Bilde die 1. Person Plural von hacer (wir machen) im Präsens.;Error bildet den Plural ganz regelmäßig auf errores.
Verb hacer Präsens (2. Pl. - Frage);¿Vosotros qué {{c1::hacéis}} en la oficina hoy?;Was macht ihr heute im Büro?;Bilde die 2. Person Plural von hacer (ihr macht) im Präsens. Achte auf den Akzent!;Die Form hacéis trägt einen geschriebenen Akzent auf dem e.
Verb hacer Präsens (2. Pl. - Aufgabe);Vosotros {{c1::hacéis}} un buen trabajo de equipo.;Ihr macht eine gute Teamarbeit.;Bilde die 2. Person Plural von hacer (ihr macht) im Präsens mit Akzent.;Equipo bedeutet Mannschaft, Team oder Ausrüstung.
Verb hacer Präsens (2. Pl. - Essen);Vosotras {{c1::hacéis}} la cena para los invitados.;Ihr macht das Abendessen für die Gäste.;Bilde die 2. Person Plural von hacer für eine rein weibliche Gruppe.;Invitado bedeutet Gast.
