main_topic;cloze_test;translation;hint;extra
Komparativ (mehr als);Este libro es {{c1::más rojo que}} el otro.;Dieses Buch ist roter als das andere.;Wende die Formel für mehr als (más ... que) mit dem unveränderten Adjektiv rojo an.;Im Spanischen verändern sich die Adjektive beim Steigern nicht. Es gibt kein Wort wie rojoer.
Komparativ (weniger als);Este libro es {{c1::menos rojo que}} el otro.;Dieses Buch ist weniger rot als das andere.;Wende die Formel für weniger als (menos ... que) mit dem Adjektiv rojo an.;
Komparativ (genauso wie);Este libro es {{c1::tan rojo como}} el otro.;Dieses Buch ist genauso rot wie das andere.;Wende die Formel für Gleichheit (tan ... como) mit dem Adjektiv rojo an.;Bei Vergleichen der Gleichheit wechselt das hintere Bindeglied im Spanischen starr zu como.
Unregelmäßiger Komparativ mejor;Este libro es {{c1::mejor que}} el otro.;Dieses Buch ist besser als das andere.;Nutze die unregelmäßige Steigerungsform für besser (mejor que).;Es gibt nur vier echte Ausnahmen im spanischen Komparativ: mejor (besser) peor (schlechter) mayor (älter) und menor (jünger).
Unregelmäßiger Komparativ peor;El miedo es {{c1::peor que}} el problema.;Die Angst ist schlimmer als das Problem.;Nutze die unregelmäßige Steigerungsform für schlimmer/schlechter (peor que).;Das Wort miedo ist maskulin laut LONERS-Regel.
Komparativ feminin Singular;La casa es {{c1::más grande que}} la oficina.;Das Haus ist größer als das Büro.;Nutze die Steigerungsforml más ... que mit dem unveränderlichen Adjektiv grande.;Adjektive auf -e passen sich im Geschlecht nicht an behalten aber die starre Steigerungsformel.
Komparativ maskulin Plural;Los perros son {{c1::más marrones que}} las gatas.;Die Hunde sind brauner als die Katzen.;Setze das Adjektiv marrón in den Plural (marrones) innerhalb der Formel más ... que.;Das Adjektiv passt sich ganz normal im Numerus (Plural) an das Nomen an bleibt strukturell aber im Baukastensystem.
Komparativ feminin Plural;Las flores son {{c1::más bonitas que}} vorhin.;Die Blumen sind schöner als vorhin.;Setze das Adjektiv bonito in den weiblichen Plural innerhalb der Formel más ... que.;
Komparativ mit Allround-Verb;Carlos corre {{c1::más rápido que}} Juan.;Carlos läuft schneller als Juan.;Nutze die Formel más ... que mit dem Adverb rápido.;Das Baukastensystem funktioniert bei Adverben (wie man etwas tut) exakt genauso wie bei Adjektiven.
Komparativ mit Allround-Verb;Ella escribe {{c1::más claro que}} ich.;Sie schreibt klarer als ich.;Nutze die Formel más ... que mit dem Adjektiv/Adverb claro.;Hier siehst du auch dass nach que das normale Personalpronomen yo (ich) genutzt wird.
Komparativ im periphrastischen Futur;El viaje va a ser {{c1::más hermoso que}} el año pasado.;Die Reise wird schöner sein als letztes Jahr.;Setze das Komparativ-Muster direkt hinter den Infinitiv des periphrastischen Futurs.;Hier verbindet sich das Futur (Satzmuster 11) flüssig mit dem Vergleich.
Komparativ im Gerundium;Tu español está siendo {{c1::más fluido que}} antes.;Dein Spanisch wird gerade flüssiger als früher.;Bilde den Vergleich mit más ... que nach dem Gerundium von ser (siendo).;Hier siehst du die Verlaufsform (Satzmuster 13) mit dem Komparativ verknüpft.
Komparativ im Indefinido;Ayer el día fue {{c1::más alegre que}} hoy.;Gestern war der Tag fröhlicher als heute.;Bilde den Vergleich nach der abgeschlossenen Vergangenheitsform fue (war).;Hier greift das Indefinido (Satzmuster 14).
