main_topic;cloze_test;translation;hint;extra
Verb querer Präsens (1. Sg. - Absicht);Yo {{c1::quiero}} hablar español muy bien pronto.;Ich will bald sehr gut Spanisch sprechen.;Bilde die 1. Person Singular von querer (ich will) im Präsens mit Stammwechsel.;Der Stamm wechselt im Präsens von e zu ie (quiero).
Verb querer Präsens (1. Sg. - Wunsch);Hoy yo {{c1::quiero}} hacer el trabajo de la oficina.;Heute will ich die Büroarbeit machen.;Bilde die 1. Person Singular von querer (ich will) im Präsens.;Auf das Verb querer folgt im Satzgefüge meist direkt ein Infinitiv.
Verb querer Präsens (1. Sg. - Liebe);Yo {{c1::quiero}} mucho a mi hermano mayor.;Ich liebe meinen älteren Bruder sehr (habe ihn sehr gern).;Bilde die 1. Person Singular von querer (ich liebe/habe gern) im Präsens.;Bezieht sich querer auf Personen, verlangt es das persönliche "a" (querer a alguien).
Verb querer Präsens (1. Sg. - Wunsch);Yo {{c1::quiero}} un coche nuevo y rojo.;Ich will ein neues, rotes Auto.;Bilde die 1. Person Singular von querer (ich will) im Präsens.;Querer kann auch direkt mit einem Substantiv als Akkusativobjekt stehen.
Verb querer Präsens (1. Sg. - Absage);Yo no {{c1::quiero}} buscar una solución sola.;Ich will alleine keine Lösung suchen.;Bilde die verneinte 1. Person Singular von querer für ein weibliches Subjekt.;Sola passt sich an das weibliche, implizite Subjekt (yo) an.
Verb querer Präsens (2. Sg. - Frage);¿Tú {{c1::quieres}} hacer deporte conmigo mañana?;Willst du morgen mit mir Sport machen?;Bilde die 2. Person Singular von querer (du willst) im Präsens mit Stammwechsel.;Der Stammwechsel (quieres) betrifft auch die 2. Person Singular.
Verb querer Präsens (2. Sg. - Absicht);Tú {{c1::quieres}} ir a la fiesta el sábado, ¿no?;Du willst am Samstag zum Fest gehen, richtig?;Bilde die 2. Person Singular von querer (du willst) im Präsens.;Fiesta ist ein weibliches Substantiv (la fiesta).
Verb querer Präsens (2. Sg. - Wunsch);Tú {{c1::quieres}} cambiar de coche este año.;Du willst dieses Jahr das Auto wechseln.;Bilde die 2. Person Singular von querer (du willst) im Präsens.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb querer Präsens (2. Sg. - Liebe);Tú {{c1::quieres}} a tus amigos de la escuela.;Du liebst deine Freunde aus der Schule (hast sie gern).;Bilde die 2. Person Singular von querer (du liebst/hast gern) im Präsens.;Drückt eine tiefe freundschaftliche Zuneigung aus.
Verb querer Präsens (2. Sg. - Erreichbarkeit);Tú {{c1::quieres}} estar disponible el lunes.;Du willst am Montag verfügbar sein.;Bilde die 2. Person Singular von querer (du willst) im Präsens.;Disponible (verfügbar) bleibt für beide Geschlechter gleich.
Verb querer Präsens (3. Sg. - Absicht);El director {{c1::quiere}} hacer la llamada pronto.;Der Leiter will den Anruf bald tätigen (machen).;Bilde die 3. Person Singular von querer (er/sie/es will) im Präsens mit Stammwechsel.;Auch in der 3. Person Singular bricht der Stammwechsel durch (quiere).
Verb querer Präsens (3. Sg. - Wunsch);Ella {{c1::quiere}} un despacho privado en la oficina.;Sie will ein privates Büro im Bürogebäude.;Bilde die 3. Person Singular von querer (er/sie/es will) im Präsens.;Despacho bedeutet Büro oder Arbeitszimmer und ist maskulin.
Verb querer Präsens (3. Sg. - Absicht);Mi hijo menor {{c1::quiere}} ir en bicicleta al parque.;Mein jüngerer Sohn will mit dem Fahrrad in den Park fahren.;Bilde die 3. Person Singular von querer (er/sie/es will) im Präsens.;Das Transportmittel wird mit en eingeleitet (en bicicleta).
Verb querer Präsens (3. Sg. - Liebe);Ella {{c1::quiere}} mucho a su madre.;Sie liebt ihre Mutter sehr.;Bilde die 3. Person Singular von querer (er/sie/es liebt) im Präsens.;Das persönliche "a" steht vor dem weiblichen Nomen (a su madre).
Verb querer Präsens (3. Sg. - Absicht);El tren {{c1::quiere}} ir hacia el norte hoy.;Der Zug will heute in Richtung Norden fahren (wörtlich/übertragen).;Bilde die 3. Person Singular von querer (er/sie/es will) im Präsens.;Hacia bedeutet in Richtung oder gegen.
Verb querer Präsens (1. Pl. - Wunsch);Nosotros {{c1::queremos}} ir a la playa este verano.;Wir wollen diesen Sommer an den Strand gehen.;Bilde die 1. Person Plural von querer (wir wollen) im Präsens. Kein Stammwechsel!;Die Formen von nosotros und vosotros haben NIEMALS einen Stammwechsel (queremos).
Verb querer Präsens (1. Pl. - Absicht);Nosotros {{c1::queremos}} hacer una fiesta grande.;Wir wollen ein großes Fest machen.;Bilde die 1. Person Plural von querer (wir wollen) im Präsens.;Verlangt den regelmäßigen Stamm auf e-.
Verb querer Präsens (1. Pl. - Absicht);Nosotras {{c1::queremos}} buscar la solución juntas.;Wir wollen zusammen die Lösung suchen.;Bilde die 1. Person Plural von querer für eine rein weibliche Gruppe.;Juntas passt sich an das weibliche Pronomen nosotras an.
Verb querer Präsens (1. Pl. - Wunsch);Nosotros no {{c1::queremos}} problemas con nadie.;Wir wollen mit niemandem Probleme.;Bilde die verneinte 1. Person Plural von querer im Präsens.;Problema endet auf -a, ist aber maskulin (los problemas).
Verb querer Präsens (1. Pl. - Liebe);Nosotros {{c1::queremos}} a nuestra familia grande.;Wir lieben unsere große Familie.;Bilde die 1. Person Plural von querer (wir lieben) im Präsens.;Nuestra passt sich an das weibliche Substantiv familia an.
Verb querer Präsens (2. Pl. - Frage);¿Vosotros {{c1::queréis}} hacer el proyecto juntos?;Wollt ihr das Projekt zusammen machen?;Bilde die 2. Person Plural von querer (ihr wollt) im Präsens. Achte auf den Akzent!;Die Form queréis hat keinen Stammwechsel, trägt aber einen Akzent auf dem e.
Verb querer Präsens (2. Pl. - Wunsch);Vosotros {{c1::queréis}} ir al concierto de música.;Ihr wollt zum Musikkonzert gehen.;Bilde die 2. Du-Form Plural von querer (ihr wollt) im Präsens mit Akzent.;Música hat einen Akzent auf dem u (la música).
Verb querer Präsens (2. Pl. - Liebe);Vosotras {{c1::queréis}} mucho a vuestros padres.;Ihr liebt eure Eltern sehr.;Bilde die 2. Person Plural von querer für eine rein weibliche Gruppe mit Akzent.;Padres steht für Eltern oder Väter.
Verb querer Präsens (2. Pl. - Wunsch);Vosotros {{c1::queréis}} hacer un viaje largo.;Ihr wollt eine lange Reise machen.;Bilde die 2. Person Plural von querer (ihr wollt) im Präsens mit Akzent.;Viaje ist im Spanischen maskulin (un viaje largo).
Verb querer Präsens (2. Pl. - Absicht);¿Vosotros me {{c1::queréis}} hacer un favor hoy?;Wollt ihr mir heute einen Gefallen tun?;Bilde die 2. Person Plural von querer (ihr wollt) im Präsens mit Akzent.;Das Pronomen me bezieht sich auf "mir".
Verb querer Präsens (3. Pl. - Absicht);Los empleados {{c1::quieren}} hacer una reunión.;Die Angestellten wollen eine Besprechung machen.;Bilde die 3. Person Plural von querer (sie wollen) im Präsens mit Stammwechsel.;In der 3. Person Plural kehrt der Stammwechsel wieder zurück (quieren).
Verb querer Präsens (3. Pl. - Wunsch);Esos chicos {{c1::quieren}} entrar al estadio.;Diese Jungs wollen das Stadion betreten.;Bilde die 3. Person Plural von querer (sie wollen) im Präsens.;Estadio ist ein maskulines Substantiv (el estadio).
Verb querer Präsens (3. Pl. - Liebe);Ellos {{c1::quieren}} mucho a sus abuelos.;Sie lieben ihre Großeltern sehr.;Bilde die 3. Person Plural von querer (sie lieben) im Präsens.;Abuelo bedeutet Großvater, im Plural steht es für Großeltern.
Verb querer Präsens (3. Pl. - Wunsch);Las nuevas empresas {{c1::quieren}} hacer cambios.;Die neuen Unternehmen wollen Veränderungen vornehmen.;Bilde die 3. Person Plural von querer für ein weibliches Plural-Subjekt.;Cambio bedeutet Veränderung oder Wechsel.
Verb querer Präsens (3. Pl. - Wunsch);Ellas {{c1::quieren}} estar en el hotel a las diez.;Sie wollen um zehn Uhr im Hotel sein.;Bilde die 3. Person Plural von querer für eine weibliche Gruppe im Präsens.;Hotel ist im Spanischen maskulin (el hotel).
