main_topic;cloze_test;translation;hint;extra
Verb venir Präsens (1. Sg. - Herkunft);Yo {{c1::vengo}} de una ciudad muy grande del norte.;Ich komme aus einer sehr großen Stadt aus dem Norden.;Bilde die unregelmäßige 1. Person Singular von venir (ich komme) im Präsens.;Die 1. Person Singular von venir endet unregelmäßig auf -go (vengo).
Verb venir Präsens (1. Sg. - Richtung);Yo {{c1::vengo}} a la oficina temprano todos los días.;Ich komme jeden Tag früh ins Büro.;Bilde die 1. Person Singular von venir (ich komme) im Präsens.;Die Bewegung findet auf den aktuellen Standort des Sprechers zu statt.
Verb venir Präsens (1. Sg. - Begleitung);Yo {{c1::vengo}} con mi hermano mayor a la fiesta.;Ich komme mit meinem älteren Bruder zum Fest.;Bilde die 1. Person Singular von venir (ich komme) im Präsens.;Fiesta ist ein weibliches Substantiv (la fiesta).
Verb venir Präsens (1. Sg. - Transport);Yo {{c1::vengo}} en tren al centro de la ciudad.;Ich komme mit dem Zug ins Stadtzentrum.;Bilde die 1. Person Singular von venir (ich komme) im Präsens.;Das Transportmittel wird im Spanischen mit en eingeleitet (en tren).
Verb venir Präsens (1. Sg. - Zweck);Yo {{c1::vengo}} a buscar una solución para el problema.;Ich komme, um eine Lösung für das Problem zu suchen.;Bilde die 1. Person Singular von venir (ich komme) im Präsens.;Buscar (suchen) folgt nach der Richtungspräposition a.
Verb venir Präsens (2. Sg. - Frage);¿Tú cuándo {{c1::vienes}} a cenar a mi casa?;Wann kommst du zu mir nach Hause abendessen?;Bilde die 2. Person Singular von venir (du kommst) im Präsens mit Stammwechsel.;Der Stamm wechselt in der 2. Person Singular von e zu ie (vienes).
Verb venir Präsens (2. Sg. - Richtung);Tú {{c1::vienes}} al nuevo hospital el lunes, ¿no?;Du kommst am Montag zum neuen Krankenhaus, richtig?;Bilde die 2. Person Singular von venir (du kommst) im Präsens.;Verschmelzung von a + el = al vor hospital.
Verb venir Präsens (2. Sg. - Begleitung);Tú siempre {{c1::vienes}} con tu familia aquí.;Du kommst immer mit deiner Familie hierher.;Bilde die 2. Person Singular von venir (du kommst) im Präsens.;Aquí bedeutet hier oder hierher.
Verb venir Präsens (2. Sg. - Richtung);Tú {{c1::vienes}} de la escuela muy cansado hoy.;Du kommst heute sehr müde aus der Schule.;Bilde die 2. Person Singular von venir (du kommst) im Präsens.;"De la escuela" beschreibt den Ausgangspunkt der Bewegung.
Verb venir Präsens (2. Sg. - Zweck);Tú {{c1::vienes}} a cambiar de coche este año.;Du kommst (hierher), um dieses Jahr das Auto zu wechseln.;Bilde die 2. Person Singular von venir (du kommst) im Präsens.;"Cambiar de" bedeutet eine Sache auszutauschen.
Verb venir Präsens (3. Sg. - Richtung);El director {{c1::viene}} a la reunión importante hoy.;Der Leiter kommt heute zu der wichtigen Besprechung.;Bilde die 3. Person Singular von venir (er/sie/es kommt) im Präsens mit Stammwechsel.;Auch in der 3. Person Singular wechselt das e zu ie (viene).
Verb venir Präsens (3. Sg. - Herkunft);Ella {{c1::viene}} de París el próximo mes.;Sie kommt nächsten Monat aus Paris.;Bilde die 3. Person Singular von venir (er/sie/es kommt) im Präsens.;"El próximo mes" grenzt den Zeitraum in der Zukunft ab.
Verb venir Präsens (3. Sg. - Richtung);El tren {{c1::viene}} hacia el norte del país.;Der Zug kommt in Richtung Norden des Landes (auf uns zu).;Bilde die 3. Person Singular von venir (er/sie/es kommt) im Präsens.;Hacia bedeutet in Richtung oder gegen.
Verb venir Präsens (3. Sg. - Transport);Mi hijo menor {{c1::viene}} en bicicleta al parque.;Mein jüngerer Sohn kommt mit dem Fahrrad in den Park.;Bilde die 3. Person Singular von venir (er/sie/es kommt) im Präsens.;Bicicleta wird im Alltag oft zu bici verkürzt.
Verb venir Präsens (3. Sg. - Zweck);Él {{c1::viene}} a pagar la cuenta de la cena.;Er kommt, um die Rechnung des Abendessens zu bezahlen.;Bilde die 3. Person Singular von venir (er/sie/es kommt) im Präsens.;Cuenta ist ein weibliches Substantiv (la cuenta).
Verb venir Präsens (1. Pl. - Richtung);Nosotros {{c1::venimos}} a la playa todos los veranos.;Wir kommen jeden Sommer an den Strand (hierher).;Bilde die 1. Person Plural von venir (wir kommen) im Präsens. Kein Stammwechsel!;Die Formen von nosotros und vosotros haben NIEMALS den Stammwechsel zu ie (venimos).
Verb venir Präsens (1. Pl. - Begleitung);Nosotros {{c1::venimos}} juntos a hacer el proyecto.;Wir kommen zusammen, um das Projekt zu machen.;Bilde die 1. Person Plural von venir (wir kommen) im Präsens.;Juntos passt sich im Geschlecht an die Gruppe an.
Verb venir Präsens (1. Pl. - Herkunft);Nosotras {{c1::venimos}} de una conferencia de música.;Wir kommen von einer Musikkonferenz.;Bilde die 1. Person Plural von venir für eine rein weibliche Gruppe.;Música hat einen Akzent auf dem u (la música).
Verb venir Präsens (1. Pl. - Richtung);Nosotros {{c1::venimos}} al despacho del director ahora.;Wir kommen jetzt ins Büro des Leiters.;Bilde die 1. Person Plural von venir (wir kommen) im Präsens.;Despacho bedeutet Büro oder Arbeitszimmer.
Verb venir Präsens (1. Pl. - Zweck);Nosotros {{c1::venimos}} a buscar los documentos nuevos.;Wir kommen, um die neuen Dokumente zu suchen (abzuholen).;Bilde die 1. Person Plural von venir (wir kommen) im Präsens.;Documento stammt aus dem Grundwortschatz.
Verb venir Präsens (2. Pl. - Frage);¿Vosotros de dónde {{c1::venís}} esta noche?;Woher kommt ihr heute Abend?;Bilde die 2. Person Plural von venir (ihr kommt) im Präsens. Achte auf den Akzent!;Die Form venís trägt einen geschriebenen Akzent auf dem i und hat keinen Stammwechsel.
