main_topic;cloze_test;translation;hint;extra
Por vs Para (Empfänger);El libro es {{c1::para}} Carlos.;Das Buch ist für Carlos (als Geschenk).;Nutze die Präposition des Ziels/Empfängers (para).;Para zeigt hier glasklar den finalen Empfänger des Gegenstands an.
Por vs Para (Ursache);El libro es {{c1::por}} Carlos.;Das Buch ist wegen Carlos (weil er es geschrieben hat / der Grund ist).;Nutze die Präposition der Ursache/des Grundes (por).;Por verweist auf die Ursache oder den Auslöser der Situation. Ein gewaltiger Unterschied zu para!
Por vs Para (Zweck/Infinitiv);Estudio {{c1::para}} aprender rápido.;Ich lerne, um schnell zu lernen.;Nutze die Präposition des Zwecks (para) vor dem Infinitiv aprender.;Die Kombination para + Infinitiv bedeutet im Deutschen immer um zu.
Por vs Para (Grund);Hago esto {{c1::por}} tu éxito.;Ich tue das wegen deines Erfolgs (deinetwegen).;Nutze die Präposition des Grundes/Auslösers (por).;Der Erfolg ist die Ursache für mein Handeln weshalb hier por stehen muss.
Por vs Para (Deadline);El proyecto es {{c1::para}} mañana.;Das Projekt ist für morgen (Abgabetermin).;Nutze die Präposition für zeitliche Fristen und Deadlines (para).;Feste Termine in der Zukunft werden im Spanischen immer mit para eingeleitet.
Por vs Para (Zeitraum);Voy a viajar {{c1::por}} tres semanas.;Ich werde für drei Wochen reisen (Dauer).;Nutze die Präposition für Zeiträume und Zeitdauern (por).;Wenn es um die Dauer einer Aktivität geht nutzt das Spanische starr por.
Por vs Para (Nutzer/Zweck);Esta llave es {{c1::para}} el coche.;Dieser Schlüssel ist für das Auto.;Nutze die Präposition des Verwendungszwecks (para).;Das Auto ist das Bestimmungsziel des Schlüssels.
Por vs Para (Tausch/Preis);Compro el libro {{c1::por}} diez euros.;Ich kaufe das Buch für zehn Euro.;Nutze die Präposition für Tauschgeschäfte und Geldbeträge (por).;Bezahlte Beträge oder Gegenleistungen werden im Spanischen ausnahmslos mit por verknüpft.
Por vs Para (Weg/Durch);Camino {{c1::por}} el parque hermoso.;Ich gehe durch den schönen Park (im Park umher).;Nutze die Präposition für Ortsangaben im Sinne von durch/entlang/umher (por).;Por beschreibt die unbestimmte Bewegung durch einen Raum im Gegensatz zu einem festen Ziel.
Por vs Para (Zielort);Este autobús va {{c1::para}} Madrid.;Dieser Bus fährt nach (in Richtung) Madrid.;Nutze die Präposition für die finale Richtung/das Ziel (para).;Para zeigt hier die feste Endstation der Bewegung an.
Por vs Para (Dank);Gracias {{c1::por}} la comida excelente.;Danke für das exzellente Essen.;Nutze die Präposition des Grundes (por) nach einem Dankeschön.;Nach gracias steht im Spanischen starr por weil das Essen die Ursache für den Dank ist.
Por vs Para (Meinung);{{c1::Para}} mí la vida es hermosa.;Für mich (Meiner Meinung nach) ist das Leben schön.;Nutze die Präposition für persönliche Sichtweisen und Meinungen (para).;Para mí ist die feste spanische Wendung für meiner Meinung nach oder für mich.
Por vs Para (Bestimmung);El regalo es {{c1::para}} la abuela.;Das Geschenk ist für die Oma.;Nutze die Präposition des Empfängers (para).;
Por vs Para (Grund/Liebe);Lo hago todo {{c1::por}} amor.;Ich tue alles aus (wegen) Liebe.;Nutze die Präposition des inneren Grundes/Antriebs (por).;Die Liebe ist das Motiv des Handelns.
Por vs Para (Kommunikationsweg);Te llamo {{c1::por}} teléfono.;Ich rufe dich über das (per) Telefon an.;Nutze die Präposition des Mittels/Werkzeugs (por).;Transportmittel und Kommunikationswege (per Post per Telefon) verlangen immer por.
Por vs Para (Arbeitgeber);Trabajo {{c1::para}} una gran empresa.;Ich arbeite für eine große Firma (als Angestellter).;Nutze die Präposition des Ziels/Nutznießers (para).;Die Firma ist das Ziel für das du deine Arbeitskraft einsetzt.
Por vs Para (Stellvertretung);Trabajo {{c1::por}} mi hermano hoy.;Ich arbeite heute für (anstelle von) meinen Bruder.;Nutze die Präposition des Tauschs/der Stellvertretung (por).;Por bedeutet hier im Sinne von anstelle von (weil der Bruder z. B. krank ist).
Por vs Para (Tageszeit);Estudio {{c1::por}} la mañana.;Ich lerne am Morgen (während des Morgens).;Nutze die Präposition für unbestimmte Tageszeiten (por).;Por la mañana (morgens) por la tarde (nachmittags) und por la noche (abends) nutzen immer por.
Por vs Para (Zweck/Gegenstand);Esta mesa es {{c1::para}} el jardín.;Dieser Tisch ist für den Garten bestimmt.;Nutze die Präposition des Bestimmungsortes (para).;
Por vs Para (Sache suchen);Voy al hotel {{c1::por}} las llaves.;Ich gehe zum Hotel um die Schlüssel zu holen.;Nutze die Präposition im Sinne von um etwas zu holen/zu besorgen (por).;Ir por algo ist das feste Muster für losgehen um eine Sache zu holen.
Por vs Para (Vergleich/Standard);{{c1::Para}} ser un niño habla muy bien.;Dafür dass er ein Kind ist spricht er sehr gut.;Nutze die Präposition für Vergleiche außerhalb der Norm (para).;Para + Infinitiv drückt hier eine Relation oder einen Kontrast zu einer Erwartung aus.
Por vs Para (Prozent/Statistik);El éxito es cien {{c1::por}} cien seguro.;Der Erfolg ist zu einhundert Prozent sicher.;Nutze die Präposition für mathematische Verhältnisse und Raten (por).;Por ciento bedeutet im Spanischen Prozent (wörtlich pro hundert).
