main_topic;cloze_test;translation;hint;extra
Arbeits-Insel Gegenwart;{{c1::Hoy tengo una reunión importante sobre el proyecto}}.;"Heute habe ich ein wichtiges Treffen über das Projekt.";Nutze das Zeitsignal hoy vor dem konjugierten Präsens-Verb tengo.;Das Wort hoy (heute) verankert den Satz in der Gegenwart. Reunión ist weiblich laut D-IÓ-A-Z-Regel.
Arbeits-Insel Zukunft;{{c1::Mañana voy a terminar el informe nuevo}}.;"Morgen werde ich den neuen Bericht fertigstellen.";Bilde die Zukunft mit dem periphrastischen Futur voy a nach dem Zeitsignal mañana (morgen).;Hier greift das gegenwartsorientierte Futur aus Satzmuster 11. Informe ist maskulin.
Arbeits-Insel Abgeschlossene Vergangenheit;{{c1::Ayer presenté la solución al director}}.;"Gestern habe ich dem Direktor die Lösung präsentiert.";Nutze das Zeitsignal ayer vor der 1. Person Singular des Indefinidos von presentar (presenté) und der Verschmelzung al.;Ayer fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14). al (a + el) ist das Dativ-Signal.
Arbeits-Insel Gewohnheit Vergangenheit;{{c1::Antes trabajaba en una oficina muy moderna}}.;"Früher arbeitete ich in einem sehr modernen Büro.";Bilde die andauernde Vergangenheit im Imperfekt (trabajaba) nach dem Zeitsignal antes (früher).;Gewohnheiten oder Zustände in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15).
Arbeits-Insel Frist;{{c1::El contrato es para el próximo lunes}}.;"Der Vertrag ist bis nächsten Montag fällig.";Nutze die Zeit-Fristen-Präposition para vor dem maskulinen Wochentag el próximo lunes.;Deadlines und feste Termine in der Zukunft werden immer mit para eingeleitet (Satzmuster 23).
Arbeits-Insel Dauer;{{c1::Él va a liderar el proyecto por seis meses}}.;"Er wird das Projekt für sechs Monate leiten.";Nutze die Dauer-Präposition por vor dem Zeitraum seis meses im periphrastischen Futur.;Zeiträume und Dauern einer Aktivität werden im Spanischen starr mit por verknüpft (Satzmuster 23).
Arbeits-Insel Perfekt;{{c1::Este año hemos alcanzado un gran éxito}}.;"Dieses Jahr haben wir einen großen Erfolg erzielt.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos alcanzado nach dem Signal este año.;Zeiträume, die noch zur Gegenwart gehören (dieses Jahr), fordern das Perfekt (Satzmuster 24). Éxito ist maskulin.
Arbeits-Insel Einfache Verneinung;{{c1::Nunca pierdo el optimismo en el trabajo}}.;"Nie verliere ich den Optimismus bei der Arbeit.";Bilde die einfache Verneinung, indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca vor dem Verb, fällt das zusätzliche no komplett weg (Satzmuster 25). Optimismo ist maskulin laut LONERS.
Arbeits-Insel Abstraktes Nomen;{{c1::Lo importante del proyecto es la innovación}}.;"Das Wichtige an dem Projekt ist die Innovation.";Bilde das abstrakte Substantiv das Wichtige mit lo importante kombiniert mit del proyecto.;Das neutrale lo wandelt das Adjektiv sofort in ein abstraktes Nomen um (Satzmuster 26).
Arbeits-Insel Relativsatz;El informe {{c1::que Carlos escribió es muy claro}}.;"Der Bericht, den Carlos geschrieben hat, ist sehr klar.";Verknüpfe den Nebensatz flüssig mit dem Relativpronomen-Allrounder que vor Carlos und dem unregelmäßigen Partizip/Indefinido.;Das Wörtchen que reicht für 90 % aller spanischen Relativsätze völlig aus (Satzmuster 27).
Arbeits-Insel Vergleich;Esta idea {{c1::es más creativa que la otra}}.;"Diese Idee ist kreativer als die andere.";Bilde den Komparativ mit der starren Baukasten-Formel más ... que vor la otra.;Das Adjektiv creativa bleibt in seiner Grundform und wird nicht verändert (Satzmuster 28). Idea ist weiblich.
Arbeits-Insel Bedingungssatz;Si {{c1::tienes una propuesta, haces la presentación}}.;"Wenn du einen Vorschlag hast, machst du die Präsentation.";Bilde den realen Konditional im Hier und Jetzt nach der Formel Si + Präsens, Präsens.;Propuesta und presentación (D-IÓ-A-Z) sind im Spanischen weiblich.
Arbeits-Insel Begleitung;¿{{c1::Usted quiere trabajar conmigo en este proyecto}}?;"Möchten Sie (Sg. höflich) mit mir an diesem Projekt arbeiten?";Bilde die Frage mit usted vor quiere trabajar kombiniert mit dem Spezialwort conmigo.;Trifft con auf das Pronomen für ich, verschmelzen sie starr zu conmigo (Satzmuster 30).
Arbeits-Insel Subjunktiv;Espero {{c1::que el equipo encuentre una buena solución}}.;"Ich hoffe, dass das Team eine gute Lösung findet.";Bilde den Subjunktiv Präsens für die 3. Person von encontrar (encuentre) nach espero que.;Hoffnungen lösen im spanischen Nebensatz starr den Subjunktiv aus (Satzmuster 17). Encontrar wechselt zu encuentre.
Arbeits-Insel Höfliche Frage;¿{{c1::Usted sabe a qué hora empieza la reunión}}?;"Wissen Sie (Sg. höflich), um wie viel Uhr das Treffen beginnt?";Bilde die Frage mit usted sabe vor dem Frageausdruck a qué hora und dem Präsens-Verb empieza.;Usted nutzt immer die Verbformen der 3. Person Einzahl (Satzmuster 18).
Arbeits-Insel Vorliebe;{{c1::Me gusta mucho proponer ideas nuevas}}.;"Ich schlage sehr gerne neue Ideen vor.";Wende das psychologische Muster me gusta mucho vor dem Infinitiv proponer an.;Da eine Handlung folgt, bleibt gustar starr in der Singularform stehen (Satzmuster 19).
Arbeits-Insel Personen markieren;{{c1::Ayudo al nuevo compañero en la oficina}}.;"Ich helfe dem neuen Kollegen im Büro.";Setze die zwingende Richtungs- und Personenverschmelzung al vor compañero.;Menschen als direktes Akkusativ-Objekt verlangen starr das persönliche A (Satzmuster 20). a + el = al.
Arbeits-Insel Routine;Siempre {{c1::me concentro mucho antes de trabajar}}.;"Ich konzentriere mich vor der Arbeit immer sehr.";Nutze das Präsens des reflexiven Verbs concentrarse (se concentrar) in der 1. Person (me concentro).;Das Reflexivpronomen me steht ganz starr direkt vor dem Verb (Satzmuster 21).
Arbeits-Insel Unpersönlich;Aquí {{c1::se buscan soluciones eficaces siempre}}.;"Hier sucht man immer wirksame Lösungen.";Bilde den unpersönlichen Passiv-Ersatz mit se vor dem Plural-Verb buscan passend zu soluciones.;Da die Lösungen im Plural stehen, wandert auch das Verb zwingend in den Plural (Satzmuster 22). Eficaz bleibt auf Konsonant starr.
Arbeits-Insel Zweck von etwas;Este documento {{c1::es para el director de la empresa}}.;"Dieses Dokument ist für den Direktor der Firma bestimmt.";Nutze die Zweck-Präposition para kombiniert mit dem Genitiv de la empresa.;Para markiert den finalen Empfänger der Sache (Satzmuster 23). Empresa ist weiblich.
Arbeits-Insel Perfekt Vergangenheit;Hoy {{c1::hemos terminado el informe mensual}}.;"Heute haben wir den monatlichen Bericht beendet.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos terminado vor el informe mensual.;Die unzerreißbare Klammer von haber + Partizip darf nicht getrennt werden (Satzmuster 24).
Arbeits-Insel Doppelte Verneinung;{{c1::No hay ningún error en este contrato}}.;"Es gibt keinerlei Fehler in diesem Vertrag.";Bilde die doppelte Verneinung mit no hay vor dem maskulinen ningún mit Akzent vor contrato.;Ninguno verliert vor männlichen Singular-Nomen das o (Satzmuster 25). Contrato ist maskulin laut LONERS.
Arbeits-Insel Höfliche Bitte;{{c1::Envíeme el documento cuando pueda por favor}}.;"Schicken Sie mir bitte das Dokument, wenn Sie können.";Bilde den bejahenden höflichen Imperativ für Sie (envíe) mit angehängtem Dativpronomen me.;Beim bejahenden Imperativ (Satzmuster 18) werden Pronomen unzertrennlich hinten angehängt.
Arbeits-Insel Arbeitszeit;{{c1::Terminamos los trabajos importantes por la tarde}}.;"Wir beenden die wichtigen Arbeiten am Nachmittag.";Nutze das Präsens für wir kombiniert mit der unbestimmten Tageszeit-Präposition por la tarde.;Tageszeiten (por la tarde/mañana) nutzen im Spanischen starr por (Satzmuster 23).
Arbeits-Insel Dank;Gracias {{c1::por tu gran esfuerzo en el proyecto}}.;"Danke für deinen großen Einsatz im Projekt.";Nutze die Ursachen-Präposition por direkt nach dem Dankeschön vor tu gran esfuerzo.;Nach gracias steht im Spanischen starr por, weil der Einsatz die Ursache für den Dank ist.
Arbeits-Insel Verlaufsform;El director {{c1::está revisando los documentos ahora}}.;"Der Direktor überprüft gerade die Dokumente.";Bilde die aktuelle Verlaufsform mit está und dem regelmäßigen Gerundium von revisar (revisando).;Hier siehst du die Verlaufsform (Satzmuster 13) im vollen Einsatz.
Arbeits-Insel Berufe;{{c1::Llamamos a la ingeniera para la reunión}}.;"Wir rufen die Ingenieurin für das Treffen an.";Setze das zwingende persönliche a vor die weibliche Person la ingeniera und den Zweck para.;Llamar verlangt bei Personen das persönliche A (Satzmuster 20).
Arbeits-Insel Meinung;{{c1::Para mí esta solución es la mejor}}.;"Für mich (Meiner Meinung nach) ist diese Lösung die beste.";Nutze das Meinungssignal para mí am Satzanfang kombiniert mit der unregelmäßigen Steigerung la mejor.;Para mí drückt eine persönliche Sichtweise aus (Satzmuster 23). Solución ist weiblich.
Arbeits-Insel Zustand;Las respuestas {{c1::van a estar listas para el viernes}}.;"Die Antworten werden bis Freitag fertig sein.";Nutze das periphrastische Futur van a estar vor dem weiblichen Adjektiv listas und der Deadline para.;Listas bedeutet mit estar fertig oder bereit (Satzmuster 16). Freitag ist der Endtermin.
Arbeits-Insel Fixer Zeitpunkt;{{c1::Tenemos que tomar la decisión ahora mismo}}.;"Wir müssen die Entscheidung genau jetzt treffen.";Nutze die Verpflichtungsformel tenemos que vor dem Infinitiv und dem Zeitausdruck ahora mismo.;Tomar una decisión ist der feste spanische Ausdruck für eine Entscheidung treffen.
Arbeits-Insel Indefinido;El año pasado {{c1::logramos un gran éxito comercial}}.;"Letztes Jahr haben wir einen großen geschäftlichen Erfolg erzielt.";Bilde die punktuelle Vergangenheit im Indefinido für wir mit logramos vor un gran éxito.;El año pasado erfordert starr das Indefinido für abgeschlossene Zeiträume (Satzmuster 14).
Arbeits-Insel Gegenwart;{{c1::Hoy analizo los datos del nuevo contrato}}.;"Heute analysiere ich die Daten des neuen Vertrags.";Nutze die 1. Person Singular Präsens von analizar kombiniert mit der Genitiv-Verschmelzung del.;Contrato und datos sind maskulin laut LONERS-Regel. del entsteht aus de + el.
Arbeits-Insel Zukunft;{{c1::Mañana voy a presentar la estrategia al equipo}}.;"Morgen werde ich dem Team die Strategie präsentieren.";Bilde die Zukunft mit dem periphrastischen Futur voy a vor dem Infinitiv und der Verschmelzung al.;Estrategia ist weiblich. al (a + el) kennzeichnet das Dativ-Ziel (Satzmuster 11).
Arbeits-Insel Abgeschlossene Vergangenheit;{{c1::Ayer Carlos firmó el documento importante}}.;"Gestern hat Carlos das wichtige Dokument unterschrieben.";Nutze das Zeitsignal ayer vor der 3. Person Singular des Indefinidos von firmar (firmó) mit Akzent.;Ayer fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14).
Arbeits-Insel Gewohnheit Vergangenheit;{{c1::Antes lideraba un equipo de diez personas}}.;"Früher leitete ich ein Team von zehn Personen.";Bilde die andauernde Vergangenheit im Imperfekt (lideraba) nach dem Zeitsignal antes (früher).;Gewohnheiten in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15).
Arbeits-Insel Frist;{{c1::La presentación es para esta tarde}}.;"Die Präsentation ist für heute Nachmittag fällig.";Nutze die Zeit-Fristen-Präposition para vor der Zeitangabe esta tarde.;Deadlines und Abgabetermine werden immer mit para eingeleitet (Satzmuster 23).
Arbeits-Insel Dauer;{{c1::Usted va a trabajar en la oficina por un año}}.;"Sie (Sg. höflich) werden für ein Jahr im Büro arbeiten.";Nutze die Dauer-Präposition por vor dem Zeitraum un año im periphrastischen Futur.;Zeiträume und Dauern einer Aktivität werden starr mit por verknüpft (Satzmuster 23).
Arbeits-Insel Perfekt;{{c1::Este mes hemos desarrollado una buena idea}}.;"Diesen Monat haben wir eine gute Idee entwickelt.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos desarrollado nach dem Signal este mes.;Zeiträume, die noch zur Gegenwart gehören (dieser Monat), fordern das Perfekt (Satzmuster 24).
Arbeits-Insel Einfache Verneinung;{{c1::Nunca acepto una solución incompleta}}.;"Nie akzeptiere ich eine unvollständige Lösung.";Bilde die einfache Verneinung, indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca vor dem Verb, fällt das zusätzliche no komplett weg (Satzmuster 25).
