main_topic;cloze_test;translation;hint;extra
Gastro-Insel Bestellung;¿{{c1::Me trae un café caliente por favor}}?;"Bringen Sie mir bitte einen heißen Kaffee?";Bilde die Frage mit dem Dativpronomen me vor der 3. Person von traer (trae) und dem Adjektiv caliente.;Das Wort café ist maskulin laut LONERS-Regel. Caliente bleibt für beide Geschlechter gleich.
Gastro-Insel Bestellung;{{c1::Para mí el agua fresca por favor}}.;"Für mich das frische Wasser bitte.";Nutze das Meinungssignal para mí am Satzanfang vor dem Nomen-Adjektiv-Paar el agua fresca.;Erinnerst du dich? agua nutzt im Singular el wegen der Aussprache bleibt aber weiblich (fresca).
Gastro-Insel Tisch reservieren;¿{{c1::Tiene una mesa libre para esta noche}}?;"Haben Sie einen freien Tisch für heute Abend?";Bilde die Frage für usted mit una mesa libre und dem zeitlichen Ziel para esta noche.;Mesa ist weiblich laut D-IÓ-A-Z-Regel weshalb das Adjektiv libre starr bleibt aber una benötigt wird.
Gastro-Insel Im Restaurant;¿{{c1::Dónde podemos ver la carta hoy}}?;"Wo können wir heute die Speisekarte sehen?";Bilde die Frage mit podemos + Infinitiv ver nach der weiblichen Speisekarte (la carta).;La carta bedeutet im Restaurant die Speisekarte (auf der Post wäre es der Brief).
Gastro-Insel Lob;{{c1::La comida del hotel está deliciosa}}.;"Das Essen des Hotels schmeckt köstlich.";Nutze la comida kombiniert mit del hotel und dem passenden 'Sein'-Verb für den Geschmack (está).;Nutzt man estar bei Lebensmitteln (está deliciosa) beschreibt man immer den aktuellen Geschmack im Moment.
Gastro-Insel Bezahlen;¿{{c1::Nos trae la cuenta por favor}}?;"Bringen Sie uns bitte die Rechnung?";Bilde die Frage mit dem unbetonten Dativpronomen für uns (nos) vor der Höflichkeitsform trae.;La cuenta ist die Rechnung im Restaurant. nos steht starr direkt vor dem Verb.
Gastro-Insel Preis;¿{{c1::Cuál es el precio de la comida}}?;"Wie hoch ist der Preis für das Essen? (Welcher ist der Preis des Essens)";Nutze das Auswahl-Fragewort cuál vor dem gelernten Genitiv-Muster de la comida.;
Gastro-Insel Getränke;{{c1::Quiero comprar una botella de agua}}.;"Ich möchte eine Flasche Wasser kaufen.";Nutze quiero + Infinitiv comprar vor der Mengenangabe una botella de agua.;Botella ist weiblich laut D-IÓ-A-Z-Regel.
Gastro-Insel Höfliche Bitte;{{c1::Tráigame la cuenta cuando pueda por favor}}.;"Bringen Sie mir bitte die Rechnung, wenn Sie können.";Bilde den bejahenden höflichen Imperativ für Sie mit angehängtem Dativpronomen me.;Beim bejahenden Imperativ (Satzmuster 18) wird das Pronomen unzertrennlich hinten angehängt.
Gastro-Insel Empfehlung;{{c1::Tiene que probar la comida de aquí}}.;"Sie müssen das Essen von hier probieren.";Nutze die Verpflichtung tiene que + Infinitiv probar vor dem weiblichen Objekt la comida.;Probar bedeutet probieren oder kosten.
