main_topic;cloze_test;translation;hint;extra
"Doppelte Pronomen (mask. Singular)";"{{c1::Se lo}} doy.";"Ich gebe es ihm (Carlos).";"Reihenfolge: Wem vor Was. Das Dativ-Pronomen (ihm -> le) mutiert vor 'lo' wegen des Wohlklangs zu 'se'.";"Merkregel: Man sagt im Spanischen niemals 'le lo'. Es wird ausnahmslos zu 'se lo'."
"Doppelte Pronomen (mask. Singular)";"Él {{c1::se lo}} vende.";"Er verkauft es ihr (Maria).";"Setze die Pronomen-Kette mit der zwingenden se-Mutation für 'ihr' vor dem maskulinen Objekt (lo) ein.";""
"Doppelte Pronomen (mask. Singular)";"{{c1::Se lo}} decimos.";"Wir sagen es ihm.";"Nutze die Kombination aus Dativ (ihm -> se) und Akkusativ (es -> lo) direkt vor dem Verb.";""
"Doppelte Pronomen (mask. Singular)";"{{c1::Se lo}} traes.";"Du bringst es ihr.";"Bilde die Pronomen-Kette (Wem vor Was) mit der zwingenden Wohlklang-Mutation.";""
"Doppelte Pronomen (mask. Singular)";"{{c1::Se lo}} escriben.";"Sie (Pl.) schreiben es ihm.";"Dativ (ihm -> le) mutiert vor 'lo' zu 'se'. Das konjugierte Verb steht am Ende.";""
"Dativ-Plural Mutation";"{{c1::Se lo}} doy.";"Ich gebe es ihnen (den Kindern). → Ich gebe es ihnen.";"Auch das Dativ-Plural-Pronomen (ihnen -> les) mutiert vor 'lo' zwingend zu 'se'.";"Das bedeutet, 'se lo' kann sowohl 'ich gebe es ihm/ihr' als auch 'ich gebe es ihnen' bedeuten. Der Kontext klärt alles."
"Dativ-Plural Mutation";"{{c1::Se lo}} muestra.";"Er zeigt es ihnen (den Gästen). → Er zeigt es ihnen.";"Nutze die se-Mutation für den Dativ-Plural (ihnen) vor dem maskulinen Akkusativ-Pronomen (lo).";""
"Dativ-Plural Mutation";"{{c1::Se lo}} enviamos.";"Wir schicken es ihnen (den Kunden). → Wir schicken es ihnen.";"Bilde die Kette mit Dativ-Plural-Mutation (ihnen -> se) und dem maskulinen Akkusativ-Singular.";""
"Objekt-Pluralisierung mit Mutation";"{{c1::Se los}} vendo.";"Ich verkaufe sie (die Autos, los coches) ihm. → Ich verkaufe sie ihm.";"Das Akkusativ-Pronomen muss in den maskulinen Plural (los) gesetzt werden. Dativ mutiert weiterhin zu 'se'.";""
"Objekt-Pluralisierung mit Mutation";"{{c1::Se los}} trae.";"Sie (Sg.) bringt sie (die Briefe/Bücher, mask.) ihr. → Sie bringt sie ihr.";"Kombination aus mutiertem Dativ (ihr -> se) und maskulinem Akkusativ-Plural (los).";""
"Objekt-Pluralisierung mit Mutation";"{{c1::Se los}} das.";"Du gibst sie (die Dokumente) ihnen. → Du gibst sie ihnen.";"Nutze die se-Mutation (ihnen -> se) zusammen mit dem maskulinen Akkusativ-Plural (los).";""
"Direkte/Indirekte Pronomen (mir es)";"Tú {{c1::me lo}} das.";"Du gibst es mir.";"Reihenfolge: Dativ (me) vor Akkusativ (lo). Hier mutiert nichts, da kein le/les im Spiel ist.";"Die goldene Regel lautet immer: Wem (Dativ) vor Was (Akkusativ) vor dem Verb."
"Direkte/Indirekte Pronomen (dir es)";"{{c1::Te lo}} digo.";"Ich sage es dir.";"Dativ (dir -> te) vor maskulinem Akkusativ-Singular (lo) direkt vor dem Verb.";""
"Direkte/Indirekte Pronomen (uns es)";"Él {{c1::nos lo}} trae.";"Er bringt es uns.";"Dativ (uns -> nos) vor maskulinem Akkusativ-Singular (lo).";""
"Direkte/Indirekte Pronomen (euch es)";"Ellos {{c1::os lo}} muestran.";"Sie zeigen es euch.";"Dativ (euch -> os) vor maskulinem Akkusativ-Singular (lo).";""
"Direkte/Indirekte Pronomen (mir sie)";"{{c1::Me los}} compra.";"Er kauft sie (die Bücher) mir. → Er kauft sie mir.";"Dativ (mir -> me) vor dem maskulinen Akkusativ-Plural (los).";""
"Vollständige Kette mit Subjekt";"{{c1::Él}} se lo da.";"Er gibt es ihr.";"Nutze das explizite Subjektpronomen (Él) ganz am Anfang, gefolgt von der starr bleibenden Pronomen-Kette.";"Deine eiserne Regel greift hier perfekt: Nominativ (Él) -> Dativ (se) -> Akkusativ (lo) -> Verb (da)."
"Vollständige Kette mit Subjekt";"{{c1::Ella}} se lo dice.";"Sie (Sg.) sagt es ihm.";"Bilde den Satz nach der Struktur: Subjekt (Ella) + Dativ-Mutation + Akkusativ + Verb.";""
"Vollständige Kette mit Subjekt";"Nosotros {{c1::se lo}} pagamos.";"Wir bezahlen es ihnen.";"Subjektpronomen (Nosotros) + Dativ-Mutation (ihnen -> se) + Akkusativ (lo) + Verb.";""
"Vollständige Kette mit Subjekt";"Vosotros {{c1::nos lo}} enviáis.";"Ihr schickt es uns.";"Subjektpronomen (Vosotros) + Dativ (nos) + Akkusativ (lo) + Verb.";""
