main_topic;cloze_test;translation;hint;extra
"Fragewort Qué (Was)";"¿{{c1::Qué}} le das a Carlos?";"Was gibst du Carlos?";"Nutze das universelle Fragewort für 'Was' und denke an den zwingenden Akzent.";"Im Spanischen tragen alle Fragewörter in direkten und indirekten Fragen einen geschriebenen Akzent."
"Fragewort Quién (Wer)";"¿{{c1::Quién}} tiene el libro?";"Wer hat das Buch?";"Nutze das Fragewort für 'Wer' (Singular) mit Akzent.";""
"Fragewort A quién (Wem)";"¿{{c1::A quién}} le das las llaves?";"Wem gibst du die Schlüssel?";"Nutze das Fragewort für 'Wem'. Denke an das persönliche 'a' vor Personen, das auch beim Fragewort mitwandert.";"Hier siehst du wieder das Dativ-Signal: 'A quién' am Anfang verlangt zwingend das 'le' vor dem Verb."
"Fragewort Cómo (Wie)";"¿{{c1::Cómo}} es el problema?";"Wie ist das Problem? (Wie sieht das Problem aus?)";"Fragewort für 'Wie' (Eigenschaften/Charakter) mit Akzent.";"Das Verb 'ser' (es) fragt nach festen, dauerhaften Eigenschaften einer Sache oder Person."
"Fragewort Cómo (Wie/Befinden)";"¿{{c1::Cómo}} estás?";"Wie geht es dir?";"Fragewort für 'Wie' (Befinden/Zustand) mit Akzent.";"Für das veränderliche Befinden nutzt das Spanische das Verb 'estar' statt 'ser'."
"Fragewort Dónde (Wo)";"¿{{c1::Dónde}} está el coche del hombre?";"Wo ist das Auto des Mannes?";"Nutze das Fragewort für einen festen Ort ('Wo') mit Akzent.";""
"Fragewort Adónde (Wohin)";"¿{{c1::Adónde}} vamos mañana?";"Wohin gehen wir morgen?";"Nutze das Fragewort für Richtungen und Bewegungen ('Wohin') mit Akzent. Es verschmilzt aus 'a' + 'dónde'.";"Das Wort 'vamos' stammt vom hochfrequenten Verb 'ir' (gehen/fahren)."
"Fragewort De dónde (Woher)";"¿{{c1::De dónde}} eres?";"Woher bist du? / Woher kommst du?";"Nutze die Kombination aus der Herkunfts-Präposition (de) und dem Fragewort für 'Wo'.";"Diese Frage nutzt das Verb 'ser' (eres), da die Herkunft eine dauerhafte Eigenschaft einer Person ist."
"Fragewort Cuándo (Wann)";"¿{{c1::Cuándo}} me traes la comida?";"Wann bringst du mir das Essen?";"Nutze das temporale Fragewort für 'Wann' mit Akzent.";""
"Fragewort Por qué (Warum)";"¿{{c1::Por qué}} vendes la moto?";"Warum verkaufst du das Motorrad?";"Nutze das Fragewort für 'Warum'. Achtung: In Fragen wird es strikt getrennt geschrieben und trägt einen Akzent.";"Die Antwort 'weil' schreibt man im Spanischen genau umgekehrt: als ein einziges Wort und ohne Akzent (porque)."
"Fragewort Cuál (Welches)";"¿{{c1::Cuál}} es tu libro?";"Welches ist dein Buch?";"Nutze das Fragewort für 'Welches/Welcher' bei einer Auswahl aus einer bekannten Menge.";"Im Gegensatz zu 'qué' (Sache erfragen) nutzt man 'cuál', wenn man eine Auswahl zwischen konkreten Optionen trifft."
"Fragewort Cuáles (Welche/Plural)";"¿{{c1::Cuáles}} son tus llaves?";"Welches sind deine Schlüssel? / Welche sind deine Schlüssel?";"Nutze die Pluralform des Frageworts 'cuál' mit Akzent.";"Das Fragewort 'cuál' passt sich als eines der wenigen Fragewörter im Numerus (Plural = cuáles) an das Verb an."
"Fragewort Cuánto (Wie viel)";"¿{{c1::Cuánto}} café tomas?";"Wie viel Kaffee trinkst du?";"Nutze das Mengen-Fragewort. Es muss maskulin im Singular sein, da 'café' maskulin ist.";""
"Fragewort Cuánto (Wie viel/Zeit)";"¿{{c1::Cuánto}} tiempo tienes?";"Wie viel Zeit hast du?";"Nutze das Mengen-Fragewort im maskulinen Singular passend zu 'tiempo'.";""
"Fragewort Cuántos (Wie viele)";"¿{{c1::Cuántos}} coches tienes?";"Wie viele Autos hast du?";"Setze das Mengen-Fragewort in den maskulinen Plural passend zu 'coches'.";""
"Reine Intonationsfrage";"¿{{c1::El libro es rojo}}?";"Ist das Buch rot?";"Bilde eine Ja/Nein-Frage. Der Satzbau ändert sich im Vergleich zum Aussagesatz überhaupt nicht, nur die Satzzeichen kommen hinzu.";"Im Spanischen ist das umgedrehte Fragezeichen (¿) am Satzanfang Pflicht, damit man beim lauten Lesen sofort weiß, dass eine Frage beginnt."
"Reine Intonationsfrage";"¿{{c1::Habláis español}}?";"Sprecht ihr Spanisch?";"Bilde die Frage ohne Fragewort direkt aus der 'ihr'-Form des Verbs 'hablar'.";""
"Reine Intonationsfrage";"¿{{c1::Tu gata está preciosa}}?";"Ist deine Katze wunderschön?";"Bilde die reine Intonationsfrage aus dem bekannten Satzmuster 1.";""
"Reine Intonationsfrage";"¿{{c1::Me lo das}}?";"Gibst du es mir?";"Bilde die Frage rein über die Satzzeichen. Die Pronomen-Kette bleibt starr vor dem Verb.";"Hier greift wieder deine eiserne Regel: Dativ (me) vor Akkusativ (lo) vor dem Verb (das)."
"Reine Intonationsfrage";"¿{{c1::Nos conocemos}}?";"Kennen wir uns?";"Nutze die 'wir'-Form des Verbs 'conocer' (kennen/kennenlernen) mit dem passenden Reflexivpronomen.";""
