main_topic;cloze_test;translation;hint;extra
Präpositionalpronomen (ich);Este regalo es para {{c1::mí}}.;Dieses Geschenk ist für mich.;Setze das Pronomen für ich nach einer Präposition ein. Denke an den zwingenden Akzent!;Nach fast allen Präpositionen mutiert yo (ich) zu mí. Der Akzent unterscheidet es vom Possessivpronomen mi (mein).
Präpositionalpronomen (du);Este regalo es para {{c1::ti}}.;Dieses Geschenk ist für dich.;Setze das Pronomen für du nach einer Präposition ein. Achtung: kein Akzent!;Nach Präpositionen mutiert tú (du) zu ti. Dieses Wort wird im Spanischen niemals mit Akzent geschrieben.
con-Verschmelzung (mit mir);Carlos viene {{c1::conmigo}}.;Carlos kommt mit mir.;Trifft die Präposition con (mit) auf das Pronomen für ich, verschmelzen sie zu einem einzigen unregelmäßigen Spezialwort.;Das Wort conmigo bedeutet ausnahmslos mit mir.
con-Verschmelzung (mit dir);Yo voy {{c1::contigo}}.;Ich gehe mit dir.;Trifft die Präposition con (mit) auf das Pronomen für du, verschmelzen sie zu einem einzigen unregelmäßigen Spezialwort.;Das Wort contigo bedeutet ausnahmslos mit dir.
Präpositionalpronomen (er);El éxito es para {{c1::él}}.;Der Erfolg ist für ihn.;Nutze nach der Präposition das ganz normale Subjektpronomen für er (él).;Ab der 3. Person Singular finden im Spanischen nach Präpositionen keine unregelmäßigen Mutationen mehr statt.
Präpositionalpronomen (sie - Sg.);La sorpresa es para {{c1::ella}}.;Die Überraschung ist für sie (Sg.).;Nutze nach der Präposition das normale Subjektpronomen für sie (ella).;
Präpositionalpronomen (wir);El camino ist offen para {{c1::nosotros}}.;Der Weg ist offen für uns.;Nutze nach der Präposition das normale Subjektpronomen für wir (nosotros).;
Präpositionalpronomen (ihr);Este proyecto es para {{c1::vosotros}}.;Dieses Projekt ist für euch.;Nutze nach der Präposition das normale Subjektpronomen für ihr (vosotros).;
Präpositionalpronomen (sie - Pl.);La solución es para {{c1::ellos}}.;Die Lösung ist für sie (Pl.).;Nutze nach der Präposition das normale Subjektpronomen für sie Mehrzahl (ellos).;
Präpositionalpronomen Höflichkeit;La información es para {{c1::usted}}.;Die Information ist für Sie (Sg. höflich).;Nutze das Höflichkeitspronomen usted nach der Präposition para.;usted wird im laufenden Satz immer kleingeschrieben.
