main_topic;cloze_test;translation;hint;extra
Perfekt regelmäßige Verben (1. Sg.);Hoy {{c1::he leído}} el libro.;Heute habe ich das Buch gelesen.;Bilde das Perfekt für ich mit der passenden Form von haber (he) + Partizip von leer (leído).;Das Perfekt wird für Handlungen genutzt die in einem Zeitraum stattfinden der noch zur Gegenwart gehört (Signalwort: hoy - heute).
Perfekt regelmäßige Verben (2. Sg.);Tú {{c1::has comprado}} un coche hermoso.;Du hast ein wunderschönes Auto gekauft.;Nutze die 2. Person Singular von haber (has) + Partizip auf -ado des Verbs comprar.;Das Partizip auf -ado bleibt im Perfekt für Männer Frauen Einzahl und Mehrzahl absolut unveränderlich.
Perfekt regelmäßige Verben (3. Sg.);Ella {{c1::ha viajado}} este año a Madrid.;Sie ist dieses Jahr nach Madrid gereist.;Nutze die 3. Person Singular von haber (ha) + Partizip von viajar (viajado).;Das Hilfsverb im spanischen Perfekt ist immer haber niemals ser (sein). Man sagt wörtlich also sie hat gereist.
Perfekt regelmäßige Verben (1. Pl.);Esta semana {{c1::hemos aprendido}} mucho.;Diese Woche haben wir viel gelernt.;Nutze die 1. Person Plural von haber (hemos) + Partizip auf -ido des Verbs aprender.;Este/esta (dieser/diese) ist das klassische Signalwort für einen gegenwartsorientierten Zeitraum.
Perfekt regelmäßige Verben (2. Pl.);Vosotros {{c1::habéis vivido}} grandes momentos.;Ihr habt große Momente erlebt/gelebt.;Nutze die 2. Person Plural von haber (habéis) + Partizip von vivir (vivido). Denke an den Akzent!;Die Form habéis trägt zwingend einen geschriebenen Akzent auf dem e.
Perfekt regelmäßige Verben (3. Pl.);Ellos {{c1::han ganado}} el partido hoy.;Sie haben das Spiel heute gewonnen.;Nutze die 3. Person Plural von haber (han) + Partizip von ganar (ganado).;
Perfekt unregelmäßiges Partizip;Hoy {{c1::he hecho}} un buen trabajo.;Heute habe ich gute Arbeit gemacht.;Bilde das unregelmäßige Partizip des hochfrequenten Verbs hacer (hacer -> hecho).;Hacer bildet das Partizip völlig unregelmäßig auf hecho.
Perfekt unregelmäßiges Partizip;Ella me {{c1::ha dicho}} la verdad.;Sie hat mir die Wahrheit gesagt.;Bilde das unregelmäßige Partizip des Verbs decir (decir -> dicho).;Decir bildet das Partizip unregelmäßig auf dicho.
Perfekt unregelmäßiges Partizip;¿Dónde {{c1::has puesto}} las llaves?;Wo hast du die Schlüssel hingelegt (platziert)?;Bilde das unregelmäßige Partizip des Verbs poner (poner -> puesto).;Poner bildet das Partizip unregelmäßig auf puesto.
Perfekt unregelmäßiges Partizip;Ya {{c1::hemos visto}} esa hermosa ciudad.;Wir haben jene wunderschöne Stadt schon gesehen.;Bilde das unregelmäßige Partizip des Verbs ver (ver -> visto).;Ver bildet das Partizip unregelmäßig auf visto. Ya bedeutet schon.
Perfekt unregelmäßiges Partizip;Las puertas se {{c1::han abierto}} hoy.;Die Türen haben sich heute geöffnet (sind geöffnet worden).;Bilde das unregelmäßige Partizip des Verbs abrir (abrir -> abierto) im Plural mit han.;Abrir bildet das Partizip unregelmäßig auf abierto.
Perfekt unregelmäßiges Partizip;El sol {{c1::ha vuelto}} a brillar.;Die Sonne scheint wieder (hat wiedergekehrt zu scheinen).;Bilde das unregelmäßige Partizip von volver (volver -> vuelto).;Volver a + Infinitiv ist die feste spanische Wendung für etwas wieder tun. Volver bildet das Partizip auf vuelto.
Perfekt unregelmäßiges Partizip;Usted {{c1::ha escrito}} un gran libro.;Sie (Sg. höflich) haben ein großes Buch geschrieben.;Bilde das unregelmäßige Partizip des Verbs escribir (escribir -> escrito).;Escribir bildet das Partizip unregelmäßig auf escrito.
Perfekt unregelmäßiges Partizip;Ustedes {{c1::han descubierto}} la solución.;Sie (Pl. höflich) haben die Lösung entdeckt.;Bilde das unregelmäßige Partizip des Verbs descubrir (descubrir -> descubierto).;Descubrir bildet das Partizip unregelmäßig auf descubierto.
Perfekt mit Pronomen vorne;Ya lo {{c1::he terminado}}.;Ich habe es schon beendet/fertiggestellt.;Das Akkusativpronomen lo steht bereits ganz vorne. Ergänze haber für ich + Partizip von terminar.;Eiserne Regel fürs spanische Perfekt: Es darf NIEMALS ein Wort zwischen das Hilfsverb haber und das Partizip geschoben werden. Pronomen wandern ganz nach links vor haber.
Perfekt mit Pronomen vorne;Esta mañana me {{c1::ha llamado}} Carlos.;Heute Morgen hat mich Carlos angerufen.;Das Pronomen me steht ganz links. Ergänze haber für er/sie (ha) + Partizip von llamar (llamado).;
Perfekt mit doppelten Pronomen;Se lo {{c1::hemos enviado}} a usted hoy.;Wir haben es Ihnen heute geschickt.;Die Pronomen se lo stehen ganz links vor dem Hilfsverb. Ergänze haber für wir (hemos) + Partizip von enviar (enviado).;Auch im Perfekt bleibt deine eiserne Kette unzertrennlich vor dem konjugierten Verb: no + Dativ + Akkusativ + haber + Partizip.
Perfekt mit doppelten Pronomen;Se las {{c1::has traído}} a ella esta tarde.;Du hast sie (las llaves) ihr heute Nachmittag gebracht.;Die Pronomen se las stehen ganz links. Ergänze haber für du (has) + Partizip von traer (traído).;
Starrheit der Perfekt-Negation;No {{c1::he perdido}} la esperanza heute.;Ich habe die Hoffnung heute nicht verloren.;Das Verneinungswort no steht starr ganz links vor dem Hilfsverb he. Ergänze he + Partizip von perder (perdido).;Deine Pareto-Regel 12 greift starr: Das no darf das Hilfsverb haber niemals vom Partizip trennen sondern umschließt das gesamte Paket von links.
