main_topic;cloze_test;translation;hint;extra
"Dativ-Signal (3. Person maskulin)";"{{c1::Le}} doy el libro a Carlos.";"Ich gebe Carlos das Buch.";"Formel für den Dativ im Singular: Unbetontes Pronomen (le) vor das Verb UND Präposition (a) vor den Eigennamen.";"Das Pronomen 'le' vor dem Verb ist im Spanischen grammatikalische Pflicht, selbst wenn Carlos am Ende namentlich genannt wird."
"Dativ-Signal (3. Person feminin)";"Le doy el libro {{c1::a}} María.";"Ich gebe Maria das Buch.";"Das unbetonte Dativ-Pronomen 'le' ist für Männer und Frauen im Singular völlig identisch. Vergiss das Dativ-Signal (a) hinten nicht.";""
"Dativ-Signal mit biologischem Nomen";"{{c1::Le damos el libro a la}} madre.";"Wir geben der Mutter das Buch.";"Nutze das vordere Pronomen 'le' und kombiniere hinten das Dativ-Signal mit dem weiblichen Artikel (a la).";"Obwohl 'madre' auf -e endet, bricht die Biologie die LONERS-Regel: Das Wort ist zu 100 % weiblich!"
"Dativ-Signal Verschmelzung al";"{{c1::Le da el libro al}} padre.";"Sie gibt dem Vater das Buch.";"Wichtige Verschmelzung: Wenn die Präposition 'a' auf den männlichen Artikel 'el' trifft, wird daraus zwingend 'al'.";"Die Formel lautet: a + el = al. Bei weiblichen Formen (a la) passiert das nicht."
"Dativ-Signal Höflichkeit Usted";"{{c1::Le}} doy el libro a usted.";"Ich gebe Ihnen (Sg., höflich) das Buch.";"Das Pronomen 'le' steht vor dem Verb. Nutze am Ende das Pronomen für die Höflichkeitsform (usted) mit dem Dativ-Signal.";"Das Wort 'usted' wird im laufenden Satz immer kleingeschrieben."
"Dativ-Signal 1. Person (mir)";"Carlos {{c1::me da el libro a mí}}.";"Carlos gibt mir das Buch.";"Setze das unbetonte Pronomen für 'mir' (me) vor das Verb und das betonte Pronomen mit Akzent (a mí) ans Satzende.";"Das hintere 'a mí' ist im Spanischen optional und dient der ausdrücklichen Betonung ('mir und keinem anderen')."
"Dativ-Signal 2. Person (dir)";"{{c1::Te doy el libro a ti}}.";"Ich gebe dir das Buch.";"Unbetontes Pronomen 'te' vor dem Verb + betontes Signal 'a ti' (ohne Akzent!) am Ende.";""
"Dativ-Signal 1. Person Plural (uns)";"Ella {{c1::nos da el libro a nosotros}}.";"Sie gibt uns das Buch.";"Nutze das Pronomen 'nos' vor dem Verb und das betonte Signal am Ende zur Hervorhebung.";""
"Dativ-Signal 2. Person Plural (euch)";"{{c1::Os doy el libro a vosotros}}.";"Ich gebe euch das Buch.";"Nutze das Pronomen 'os' vor dem Verb und das betonte Signal am Ende.";""
"Dativ-Signal ohne Endkontext";"¿Dónde está Carlos? Yo {{c1::le}} doy el libro.";"Wo ist Carlos? Ich gebe ihm das Buch.";"Hier bleibt die Lücke am Satzende komplett frei! Das Pronomen 'le' reicht völlig aus.";"Wenn die Person (Carlos) gerade eben im Satz davor genannt wurde, wäre ein erneutes 'a Carlos' im Spanischen doppelt gemoppelt."
