main_topic;cloze_test;translation;hint;extra
Verb ir Präsens (1. Sg. - Richtung);Yo {{c1::voy}} a la oficina todas las mañanas.;Ich gehe jeden Morgen ins Büro.;Bilde die unregelmäßige 1. Person Singular von ir (ich gehe) im Präsens.;Ortsveränderungen mit ir verlangen fast immer die Präposition a (ir a).
Verb ir Präsens (1. Sg. - Zukunft);Yo {{c1::voy a}} estudiar español este fin de semana.;Ich werde dieses Wochenende Spanisch lernen.;Bilde die Struktur für die unmittelbare Zukunft (ich werde ... tun) im Präsens.;Die Struktur ir + a + Infinitiv drückt eine feste Absicht in der nahen Zukunft aus.
Verb ir Präsens (1. Sg. - Begleitung);Yo {{c1::voy}} con mi hermano mayor al cine.;Ich gehe mit meinem älteren Bruder ins Kino.;Bilde die 1. Person Singular von ir (ich gehe) im Präsens.;A und el verschmelzen obligatorisch zu al (a + el = al).
Verb ir Präsens (1. Sg. - Transport);Yo {{c1::voy}} en coche al centro de la ciudad.;Ich fahre mit dem Auto ins Stadtzentrum.;Bilde die 1. Person Singular von ir (ich fahre) im Präsens.;Das Transportmittel wird im Spanischen meist mit der Präposition en eingeleitet (en coche).
Verb ir Präsens (1. Sg. - Absicht);Yo {{c1::voy}} a buscar una solución ahora mismo.;Ich werde jetzt sofort nach einer Lösung suchen.;Bilde die Form von ir für die unmittelbare Zukunft (ich werde...).;Buscar (suchen) folgt direkt auf die Präposition a.
Verb ir Präsens (2. Sg. - Frage);¿Tú dónde {{c1::vas}} con esa maleta grande?;Wohin gehst du mit diesem großen Koffer?;Bilde die 2. Person Singular von ir (du gehst) im Präsens. Ohne Akzent!;Die Präsensformen von ir haben im Indikativ keinen geschriebenen Akzent.
Verb ir Präsens (2. Sg. - Zukunft);Tú {{c1::voy a}} cambiar de trabajo pronto, ¿no?;Du wirst bald den Beruf wechseln, oder?;Bilde die Struktur für du wirst ... tun (unmittelbare Zukunft).;Achte darauf, dass nach ir siempre die Präposition a folgt.
Verb ir Präsens (2. Sg. - Transport);¿Tú {{c1::vas}} en autobús o a pie a la escuela?;Fährst du mit dem Bus oder gehst du zu Fuß zur Schule?;Bilde die 2. Person Singular von ir (du fährst) im Präsens.;"A pie" ist die feste Redewendung für "zu Fuß".
Verb ir Präsens (2. Sg. - Richtung);Tú siempre {{c1::vas}} al mismo restaurante.;Du gehst immer in dasselbe Restaurant.;Bilde die 2. Person Singular von ir (du gehst) im Präsens.;Mismo bedeutet gleich oder dasselbe.
Verb ir Präsens (2. Sg. - Befund);Tú {{c1::vas}} por el camino correcto.;Du gehst auf dem richtigen Weg.;Bilde die 2. Person Singular von ir (du gehst) im Präsens.;Camino bedeutet Weg oder Straße.
Verb ir Präsens (3. Sg. - Richtung);El director {{c1::va}} a una reunión importante.;Der Leiter geht zu einem wichtigen Treffen.;Bilde die 3. Person Singular von ir (er/sie/es geht) im Präsens.;Reunión ist weiblich (una reunión).
Verb ir Präsens (3. Sg. - Zukunft);Ella {{c1::va a}} pagar la cuenta de la cena.;Sie wird die Rechnung des Abendessens bezahlen.;Bilde die Struktur für er/sie wird ... tun (unmittelbare Zukunft).;Die Form va passt sich an das Subjekt ella an.
Verb ir Präsens (3. Sg. - Richtung);El tren {{c1::va}} hacia el norte del país.;Der Zug fährt in Richtung Norden des Landes.;Bilde die 3. Person Singular von ir (er/sie/es fährt) im Präsens.;Hacia bedeutet in Richtung oder gegen.
Verb ir Präsens (3. Sg. - Transport);Mi hijo menor {{c1::va}} en bicicleta al parque.;Mein jüngerer Sohn fährt mit dem Fahrrad in den Park.;Bilde die 3. Person Singular von ir (er/sie/es fährt) im Präsens.;Bicicleta (Fahrrad) wird oft zu bici verkürzt.
Verb ir Präsens (3. Sg. - Zukunft);Él {{c1::va a}} hacer un gran esfuerzo hoy.;Er wird heute eine große Anstrengung machen.;Bilde die Struktur für er/sie wird ... tun (unmittelbare Zukunft).;Hacer steht im Infinitiv nach der Präposition a.
Verb ir Präsens (1. Pl. - Richtung);Nosotros {{c1::vamos}} a la playa este verano.;Wir gehen (fahren) diesen Sommer an den Strand.;Bilde die 1. Person Plural von ir (wir gehen) im Präsens.;Verano (Sommer) gehört zum Grundwortschatz.
