main_topic;cloze_test;translation;hint;extra
Subjunktiv nach Wünschen (1. Sg.);Quiero que él {{c1::lea}} el libro.;Ich möchte, dass er das Buch liest.;Bilde den Subjunktiv Präsens für die 3. Person Singular des Verbs leer (lesen).;Wünsche mit 'quiero que' erzwingen im Nebensatz immer den Subjunktiv. Das Verb leer auf -er bekommt die Endung -a.
Subjunktiv nach Wünschen (3. Sg.);Ella quiere que yo {{c1::hable}} español.;Sie möchte, dass ich Spanisch spreche.;Bilde den Subjunktiv Präsens für die 1. Person Singular von hablar (sprechen).;Das Verb hablar auf -ar wechselt im Subjunktiv zur Endung -e.
Subjunktiv nach Hoffnungen;Espero que tú {{c1::tengas}} un buen día.;Ich hoffe, dass du einen guten Tag hast.;Bilde die 2. Person Singular im Subjunktiv von tener (haben).;Hoffnungen mit 'espero que' verlangen den Subjunktiv. Der Stamm von tener lautig im Subjunktiv teng-.
Subjunktiv nach Gefühlen;Me alegra que nosotros {{c1::estemos}} aquí.;Es freut mich, dass wir hier sind.;Bilde die 1. Person Plural im Subjunktiv von estar (sein für Orte).;Gefühlsäußerungen wie 'me alegra que' lösen den Subjunktiv aus. Estar wechselt zu estemos (mit Akzent auf dem e).
Subjunktiv nach Notwendigkeit;Es necesario que ellos {{c1::vivan}} bien.;Es ist notwendig, dass sie gut leben.;Bilde die 3. Person Plural im Subjunktiv von vivir (leben).;Unpersönliche Ausdrücke der Notwendigkeit verlangen im Nebensatz immer den Subjunktiv.
Subjunktiv nach Wünschen;Queremos que vosotros {{c1::ganéis}} el partido.;Wir wollen, dass ihr das Spiel gewinnt.;Bilde die 2. Person Plural im Subjunktiv von ganar (gewinnen).;Ganar auf -ar bekommt im Subjunktiv die Endung -éis.
Subjunktiv nach Hoffnungen;Espero que la situación {{c1::mejore}} pronto.;Ich hoffe, dass sich die Situation bald verbessert.;Bilde die 3. Person Singular im Subjunktiv von mejorar (verbessern).;
Subjunktiv nach Gefühlen;Me gusta que el sol {{c1::brille}} hoy.;Ich mag es, dass die Sonne heute scheint.;Bilde die 3. Person Singular im Subjunktiv von brillar (scheinen).;Ausdrücke wie 'me gusta que' bewerten eine Situation emotional und verlangen daher den Subjunktiv.
Subjunktiv nach Wünschen;Quiero que tú {{c1::compres}} un coche nuevo.;Ich möchte, dass du ein neues Auto kaufst.;Bilde die 2. Person Singular im Subjunktiv von comprar (kaufen).;
Subjunktiv nach unpersönlicher Form;Es importante que usted {{c1::sepa}} la verdad.;Es ist wichtig, dass Sie (Sg. höflich) die Wahrheit wissen.;Bilde die 3. Person Singular im unregelmäßigen Subjunktiv von saber (wissen).;Saber hat einen völlig unregelmäßigen Subjunktiv-Stamm: sepa sepas sepa sepamos sepáis sepan.
Subjunktiv nach Wünschen;Ella quiere que ustedes {{c1::vean}} la ciudad.;Sie möchte, dass Sie (Pl. höflich) die Stadt sehen.;Bilde die 3. Person Plural im Subjunktiv von ver (sehen).;Das Verb ver bildet den Subjunktiv mit vean.
Subjunktiv unregelmäßig ser;Espero que el viaje {{c1::sea}} hermoso.;Ich hoffe, dass die Reise wunderschön wird (ist).;Bilde die unregelmäßige 3. Person Singular von ser (sein) im Subjunktiv (sea).;Ser ist im Subjunktiv unregelmäßig: sea seas sea seamos seáis sean.
Subjunktiv unregelmäßig ir;Quiero que nosotros {{c1::vayamos}} a la playa.;Ich möchte, dass wir an den Strand gehen.;Bilde die unregelmäßige 1. Person Plural von ir (gehen) im Subjunktiv (vayamos).;Ir ist im Subjunktiv unregelmäßig: vaya vayas vaya vayamos vayáis vayan.
Subjunktiv unregelmäßig hacer;Es necesario que yo {{c1::haga}} el trabajo hoy.;Es ist notwendig, dass ich die Arbeit heute mache.;Bilde die unregelmäßige 1. Person Singular von hacer (machen) im Subjunktiv (haga).;Hacer bildet den Subjunktiv über die erste Person Präsens (hago -> haga).
Subjunktiv unregelmäßig decir;Espero que ella me {{c1::diga}} la respuesta.;Ich hoffe, dass sie mir die Antwort sagt.;Bilde die 3. Person Singular im Subjunktiv von decir (sagen) (diga).;Decir bildet den Subjunktiv über die erste Person Präsens (digo -> diga).
Subjunktiv unregelmäßig venir;Me alegra que tus amigos {{c1::vengan}} hoy.;Es freut mich, dass deine Freunde heute kommen.;Bilde die 3. Person Plural im Subjunktiv von venir (kommen) (vengan).;Venir nutzt den Stamm der ersten Person Präsens (vengo -> vengan).
Subjunktiv unregelmäßig poder;Es posible que tú {{c1::puedas}} encontrar la solución.;Es ist möglich, dass du die Lösung finden kannst.;Bilde die 2. Person Singular im Subjunktiv von poder (können).;Poder behält im Subjunktiv in der du-Form seinen Diphthong (puedas).
Subjunktiv unregelmäßig querer;Quiero que nosotros {{c1::queramos}} mejorar.;Ich möchte, dass wir uns verbessern wollen.;Bilde die 1. Person Plural im Subjunktiv von querer (wollen).;Achtung: Querer verliert in der wir-Form des Subjunktivs den Diphthong (queramos statt quieramos).
Subjunktiv unregelmäßig dar;Espero que él le {{c1::dé}} el regalo a ella.;Ich hoffe, dass er ihr das Geschenk gibt.;Bilde die 3. Person Singular im Subjunktiv von dar (geben). Denke an den Akzent!;Die Form dé hat einen Akzent um sie von der Präposition de (von) zu unterscheiden.
Subjunktiv unregelmäßig escribir;Quiero que tú me {{c1::escribas}} eine Nachricht.;Ich möchte, dass du mir eine Nachricht schreibst.;Bilde die 2. Person Singular im Subjunktiv von escribir (schreiben).;Escribir auf -ir bekommt im Subjunktiv die Endung -as.
Subjunktiv mit Pronomen vorne;Quiero que lo {{c1::leas}} heute.;Ich möchte, dass du es heute liest.;Das Pronomen lo steht vor dem Subjunktiv-Verb. Ergänze die 2. Person Singular von leer (leas).;Im Nebensatz stehen unbetonte Pronomen immer ganz normal vor dem konjugierten Subjunktiv-Verb.
Subjunktiv mit Pronomen vorne;Espero que me {{c1::ayudes}} mañana.;Ich hoffe, dass du mir morgen hilfst.;Das Dativpronomen me steht vorne. Ergänze die 2. Person von ayudar im Subjunktiv (ayudes).;
Subjunktiv mit doppelten Pronomen;Es necesario que se lo {{c1::digas}} a él.;Es ist notwendig, dass du es ihm sagst.;Die Pronomen se lo stehen vorne. Ergänze decir für du im Subjunktiv (digas).;Auch im Subjunktiv bleibt deine eiserne Formel intakt: Dativ + Akkusativ + Verb.
Subjunktiv nach Gefühlsausdruck;Me encanta que las flores {{c1::crezcan}} rápido.;Ich liebe es, dass die Blumen schnell wachsen.;Bilde die 3. Person Plural im Subjunktiv von crecer (crezcan).;Verben auf -cer bilden den Subjunktiv oft unregelmäßig auf -zcan (crezco -> crezcan).
Subjunktiv nach Rat/Empfehlung;Te recomiendo que {{c1::termines}} el proyecto hoy.;Ich empfehle dir, dass du das Projekt heute beendest.;Bilde die 2. Person Singular im Subjunktiv von terminar (termines).;Empfehlungen und Ratschläge verlangen im spanischen Nebensatz zwingend den Subjunktiv.
Subjunktiv nach unpersönlicher Form;Es una pena que tú no {{c1::puedas}} venir.;Es ist schade, dass du nicht kommen kannst.;Setze das verneinte Verb im Subjunktiv für du ein (puedas).;Ausdrücke des Bedauerns wie 'es una pena que' lösen immer den Subjunktiv aus.
Subjunktiv nach Zweifel;Dudo que la comida {{c1::esté}} lista.;Ich bezweifle, dass das Essen fertig ist.;Nutze die 3. Person von estar im Subjunktiv. Denke an den Akzent auf dem é!;Zweifel mit 'dudo que' verlangen den Subjunktiv. Estar wird zu esté.
Subjunktiv nach unpersönlicher Form;Es mejor que nosotros {{c1::busquemos}} una alternativa.;Es ist besser, dass wir eine Alternative suchen.;Bilde die 1. Person Plural im Subjunktiv von buscar (suchen).;Rechtschreibregel: Aus c wird vor e ein qu um den k-Laut zu erhalten (busquemos).
Subjunktiv unregelmäßig pedir;Quiero que tú me {{c1::pidas}} ayuda.;Ich möchte, dass du mich um Hilfe bittest.;Bilde die 2. Person Singular im Subjunktiv von pedir (bitten/fordern).;Pedir wechselt im Subjunktiv den Stammvokal komplett von e zu i (pidas).
Subjunktiv nach Gefühlen;Me alegra que ustedes {{c1::disfruten}} del viaje.;Es freut mich, dass Sie (Pl. höflich) die Reise genießen.;Bilde die 3. Person Plural im Subjunktiv von disfrutar (disfruten).;
Subjunktiv nach Wünschen;Él desea que la vida uns {{c1::ofrezca}} cosas buenas.;Er wünscht sich, dass das Leben uns gute Dinge bietet.;Bilde die 3. Person Singular im Subjunktiv von ofrecer (ofrezca).;Ofrecer bildet den Subjunktiv über die 1. Person Präsens (ofrezco -> ofrezca).
Subjunktiv unregelmäßig dormir;Espero que el niño {{c1::duerma}} bien.;Ich hoffe, dass das Kind gut schläft.;Bilde die 3. Person Singular im Subjunktiv von dormir (schlafen).;Dormir wechselt im Subjunktiv zu duerma.
