main_topic;cloze_test;translation;hint;extra
Freizeit-Insel Gegenwart;{{c1::Hoy veo una película hermosa en la televisión}}.;"Heute sehe ich einen schönen Film im Fernsehen.";Nutze das Zeitsignal hoy vor dem konjugierten Präsens-Verb veo und dem weiblichen Nomen película.;Das Wort película ist weiblich laut D-IÓ-A-Z-Regel. televisión ist ebenfalls weiblich.
Freizeit-Insel Zukunft;{{c1::Mañana vamos a escuchar música alegre en el bar}}.;"Morgen werden wir fröhliche Musik in der Bar hören.";Bilde die Zukunft mit dem periphrastischen Futur vamos a vor den Infinitiven escuchar música alegre.;Hier greift das zukunftsorientierte Baukastensystem aus Satzmuster 11. Bar ist maskulin.
Freizeit-Insel Abgeschlossene Vergangenheit;{{c1::Ayer ganamos el partido de fútbol con el equipo}}.;"Gestern haben wir das Fußballspiel mit der Mannschaft gewonnen.";Nutze das Zeitsignal ayer vor der 1. Person Plural des Indefinidos von ganar (ganamos) und dem Genitiv de.;Ayer fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14). Partido ist maskulin.
Freizeit-Insel Gewohnheit Vergangenheit;{{c1::Antes cantaba canciones bonitas en el jardín}}.;"Früher sang ich schöne Lieder im Garten.";Bilde die andauernde Vergangenheit im Imperfekt (cantaba) nach dem Zeitsignal antes (früher).;Gewohnheiten in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15). Canción ist weiblich.
Freizeit-Insel Frist;{{c1::Las entradas para el concierto son para el viernes}}.;"Die Tickets für das Konzert sind für Freitag.";Nutze die Zeit-Fristen-Präposition para vor dem maskulinen Wochentag el viernes.;Deadlines und feste Termine in der Zukunft werden immer mit para eingeleitet (Satzmuster 23). Concierto ist maskulin.
Freizeit-Insel Dauer;{{c1::Voy a disfrutar de las vacaciones por dos semanas}}.;"Ich werde den Urlaub für zwei Wochen genießen.";Nutze die Dauer-Präposition por vor dem Zeitraum dos semanas im periphrastischen Futur.;Zeiträume und Dauern einer Aktivität werden im Spanischen starr mit por verknüpft (Satzmuster 23).
Freizeit-Insel Perfekt;{{c1::Este año hemos hecho muchos viajes hermosos}}.;"Dieses Jahr haben wir viele schöne Reisen gemacht.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos hecho nach dem Signal este año.;Hacer bildet das Partizip unregelmäßig auf hecho (Satzmuster 24). Viaje ist maskulin laut LONERS.
Freizeit-Insel Einfache Verneinung;{{c1::Nunca pierdo el tiempo con pasatiempos aburridos}}.;"Nie verliere ich die Zeit mit langweiligen Hobbys.";Bilde die einfache Verneinung, indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca vor dem Verb, fällt das zusätzliche no komplett weg (Satzmuster 25). Pasatiempo bedeutet Hobby/Zeitvertreib.
Freizeit-Insel Abstraktes Nomen;{{c1::Lo mejor de la película es la música dulce}}.;"Das Beste an dem Film ist die süße Musik.";Bilde das abstrakte Substantiv das Beste mit lo mejor kombiniert mit del película -> de la película.;Das neutrale lo wandelt das Adjektiv sofort in ein abstraktes Nomen um (Satzmuster 26).
Freizeit-Insel Relativsatz;El libro {{c1::que Carlos lee en su tiempo libre es bueno}}.;"Das Buch, das Carlos in seiner Freizeit liest, ist gut.";Verknüpfe den Nebensatz flüssig mit dem Relativpronomen-Allrounder que vor Carlos lee.;Das Wörtchen que reicht für 90 % aller spanischen Relativsätze völlig aus (Satzmuster 27).
Freizeit-Insel Vergleich;Esta canción {{c1::es más alegre que la otra}}.;"Dieses Lied ist fröhlicher als das andere.";Bilde den Komparativ mit der starren Baukasten-Formel más ... que vor la otra.;Das Adjektiv alegre bleibt in seiner Grundform und wird beim Steigern nicht verändert (Satzmuster 28).
Freizeit-Insel Bedingungssatz;Si {{c1::tienes ganas, vemos el partido de fútbol}}.;"Wenn du Lust hast, schauen wir das Fußballspiel.";Bilde den realen Konditional im Hier und Jetzt nach der Formel Si + Präsens, Präsens.;Tener ganas ist die feste spanische Wendung für Lust haben auf etwas.
Freizeit-Insel Begleitung;¿{{c1::Quieres ir al concierto de música conmigo hoje}}?;"Möchtest du heute mit mir zum Musikkonzert gehen?";Bilde die Frage im Präsens für du kombiniert mit der Verschmelzung al und dem Spezialwort conmigo.;Trifft con auf das Pronomen für ich, verschmelzen sie starr zu conmigo (Satzmuster 30). a + el = al.
Freizeit-Insel Subjunktiv;Espero {{c1::que tú disfrutes mucho de la fiesta}}.;"Ich hoffe, dass du die Party sehr genießt.";Bilde den Subjunktiv Präsens für die 2. Person von disfrutar (disfrutes) nach espero que.;Hoffnungen lösen im spanischen Nebensatz starr den Subjunktiv aus (Satzmuster 17). Disfrutar wechselt zu disfrutes.
Freizeit-Insel Höfliche Frage;¿{{c1::Usted sabe a qué hora empieza la película}}?;"Wissen Sie (Sg. höflich), um wie viel Uhr der Film beginnt?";Bilde die Frage mit usted sabe vor dem Frageausdruck a qué hora und dem Präsens-Verb empieza.;Usted nutzt immer die Verbformen der 3. Person Einzahl (Satzmuster 18).
Freizeit-Insel Vorliebe;{{c1::Me encanta escuchar música clásica en casa}}.;"Ich höre sehr gerne klassische Musik zu Hause.";Wende das psychologische Muster me encanta vor dem Infinitiv escuchar an.;Encantar drückt ein extrem starkes Gefallen aus (Satzmuster 19). Da eine Handlung folgt, bleibt es im Singular.
Freizeit-Insel Personen markieren;{{c1::Invito a mis amigos a ver el partido}}.;"Ich lade meine Freunde ein, das Spiel zu schauen.";Setze das zwingende persönliche a vor die maskuline Pluralgruppe der Personen (a mis amigos).;Menschen als direktes Akkusativ-Objekt verlangen starr das persönliche A (Satzmuster 20).
Freizeit-Insel Routine;Siempre {{c1::me divierto mucho con mis pasatiempos}}.;"Ich amüsiere mich mit meinen Hobbys immer sehr.";Nutze das Präsens des reflexiven Verbs divertirse (sich amüsieren) in der 1. Person (me divierto).;Das Reflexivpronomen me steht ganz starr direkt vor dem Verb (Satzmuster 21). Divertirse hat im Präsens einen Vokalwechsel.
Freizeit-Insel Unpersönlich;Aquí {{c1::se celebran los éxitos con una fiesta grande}}.;"Hier feiert man die Erfolge mit einem großen Fest.";Bilde den unpersönlichen Passiv-Ersatz mit se vor dem Plural-Verb celebran passend zu los éxitos.;Da die Erfolge im Plural stehen, wandert auch das Verb zwingend in den Plural (Satzmuster 22). Éxito ist maskulin.
Freizeit-Insel Zweck von etwas;Este billete {{c1::es para el concierto del sábado}}.;"Dieses Ticket ist für das Konzert am Samstag bestimmt.";Nutze die Zweck-Präposition para kombiniert mit der Genitiv-Verschmelzung del sábado.;Para markiert den Bestimmungszweck (Satzmuster 23). Sábado ist maskulin laut LONERS.
Freizeit-Insel Perfekt Vergangenheit;Hoy {{c1::hemos descubierto un bar excelente en el centro}}.;"Heute haben wir eine exzellente Bar im Zentrum entdeckt.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos und dem unregelmäßigen Partizip descubierto.;Descubrir bildet das Partizip unregelmäßig auf descubierto (Satzmuster 24). Bar ist im Spanischen maskulin.
