main_topic;cloze_test;translation;hint;extra
Imperfekt regelmäßige Verben;Yo {{c1::leía}} el libro todos los días.;Ich las das Buch jeden Tag.;Bilde die 1. Person Singular im Imperfekt für das regelmäßige Verb leer (lesen).;Das Imperfekt wird für wiederholte gewohnheitsmäßige Handlungen in der Vergangenheit genutzt (Signalwort: todos los días).
Imperfekt unregelmäßig ser;Cuando era niño todo {{c1::era}} hermoso.;Als ich ein Kind war war alles wunderschön.;Bilde die 3. Person Singular des unregelmäßigen Verbs ser (sein) im Imperfekt (era).;Das Verb ser ist eines der drei einzigen unregelmäßigen Verben im Imperfekt (era eras era éramos erais eran).
Imperfekt unregelmäßig ir;Nosotros {{c1::íbamos}} a la playa cada verano.;Wir gingen jeden Sommer an den Strand.;Bilde die unregelmäßige 1. Person Plural von ir (gehen) im Imperfekt. Denke an den Akzent!;Das Verb ir bildet das Imperfekt mit iba. In der wir-Form ist ein schriftlicher Akzent Pflicht (íbamos).
Imperfekt unregelmäßig ver;Yo {{c1::veía}} a mis amigos muy a menudo.;Ich sah meine Freunde sehr oft.;Bilde die unregelmäßige 1. Person Singular von ver (sehen) im Imperfekt (veía).;Das Verb ver behält im Imperfekt das e des Wortstamms vor der ía-Endung (veía veías veía...).
Imperfekt regelmäßige Verben;Él {{c1::tenía}} una gran sonrisa siempre.;Er hatte immer ein großes Lächeln.;Bilde die 3. Person Singular im Imperfekt für das hochfrequente Verb tener (haben).;Wörter auf -er und -ir haben im Imperfekt exakt dieselben Endungen (ía ías ía íamos íais ían).
Imperfekt regelmäßige Verben;Ella {{c1::estaba}} muy feliz en esa época.;Sie war in jener Zeit sehr glücklich.;Bilde die 3. Person Singular im Imperfekt für das Verb estar (sein für Befinden/Zustände).;Verben auf -ar enden im Imperfekt starr auf -aba (aba abas aba ábamos abais aban).
Imperfekt regelmäßige Verben;Nosotros {{c1::hablábamos}} español cada día.;Wir sprachen jeden Tag Spanisch.;Bilde die 1. Person Plural im Imperfekt für das Verb hablar. Denke an den Akzent auf dem á!;Bei Verben auf -ar verlangt die wir-Form im Imperfekt immer einen schriftlichen Akzent auf dem á (ábamos).
Imperfekt regelmäßige Verben;Tú {{c1::hacías}} un buen trabajo siempre.;Du hast immer gute Arbeit gemacht (Du machtest immer gute Arbeit).;Bilde die 2. Person Singular im Imperfekt für das hochfrequente Verb hacer (machen/tun).;Im Gegensatz zum Indefinido ist hacer im Imperfekt völlig regelmäßig (hacías).
Imperfekt regelmäßige Verben;Ellos {{c1::vivían}} en una ciudad hermosa.;Sie wohnten/lebten in einer wunderschönen Stadt.;Bilde die 3. Person Plural im Imperfekt für das Verb vivir (leben/wohnen).;
Imperfekt regelmäßige Verben;Vosotros {{c1::podíais}} encontrar buenas soluciones.;Ihr konntet immer gute Lösungen finden.;Bilde die 2. Person Plural im Imperfekt für das Verb poder (können).;
