main_topic;cloze_test;translation;hint;extra
"Plural-Dativ & Plural-Akkusativ";"{{c1::Les}} damos {{c2::los libros}}.";"Wir geben ihnen die Bücher.";"Nutze das Dativ-Pronomen für Gruppen (les) und den maskulinen Plural für die Bücher (los libros).";"Dieses Satzmuster bildet die wichtige Brücke vor den se-Mutationen in den Mustern 5 und 6."
"Dativ-Plural mit Personensignal";"{{c1::Les}} escribo un mensaje a los amigos.";"Ich schreibe ihnen (den Freunden) eine Nachricht.";"Das unbetonte Dativ-Pronomen (les) muss zwingend vor dem Verb stehen, da hinten die spezifische Gruppe (a los amigos) genannt wird.";"Das 'les' vor dem Verb kündigt dem spanischen Gehirn bereits an, dass gleich eine Gruppe von der Handlung profitiert."
"Plural-Dativ & Plural-Akkusativ";"{{c1::Les}} vende {{c2::los coches}}.";"Er verkauft ihnen die Autos.";"Nutze das Dativ-Pronomen für 'ihnen' und den maskulinen Plural für die Autos.";""
"Weiblicher Plural im Dativ";"{{c1::Les}} decimos la verdad a las mujeres.";"Wir sagen ihnen (den Frauen) die Wahrheit.";"Das Pronomen 'les' bleibt für Männer und Frauen im Dativ-Plural völlig identisch. Setze das Dativ-Signal davor.";""
"Höflicher Plural im Dativ";"{{c1::Les}} traigo las cartas a ustedes.";"Ich bringe Ihnen (Plural, höflich) die Briefe.";"Nutze das Dativ-Pronomen für die Höflichkeitsform im Plural (ustedes) vor dem Verb.";"Das Pronomen 'les' deckt im Spanischen sowohl das familiäre 'ihnen' als auch das höfliche 'Ihnen' im Plural ab."
"Höflicher Plural im Dativ";"{{c1::Les}} digo las verdades a ustedes.";"Ich sage Ihnen (Plural, höflich) die Wahrheiten.";"Nutze das Dativ-Plural-Pronomen (les) direkt vor dem Verb 'decir'.";""
"Höflicher Plural im Dativ";"{{c1::Les}} trae las bebidas a ustedes.";"Er bringt Ihnen (Plural, höflich) die Getränke.";"Bilde das Dativ-Plural-Signal vor dem Verb 'traer'.";""
"Höflicher Plural im Dativ";"{{c1::Les}} escribimos las cartas a ustedes.";"Wir schreiben Ihnen (Plural, höflich) die Briefe.";"Nutze das Dativ-Pronomen (les) passend zur Höflichkeitsform 'ustedes'.";""
"Dativ-Plural (uns) & Akkusativ-Plural";"Carlos {{c1::nos}} da {{c2::los libros}}.";"Carlos gibt uns die Bücher.";"Nutze das Dativ-Pronomen für 'uns' (nos) vor dem Verb und den maskulinen Plural für die Bücher.";""
"Dativ-Plural (uns) & Akkusativ-Plural";"{{c1::Nos}} hacen {{c2::las preguntas}}.";"Sie (Pl.) stellen uns die Fragen.";"Dativ-Pronomen für 'uns' (nos) vor dem Verb + weiblicher Plural für die Fragen (las preguntas).";"Das Verb 'hacer' (machen/tun) wird im Spanischen fest für das 'Stellen' von Fragen genutzt (hacer preguntas)."
"Dativ-Plural (uns) & Akkusativ-Plural";"{{c1::Nos}} explicas {{c2::los problemas}}.";"Du erklärst uns die Probleme.";"Dativ-Pronomen für 'uns' (nos) vor dem Verb. Achtung: 'problema' bleibt im Plural maskulin!";"Erinnerst du dich an den '-matic'-Hack? El problema ist griechisch, also maskulin. Der Plural heißt 'los problemas'."
"Dativ-Plural (euch) & Akkusativ-Plural";"{{c1::Os}} traigo {{c2::las llaves}}.";"Ich bringe euch die Schlüssel.";"Dativ-Pronomen für 'euch' (os) vor dem Verb + weiblicher Plural für die Schlüssel.";"Die Form 'os' wird vor allem im europäischen Spanisch genutzt."
"Dativ-Plural (euch) & Akkusativ-Plural";"Ellos {{c1::os}} muestran {{c2::las casas}}.";"Sie zeigen euch die Häuser.";"Dativ-Pronomen für 'euch' (os) direkt vor dem Verb 'mostrar'.";""
"Top-300-Verb Variation";"{{c1::Les}} pagamos {{c2::las comidas}}.";"Wir bezahlen ihnen die Essen (die Mahlzeiten).";"Nutze das Dativ-Plural-Pronomen (les) und den weiblichen Plural für das Essen.";""
"Top-300-Verb Variation";"{{c1::Les}} compro {{c2::los vestidos}} a las chicas.";"Ich kaufe den Mädchen die Kleider.";"Dativ-Plural-Pronomen (les) vor dem Verb + maskuliner Plural für die Kleider (los vestidos).";""
"Top-300-Verb Variation";"{{c1::Les}} ofrece {{c2::las habitaciones}} a los huéspedes.";"Er bietet den Gästen die Zimmer an.";"Dativ-Plural-Pronomen (les) vor dem Verb + weiblicher Plural für die Zimmer.";""
"Top-300-Verb Variation";"{{c1::Les}} devuelves {{c2::los documentos}}.";"Du gibst ihnen die Dokumente zurück.";"Dativ-Plural-Pronomen (les) vor dem hochfrequenten Verb 'devolver'.";""
"Kette mit Subjekt (Wir)";"Nosotros {{c1::les}} damos {{c2::los vinos}}.";"Wir geben ihnen die Weine.";"Setze das explizite Subjektpronomen (Nosotros) ganz nach vorne. Das Dativ-Pronomen (les) folgt danach.";""
"Kette mit Subjekt (Sie - fem.)";"Ellas {{c1::nos}} traen {{c2::los vestidos}}.";"Sie (die Frauen) bringen uns die Kleider.";"Subjektpronomen für eine weibliche Gruppe (Ellas) + Dativ (nos) + maskuliner Plural für die Kleider.";""
"Kette mit Subjekt (Ihr)";"Vosotros {{c1::les}} vendéis {{c2::las motos}}.";"Ihr verkauft ihnen die Motorräder.";"Subjektpronomen (Vosotros) + Dativ (les). Achtung: 'moto' bleibt im Plural weiblich (las motos)!";"Das Wort 'moto' ist die Kurzform von 'la motocicleta', weshalb es trotz der Endung -o weiblich bleibt."
