main_topic;cloze_test;translation;hint;extra
Beziehungs-Insel Vorstellung;{{c1::Este es mi amigo Carlos}}.;"Das ist mein Freund Carlos.";Nutze das Demonstrativpronomen este vor dem maskulinen Nomen amigo und dem Eigennamen.;Das Wort amigo ist maskulin laut LONERS-Regel.
Beziehungs-Insel Vorstellung;{{c1::Esta es la madre de María}}.;"Das ist Marias Mutter (Die Mutter von Maria).";Nutze das Demonstrativpronomen esta vor la madre kombiniert mit dem gelernten Genitiv-Muster de.;Vor Vornamen steht im Spanischen kein Artikel weshalb de starr bleibt (Satzmuster 2).
Beziehungs-Insel Herkunft erfragen;¿{{c1::De dónde es tu hermano}}?;"Woher kommt dein Bruder? (Von wo ist dein Bruder)";Bilde die Herkunftsfrage mit de dónde und der 3. Person von ser (es).;Herkunft ist eine dauerhafte Eigenschaft weshalb hier starr ser genutzt wird.
Beziehungs-Insel Befinden;¿{{c1::Cómo está tu familia hoy}}?;"Wie geht es deiner Familie heute?";Nutze das Fragewort cómo mit Akzent vor está passend zum kollektiven Singularnomen familia.;Für das aktuelle Befinden nutzt das Spanische immer estar (Satzmuster 16).
Beziehungs-Insel Pläne;{{c1::Voy a visitar a mi hija mañana}}.;"Ich werde morgen meine Tochter besuchen.";Bilde die Zukunft mit dem periphrastischen Futur ir a vor dem Infinitiv und dem persönlichen a.;Menschen als direktes Akkusativ-Objekt verlangen starr das persönliche A (Satzmuster 20).
Beziehungs-Insel Verabredung;{{c1::Estamos esperando a los amigos aquí}}.;"Wir warten hier auf die Freunde.";Nutze die Verlaufsform estamos esperando kombiniert mit dem persönlichen A im Plural (a los).;Esperar braucht im Spanischen kein auf sondern greift direkt über das persönliche a auf Personen zu.
Beziehungs-Insel Besitzanzeige;¿{{c1::Cuál es el coche del padre de Juan}}?;"Welches ist das Auto von Juans Vater?";Nutze cuál es vor coche und der Genitiv-Verschmelzung del kombiniert mit dem einfachen de.;Hier greift das Besitzmuster: Das Auto von dem Vater von Juan (Satzmuster 2).
Beziehungs-Insel Vorliebe;{{c1::Me gusta mucho hablar con tu hermano}}.;"Ich spreche sehr gerne mit deinem Bruder.";Wende das psychologische Muster me gusta mucho vor dem Infinitiv hablar con an.;Da ein Infinitiv folgt bleibt gustar starr im Singular stehen (Satzmuster 19).
Beziehungs-Insel Höfliche Einladung;{{c1::Venga con nosotros por favor}}.;"Kommen Sie (Sg. höflich) bitte mit uns.";Bilde den bejahenden höflichen Imperativ für Sie mit dem Präpositionalpronomen nosotros.;Der höfliche Imperativ (Satzmuster 18) nutzt die Form des Subjunktivs (venga).
Beziehungs-Insel Zusammenkunft;{{c1::Vamos a ir al parque contigo}}.;"Wir werden mit dir in den Park gehen.";Zukunft mit vamos a ir kombiniert mit der Richtungsverschmelzung al und dem Spezialwort contigo.;Trifft con auf das Pronomen für du verschmelzen sie starr zu contigo (Satzmuster 30).
Beziehungs-Insel Zustand;Mi madre {{c1::está muy feliz esta semana}}.;"Meine Mutter ist diese Woche sehr glücklich.";Nutze das Zustandsverb está vor dem Adjektiv feliz das für beide Geschlechter gleich bleibt.;Für aktuelle Stimmungen und Gefühle gilt immer estar (Satzmuster 16).
Beziehungs-Insel Verneinte Frage;¿{{c1::No tienes el número de Carlos}}?;"Hast du Carlos' Nummer nicht? (Die Nummer von Carlos)";Bilde die verneinte Frage im Präsens. Das no steht ganz links starr vor dem Verb tienes.;Die Verneinung no umschließt das konjugierte Verb von links (Satzmuster 12).
Beziehungs-Insel Höfliche Frage;¿{{c1::Usted conoce a la abuela de Sofía}}?;"Kennen Sie (Sg. höflich) Sofias Oma?";Bilde die Frage mit usted vor conoce und dem persönlichen A vor einer weiblichen Person (a la).;Conocer bedeutet eine Person kennen. abuela ist weiblich laut D-IÓ-A-Z-Regel.
Beziehungs-Insel Großzügigkeit;{{c1::Le doy el regalo a mi hijo}}.;"Ich gebe meinem Sohn das Geschenk.";Wende das Dativ-Signal mit le vor dem Verb und der Präposition a vor der Person an.;Das le vor dem Verb kündigt dem Gehirn bereits an dass ein Empfänger folgt (Satzmuster 3).
Beziehungs-Insel Routine;Hoy {{c1::me levanto temprano con mi hermano}}.;"Heute stehe ich früh mit meinem Bruder auf.";Nutze das Präsens des reflexiven Verbs levantarse (aufstehen) vor der Präposition con.;Das Reflexivpronomen me steht ganz starr direkt vor dem Verb (Satzmuster 21).
Beziehungs-Insel Unpersönlich;Aquí {{c1::se ayudan los amigos siempre}}.;"Hier helfen sich die Freunde immer (Hier wird sich von Freunden immer geholfen).";Bilde den unpersönlichen Passiv-Ersatz mit se vor dem Plural-Verb ayudan passend zu los amigos.;Das Verb richtet sich nach den Freunden im Plural (Satzmuster 22).
Beziehungs-Insel Zweck von etwas;Este mensaje {{c1::es para la novia de Carlos}}.;"Diese Nachricht ist für Carlos' Freundin bestimmt.";Nutze die Zweck-Präposition para kombiniert mit dem einfachen Genitiv de vor dem Eigennamen.;Para markiert den finalen Empfänger der Nachricht (Satzmuster 23).
Beziehungs-Insel Perfekt Vergangenheit;Esta semana {{c1::he visto a mis padres}}.;"Diese Woche habe ich meine Eltern gesehen.";Bilde das gegenwartsorientierte Perfekt für ich mit he visto und dem persönlichen a vor mis padres.;Das Partizip von ver lautet unregelmäßig visto (Satzmuster 24).
Beziehungs-Insel Einfache Verneinung;{{c1::Nunca olvido el cumpleaños de mi amiga}}.;"Nie vergesse ich den Geburtstag meiner Freundin.";Bilde die einfache Verneinung indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca ganz vorne fällt das zusätzliche no komplett weg (Satzmuster 25).
Beziehungs-Insel Abstraktes Nomen;{{c1::Lo bueno de mis amigos es la lealtad}}.;"Das Gute an meinen Freunden ist die Loyalität.";Bilde das abstrakte Substantiv das Gute mit lo + Adjektiv bueno kombiniert mit de mis amigos.;Das neutrale lo wandelt das Adjektiv in ein abstraktes Nomen um (Satzmuster 26).
