main_topic;cloze_test;translation;hint;extra
Estar für Orte (1. Sg.);El libro {{c1::está}} en la mesa.;Das Buch liegt auf dem Tisch.;Nutze die 3. Person Singular von estar für Ortsangaben.;Für Orte nutzt das Spanische ausnahmslos estar. Das deutsche 'liegen' oder 'stehen' wird bei reinen Ortsangaben meist einfach mit 'sein' übersetzt.
Estar für Gefühle (1. Sg.);Hoy {{c1::estoy}} muy feliz.;Heute bin ich sehr glücklich.;Nutze die 1. Person Singular von estar für ein aktuelles Gefühl.;Gefühle und Stimmungen sind vorübergehende Zustände weshalb hier immer estar greift.
Estar für Orte (2. Sg.);¿Tú {{c1::estás}} en la playa?;Bist du am Strand?;Bilde die Frage mit der 2. Person Singular von estar (estás). Denke an den Akzent!;Fast alle Formen von estar tragen im Präsens einen geschriebenen Akzent auf dem a (estás está están).
Estar für Gefühle (3. Sg.);Él {{c1::está}} emocionado por el proyecto.;Er ist begeistert von dem Projekt.;Bilde die 3. Person Singular von estar (está) für ein Gefühl.;
Estar für Orte (1. Pl.);Nosotros {{c1::estamos}} en el centro de la ciudad.;Wir befinden uns im Stadtzentrum.;Nutze die 1. Person Plural von estar (estamos) für eine Ortsangabe.;Die Form estamos braucht als einzige Form im Präsens neben estoy keinen geschriebenen Akzent.
Estar für Gefühle (2. Pl.);Vosotros {{c1::estáis}} listos para ganar.;Ihr seid bereit zu gewinnen.;Bilde die 2. Person Plural von estar (estáis) für einen Zustand. Denke an den Akzent!;Das Adjektiv listo bedeutet mit estar 'bereit' während es mit ser 'intelligent' bedeutet. Ein riesiger Unterschied!
Estar für Orte (3. Pl.);Mis amigos {{c1::están}} en el hotel nuevo.;Meine Freunde sind im neuen Hotel.;Bilde die 3. Person Plural von estar (están) für eine Ortsangabe.;Das Wort hotel ist maskulin laut LONERS-Regel.
Estar für Gefühle (3. Pl.);Las niñas {{c1::están}} muy contentas hoy.;Die Mädchen sind heute sehr zufrieden.;Nutze die 3. Person Plural von estar (están) für einen Gemütszustand.;
Estar für Höflichkeit (Sg.);¿Usted {{c1::está}} cómodo aquí?;Sind Sie (Sg. höflich) hier bequem/komfortabel untergebracht?;Nutze die Form für usted (está) für ein Befinden.;
Estar für Höflichkeit (Pl.);Ustedes {{c1::están}} invitados a la fiesta.;Sie (Pl. höflich) sind zur Party eingeladen.;Nutze die Form für ustedes (están) für einen Zustand.;
Estar Zustand von Sachen;La comida {{c1::está}} muy buena.;Das Essen schmeckt sehr gut (ist gerade sehr gut).;Nutze la comida mit der 3. Person von estar für den aktuellen Geschmack.;Wenn man estar mit Lebensmitteln nutzt (está bueno) meint man den aktuellen Geschmack. Ser bueno würde bedeuten dass das Essen generell gesund ist.
Estar Zustand von Sachen;La puerta {{c1::está}} abierta para todos.;Die Tür steht offen für alle.;Nutze die 3. Person von estar für den Zustand der Tür (geöffnet).;
Estar Zustand von Sachen;Las ventanas {{c1::están}} limpias hoy.;Die Fenster sind heute sauber.;Nutze den Plural von estar für den aktuellen Zustand der Fenster.;
