main_topic;cloze_test;translation;hint;extra
Reflexive Verben (1. Sg.);Me {{c1::levanto}} con energía cada mañana.;Ich stehe jeden Morgen voller Energie auf.;Bilde die 1. Person Singular des reflexiven Verbs levantarse (aufstehen). Das Pronomen me steht vor dem Verb.;Das Pronomen me schmilzt im Infinitiv hinten an (levantarse) wandert aber vor das konjugierte Verb.
Reflexive Verben (2. Sg.);Tú te {{c1::lavas}} las manos.;Du wäschst dir die Hände.;Bilde die 2. Person Singular von lavarse (sich waschen). Nutze das Pronomen te vor dem Verb.;Hier siehst du die eiserne Regel: Im Spanischen sagt man nicht deine Hände (tus manos) sondern einfach die Hände (las manos).
Reflexive Verben (3. Sg. mask.);Él se {{c1::despierta}} con una sonrisa.;Er wacht mit einem Lächeln auf.;Bilde die 3. Person Singular von despertarse (aufwachen). Denke an den Diphthong im Stamm (despierta).;Despertarse wechselt im Präsens zu despierta verliert den Diphthong aber bei wir und ihr.
Reflexive Verben (3. Sg. fem.);Ella se {{c1::alegra}} por tu éxito.;Sie freut sich über deinen Erfolg.;Bilde die 3. Person Singular von alegrarse (sich freuen) mit dem Pronomen se.;Das Wort éxito (Erfolg) ist maskulin laut LONERS-Regel.
Reflexive Verben (1. Pl.);Nosotros nos {{c1::sentimos}} muy bien hoy.;Wir fühlen uns heute sehr gut.;Bilde die 1. Person Plural von sentirse (sich fühlen). Nutze das Pronomen nos vor dem Verb.;Sentirse wechselt im Präsens zu siento (ich fühle mich) verliert aber bei wir den Diphthong (nos sentimos).
Reflexive Verben (2. Pl.);Vosotros os {{c1::dormís}} rápido.;Ihr schlaft schnell ein.;Bilde die 2. Person Plural von dormirse (einschlafen). Nutze das Pronomen os vor dem Verb.;Dormirse bedeutet einschlafen während das normale dormir einfach nur schlafen bedeutet.
Reflexive Verben (3. Pl.);Ellos se {{c1::visten}} de manera elegante.;Sie ziehen sich elegant an.;Bilde die 3. Person Plural von vestirse (sich anziehen). Das Verb wechselt den Stammvokal von e zu i (visten).;
Reflexive Verben Höflichkeit Sg.;Usted se {{c1::mantiene}} en buena forma.;Sie (Sg. höflich) halten sich in guter Form.;Nutze die Form für usted mit dem Pronomen se vor der 3. Person Singular von mantenerse.;Mantenerse folgt der Beugung von tener.
Reflexive Verben Höflichkeit Pl.;Ustedes se {{c1::reúnen}} para celebrar.;Sie (Pl. höflich) treffen (versammeln) sich um zu feiern.;Nutze das Pronomen se vor der 3. Person Plural von reunirse (sich versammeln/treffen).;
Reflexivpronomen beim Infinitiv;Quiero {{c1::levantarme}} temprano mañana.;Ich will morgen früh aufstehen.;Hänge das Reflexivpronomen me direkt an das Ende des Infinitivs von levantar an.;Bei einer Kombination aus Hilfsverb + Infinitiv wandert das Pronomen passend zur Person ans Ende des Infinitivs.
Reflexivpronomen beim Infinitiv;Debes {{c1::lavarte}} la cara.;Du musst dir das Gesicht waschen.;Hänge das passende Pronomen für du (te) an das Ende des Infinitivs von lavar an.;Auch hier gilt: la cara (das Gesicht) statt tu cara (dein Gesicht).
Reflexivpronomen beim Infinitiv;Él va a {{c1::quedarse}} en el hotel.;Er wird im Hotel bleiben.;Zukunftsform mit ir a. Hänge das Pronomen se für er an das Ende des Infinitivs von quedar an.;Quedarse bedeutet bleiben. Das Wort hotel ist maskulin laut LONERS-Regel.
Reflexivpronomen beim Infinitiv;Vamos a {{c1::divertirnos}} mucho hoy.;Wir werden uns heute sehr amüsieren (viel Spaß haben).;Zukunftsform mit vamos a. Hänge das Pronomen nos für wir an den Infinitiv von divertir an.;Divertirse bedeutet sich amüsieren oder Spaß haben.
