main_topic;cloze_test;translation;hint;extra
Verb saber Präsens (1. Sg. - Wissen);Yo {{c1::sé}} la respuesta correcta para el examen.;Ich weiß die richtige Antwort für die Prüfung.;Bilde die unregelmäßige 1. Person Singular von saber (ich weiß) im Präsens. Denke an den Akzent!;Die Form sé hat einen obligatorischen Akzent, um sich vom Pronomen se zu unterscheiden.
Verb saber Präsens (1. Sg. - Fähigkeit);Yo {{c1::sé}} hablar español un poco ahora.;Ich kann ein wenig Spanisch sprechen (ich habe es gelernt).;Bilde die 1. Person Singular von saber (ich kann/weiß) im Präsens mit Akzent.;Saber + Infinitiv drückt eine erlernte Fähigkeit aus (im Deutschen oft als "können" übersetzt).
Verb saber Präsens (1. Sg. - Tatsache);Yo {{c1::sé}} que el director tiene una reunión.;Ich weiß, dass der Leiter ein Treffen hat.;Bilde die 1. Person Singular von saber (ich weiß) im Präsens mit Akzent.;Reunión ist weiblich laut D-IÓ-A-Z-Regel (una reunión).
Verb saber Präsens (1. Sg. - Geheimnis);Yo no {{c1::sé}} el secreto de tu éxito.;Ich weiß das Geheimnis deines Erfolgs nicht.;Bilde die verneinte 1. Person Singular von saber im Präsens mit Akzent.;Éxito ist maskulin laut LONERS-Regel (el éxito).
Verb saber Präsens (1. Sg. - Erreichbarkeit);Yo {{c1::sé}} dónde está el nuevo hospital.;Ich weiß, wo das neue Krankenhaus ist.;Bilde die 1. Person Singular von saber (ich weiß) im Präsens mit Akzent.;Das Ortsverb estar wird hier für die Lage des Krankenhauses genutzt.
Verb saber Präsens (2. Sg. - Frage);¿Tú {{c1::sabes}} qué hora es en este momento?;Weißt du, wie spät es in diesem Moment ist?;Bilde die 2. Person Singular von saber (du weißt) im Präsens.;Die Formen ab der 2. Person Singular sind bei saber im Präsens regelmäßig.
Verb saber Präsens (2. Sg. - Fähigkeit);Tú {{c1::sabes}} cocinar una comida deliciosa.;Du kannst ein köstliches Essen kochen (du beherrschst es).;Bilde die 2. Person Singular von saber (du kannst) im Präsens.;Cocinar (kochen) folgt im Infinitiv direkt auf sabes.
Verb saber Präsens (2. Sg. - Tatsache);Tú {{c1::sabes}} que esto es un gran error.;Du weißt, dass dies ein großer Fehler ist.;Bilde die 2. Person Singular von saber (du weißt) im Präsens.;Error ist im Spanischen ein maskulines Substantiv.
Verb saber Präsens (2. Sg. - Richtung);¿Tú {{c1::sabes}} cómo ir al centro comercial?;Weißt du, wie man zum Einkaufszentrum kommt (geht)?;Bilde die 2. Person Singular von saber (du weißt) im Präsens.;Ir al centro verlangt die Präposition a (a + el = al).
Verb saber Präsens (2. Sg. - Wahrheit);Tú siempre {{c1::sabes}} la verdad de las cosas.;Du weißt immer die Wahrheit über die Dinge.;Bilde die 2. Person Singular von saber (du weißt) im Präsens.;Verdad ist weiblich laut D-IÓ-A-Z-Regel (la verdad).
Verb saber Präsens (3. Sg. - Tatsache);El director {{c1::sabe}} cambiar de estrategia.;Der Leiter weiß, wie man die Strategie wechselt.;Bilde die 3. Person Singular von saber (er/sie/es weiß) im Präsens.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb saber Präsens (3. Sg. - Fähigkeit);Ella {{c1::sabe}} manejar un coche muy rápido.;Sie kann ein Auto sehr schnell fahren (sie hat den Führerschein).;Bilde die 3. Person Singular von saber (er/sie/es kann) im Präsens.;Manejar oder conducir bedeutet fahren/steuern.
Verb saber Präsens (3. Sg. - Wissen);Mi hijo menor no {{c1::sabe}} la lección hoy.;Mein jüngerer Sohn weiß (kann) die Lektion heute nicht.;Bilde die verneinte 3. Person Singular von saber im Präsens.;Lección ist ein weibliches Substantiv (la lección).
Verb saber Präsens (3. Sg. - Herkunft);Nadie {{c1::sabe}} de dónde es ese hombre.;Niemand weiß, woher dieser Mann ist.;Bilde die 3. Person Singular von saber (er/sie/es weiß) im Präsens.;Nadie (niemand) ist unveränderlich und verlangt die 3. Person Singular.
Verb saber Präsens (3. Sg. - Preis);Ella {{c1::sabe}} cuánto cuestan estos libros.;Sie weiß, wie viel diese Bücher kosten.;Bilde die 3. Person Singular von saber (er/sie/es weiß) im Präsens.;Cuestan ist die 3. Person Plural von costar (kosten).
Verb saber Präsens (1. Pl. - Wissen);Nosotros {{c1::sabemos}} la fecha del partido.;Wir wissen das Datum des Spiels.;Bilde die 1. Person Plural von saber (wir wissen) im Präsens. Kein Akzent!;Fecha bedeutet Datum oder Kalendertag (la fecha).
