main_topic;cloze_test;translation;hint;extra
Verb decir Präsens (1. Sg. - Wahrheit);Yo siempre {{c1::digo}} la verdad a mis amigos.;Ich sage meinen Freunden immer die Wahrheit.;Bilde die unregelmäßige 1. Person Singular von decir (ich sage) im Präsens.;Die 1. Person Singular von decir wechselt den Stamm und endet unregelmäßig auf -go (digo).
Verb decir Präsens (1. Sg. - Meinung);Yo {{c1::digo}} que esto es un gran error.;Ich sage, dass dies ein großer Fehler ist.;Bilde die 1. Person Singular von decir (ich sage) im Präsens.;Error ist im Spanischen maskulin (un gran error).
Verb decir Präsens (1. Sg. - Name/Bezeichnung);Yo le {{c1::digo}} Paco porque es su nombre.;Ich nenne (sage zu) ihm Paco, weil es sein Name ist.;Bilde die 1. Person Singular von decir (ich nenne/sage) im Präsens.;Das Pronomen le bezieht sich auf "ihm". Decir + Name drückt "jemanden nennen" aus.
Verb decir Präsens (1. Sg. - Absage);Yo no {{c1::digo}} nada sobre la reunión hoy.;Ich sage heute nichts über die Besprechung.;Bilde die verneinte 1. Person Singular von decir im Präsens.;Reunión ist weiblich laut D-IÓ-A-Z-Regel (la reunión).
Verb decir Präsens (1. Sg. - Tatsache);Yo te {{c1::digo}} lo que tenemos que hacer.;Ich sage dir, was wir tun müssen.;Bilde die 1. Person Singular von decir (ich sage) im Präsens.;"Lo que" bedeutet das, was / was.
Verb decir Präsens (2. Sg. - Frage);¿Tú qué {{c1::dices}} sobre este nuevo plan?;Was sagst du zu diesem neuen Plan?;Bilde die 2. Person Singular von decir (du sagst) im Präsens mit Stammwechsel.;Der Stamm wechselt in der 2. Person Singular von e zu i (dices).
Verb decir Präsens (2. Sg. - Wahrheit);Tú {{c1::dices}} la verdad antes que los demás.;Du sagst die Wahrheit vor den anderen.;Bilde die 2. Person Singular von decir (du sagst) im Präsens.;Verdad ist ein weibliches Substantiv (la verdad).
Verb decir Präsens (2. Sg. - Lüge);Tú siempre me {{c1::dices}} mentiras, lo sé.;Du sagst mir immer Lügen, ich weiß es.;Bilde die 2. Person Singular von decir (du sagst) im Präsens.;"Mentira" (Lüge) stammt aus dem absoluten Grundwortschatz.
Verb decir Präsens (2. Sg. - Tatsache);Tú {{c1::dices}} que el hospital está cerca.;Du sagst, dass das Krankenhaus in der Nähe ist.;Bilde die 2. Person Singular von decir (du sagst) im Präsens.;Das Ortsverb estar wird für die Lage des Krankenhauses genutzt.
Verb decir Präsens (2. Sg. - Geheimnis);Tú no le {{c1::dices}} a nadie el secreto.;Du sagst niemandem das Geheimnis.;Bilde die 2. Person Singular von decir (du sagst) im Präsens.;"No... a nadie" ist die doppelte Verneinung für "niemandem".
Verb decir Präsens (3. Sg. - Tatsache);El director {{c1::dice}} que el contrato está listo.;Der Leiter sagt, dass der Vertrag fertig ist.;Bilde die 3. Person Singular von decir (er/sie/es sagt) im Präsens mit Stammwechsel.;Auch in der 3. Person Singular wechselt das e zu i (dice).
Verb decir Präsens (3. Sg. - Meinung);Ella {{c1::dice}} que la situación es grave.;Sie sagt, dass die Situation schwerwiegend ist.;Bilde die 3. Person Singular von decir (er/sie/es sagt) im Präsens.;Grave endet auf -e und bleibt für beide Geschlechter gleich.
Verb decir Präsens (3. Sg. - Richtung);El mapa {{c1::dice}} cómo ir al centro comercial.;Die Karte sagt (zeigt), wie man zum Einkaufszentrum kommt.;Bilde die 3. Person Singular von decir (es sagt) im Präsens.;"Ir al centro" verlangt die Verschmelzung von a + el = al.
Verb decir Präsens (3. Sg. - Zeit);El reloj {{c1::dice}} que ya es la una de la tarde.;Die Uhr sagt, dass es schon ein Uhr mittags ist.;Bilde die 3. Person Singular von decir (es sagt) im Präsens.;Für "ein Uhr" nutzt man das Verb ser im Singular (es la una).
Verb decir Präsens (3. Sg. - Absage);Él no me {{c1::dice}} nada de su nuevo viaje.;Er sagt mir nichts von seiner neuen Reise.;Bilde die verneinte 3. Person Singular von decir im Präsens.;Viaje ist im Spanischen maskulin (el viaje).
Verb decir Präsens (1. Pl. - Tatsache);Nosotros {{c1::decimos}} la verdad en el informe.;Wir sagen die Wahrheit im Bericht.;Bilde die 1. Person Plural von decir (wir sagen) im Präsens. Kein Stammwechsel!;Die Formen von nosotros und vosotros haben NIEMALS den Stammwechsel zu i (decimos).
