main_topic;cloze_test;translation;hint;extra
Zeit-Insel Gegenwart;{{c1::Hoy tengo mucho trabajo en la oficina}}.;"Heute habe ich viel Arbeit im Büro.";Nutze das Zeitsignal hoy vor dem konjugierten Präsens-Verb tengo.;Das Wort hoy (heute) verankert den Satz starr in der Gegenwart.
Zeit-Insel Zukunft;{{c1::Mañana voy a comprar un libro nuevo}}.;"Morgen werde ich ein neues Buch kaufen.";Bilde die Zukunft mit dem periphrastischen Futur voy a nach dem Zeitsignal mañana (morgen).;Hier greift das gegenwartsorientierte Futur aus Satzmuster 11.
Zeit-Insel Abgeschlossene Vergangenheit;{{c1::Ayer leí el mensaje de Carlos}}.;"Gestern habe ich Carlos' Nachricht gelesen.";Nutze das Zeitsignal ayer vor der 1. Person Singular des Indefinidos von leer (leí).;Ayer (gestern) fordert starr die punktuelle, abgeschlossene Vergangenheit (Satzmuster 14).
Zeit-Insel Gewohnheit Vergangenheit;{{c1::Antes visitaba a mis amigos cada semana}}.;"Früher besuchte ich meine Freunde jede Woche.";Bilde die andauernde Vergangenheit im Imperfekt (visitaba) nach dem Zeitsignal antes (früher).;Gewohnheiten in der Vergangenheit nutzen ausnahmslos das Imperfekt (Satzmuster 15).
Zeit-Insel Frist;{{c1::El informe es para esta tarde}}.;"Der Bericht ist für heute Nachmittag fällig.";Nutze die Zeit-Fristen-Präposition para vor der Zeitangabe esta tarde.;Fristen und Deadlines in der Zukunft werden immer mit para eingeleitet (Satzmuster 23).
Zeit-Insel Dauer;{{c1::Voy a estar en el hotel por tres semanas}}.;"Ich werde für drei Wochen im Hotel sein.";Nutze die Dauer-Präposition por vor dem Zeitraum tres semanas.;Zeiträume und Dauern werden im Spanischen starr mit por verknüpft (Satzmuster 23).
Zeit-Insel Perfekt;{{c1::Este año hemos alcanzado grandes éxitos}}.;"Dieses Jahr haben wir große Erfolge erzielt.";Bilde das gegenwartsorientierte Perfekt für wir mit hemos alcanzado nach dem Signal este año.;Zeiträume, die noch zur Gegenwart gehören (dieses Jahr/diese Woche), fordern das Perfekt (Satzmuster 24).
Zeit-Insel Einfache Verneinung;{{c1::Nunca tengo tiempo por la mañana}}.;"Nie habe ich morgens Zeit.";Bilde die einfache Verneinung, indem du das negative Wort nunca ganz an den Satzanfang stellst.;Steht nunca ganz vorne, fällt das zusätzliche no komplett weg (Satzmuster 25).
Zeit-Insel Abstraktes Nomen;{{c1::Lo mejor de la semana es el fin de semana}}.;"Das Beste an der Woche ist das Wochenende.";Bilde das abstrakte Substantiv das Beste mit lo + Steigerung mejor kombiniert mit del fin de semana.;Das neutrale lo wandelt das Adjektiv in ein abstraktes Nomen um (Satzmuster 26).
Zeit-Insel Relativsatz;El día {{c1::que pasamos juntos fue hermoso}}.;"Der Tag, den wir zusammen verbrachten, war wunderschön.";Verknüpfe den Nebensatz flüssig mit dem Relativpronomen-Allrounder que vor dem Indefinido-Verb.;Das Wörtchen que reicht für 90 % aller spanischen Relativsätze völlig aus (Satzmuster 27).
Zeit-Insel Vergleich;Este año {{c1::es más productivo que el año pasado}}.;"Dieses Jahr ist produktiver als das letzte Jahr.";Bilde den Komparativ mit der starren Baukasten-Formel más ... que vor el año pasado.;Das Adjektiv productivo bleibt in seiner Grundform und wird nicht verändert (Satzmuster 28).
Zeit-Insel Bedingungssatz;Si {{c1::tengo tiempo hoy, termino el proyecto}}.;"Wenn ich heute Zeit habe, beende ich das Projekt.";Bilde den realen Konditional im Hier und Jetzt nach der Formel Si + Präsens, Präsens.;Für reale Alltagsbedingungen brauchst du keinen Konjunktiv (Satzmuster 29).
Zeit-Insel Begleitung;¿{{c1::Quieres pasar la tarde conmigo hoy}}?;"Möchtest du heute den Nachmittag mit mir verbringen?";Bilde die Frage mit pasar la tarde kombiniert mit dem unregelmäßigen Spezialwort conmigo.;Trifft con auf das Pronomen für ich, verschmelzen sie starr zu conmigo (Satzmuster 30).
Zeit-Insel Subjunktiv;Espero {{c1::que tengas un buen fin de semana}}.;"Ich hoffe, dass du ein gutes Wochenende hast.";Bilde den Subjunktiv Präsens für du von tener (tengas) nach der Hoffnung espero que.;Hoffnungen lösen im spanischen Nebensatz starr den Subjunktiv aus (Satzmuster 17).
