main_topic;cloze_test;translation;hint;extra
Das neutrale Lo;Lo {{c1::bueno}} del libro es el final.;Das Gute an dem Buch ist das Ende.;Nutze das maskuline Adjektiv bueno nach dem neutralen lo um das abstrakte Substantiv das Gute zu bilden.;Das neutrale lo fordert immer die männliche Grundform des Adjektivs im Singular.
Das neutrale Lo;Lo {{c1::mejor}} del viaje es el sol.;Das Beste an der Reise ist die Sonne.;Nutze lo zusammen mit der unregelmäßigen Steigerung mejor (besser/beste) für das Beste.;Hier siehst du auch wieder die Genitiv-Besitzanzeige del (de + el).
Das neutrale Lo;Lo {{c1::importante}} es sonreír hoy.;Das Wichtige ist es heute zu lächeln.;Nutze das unveränderliche Adjektiv importante nach dem Wort lo.;Adjektive auf -e verändern sich für das neutrale lo optisch nicht.
Das neutrale Lo;Lo {{c1::hermoso}} de la vida está aquí.;Das Schöne am Leben ist hier.;Bilde das abstrakte Substantiv das Schöne mit lo und dem Adjektiv hermoso.;
Das neutrale Lo;Lo {{c1::interesante}} es aprender rápido.;Das Interessante ist es schnell zu lernen.;Nutze das Adjektiv interesante nach dem neutralen lo.;
Das neutrale Lo;Lo {{c1::difícil}} ya pasó.;Das Schwierige ist schon vorbei.;Nutze das unveränderliche Konsonanten-Adjektiv difícil nach dem Wort lo.;
Das neutrale Lo;Lo {{c1::nuevo}} siempre trae alegría.;Das Neue bringt immer Freude.;Bilde das abstrakte Substantiv das Neue mit lo und dem Adjektiv nuevo.;
Das neutrale Lo;Lo {{c1::verdadero}} es el amor.;Das Wahre ist die Liebe.;Nutze das Adjektiv verdadero nach dem neutralen lo.;
Das neutrale Lo;Lo {{c1::malo}} quedó en el pasado.;Das Schlechte blieb in der Vergangenheit.;Nutze das Adjektiv malo nach dem neutralen lo.;Hier siehst du das Indefinido (quedó) für eine abgeschlossene Vergangenheit.
Das neutrale Lo;Lo {{c1::curioso}} es que Carlos tiene el libro.;Das Kurioswichtige/Seltsame ist dass Carlos das Buch hat.;Nutze das Adjektiv curioso nach dem neutralen lo.;
Das neutrale Lo;Lo {{c1::sorprendente}} es el gran éxito.;Das Überraschende ist der große Erfolg.;Nutze das Adjektiv sorprendente nach dem neutralen lo.;Erfolg (éxito) ist maskulin laut LONERS-Regel.
Das neutrale Lo;Lo {{c1::perfecto}} no existe.;Das Perfekte existiert nicht.;Bilde das abstrakte Substantiv das Perfekte mit lo und dem Adjektiv perfecto.;
