main_topic;cloze_test;translation;hint;extra
Höflichkeit Gegenwart (Usted);Usted {{c1::habla}} español muy bien.;Sie (Sg. höflich) sprechen sehr gut Spanisch.;Nutze die 3. Person Singular im Präsens des Verbs hablar (sprechen).;Die Höflichkeitsform usted teilt sich im Präsens immer die Verbformen mit él und ella (er und sie).
Höflichkeit Gegenwart (Usted);Usted {{c1::tiene}} una gran idea.;Sie (Sg. höflich) haben eine große Idee.;Nutze die 3. Person Singular im Präsens des Verbs tener (haben).;
Höflichkeit Gegenwart (Usted);Usted {{c1::vive}} en una ciudad hermosa.;Sie (Sg. höflich) wohnen in einer wunderschönen Stadt.;Nutze die 3. Person Singular im Präsens des Verbs vivir (wohnen).;
Höflichkeit Gegenwart (Ustedes);Ustedes {{c1::hacen}} un trabajo fantástico.;Sie (Pl. höflich) machen eine fantastische Arbeit.;Nutze die 3. Person Plural im Präsens des Verbs hacer (machen).;Die Höflichkeitsform im Plural ustedes teilt sich die Verbformen im Präsens immer mit ellos und ellas (sie).
Höflichkeit Gegenwart (Ustedes);Ustedes {{c1::logran}} el éxito juntos.;Sie (Pl. höflich) erreichen den Erfolg gemeinsam.;Nutze die 3. Person Plural im Präsens des Verbs lograr (erreichen).;
Höflichkeit Gegenwart (Ustedes);Ustedes {{c1::tienen}} toda la razón.;Sie (Pl. höflich) haben völlig recht.;Nutze die 3. Person Plural im Präsens des Verbs tener (haben).;Tener razón ist die feste spanische Wendung für recht haben.
Höflicher Imperativ Usted (auf -ar);{{c1::Hable}} despacio, por favor.;Sprechen Sie (Sg. höflich) bitte langsam.;Bilde den höflichen Imperativ für Usted für das Verb hablar. Der Vokal wechselt im Subjunktiv-Muster zu -e.;Der höfliche Imperativ nutzt im Spanischen exakt die Formen des Subjunktivs Präsens.
Höflicher Imperativ Usted (auf -ar);{{c1::Compre}} el libro aquí, por favor.;Kaufen Sie (Sg. höflich) das Buch bitte hier.;Bilde den höflichen Imperativ für Usted für das Verb comprar (kaufen).;
Höflicher Imperativ Usted (auf -er);{{c1::Lea}} el libro, por favor.;Lesen Sie (Sg. höflich) das Buch bitte.;Bilde den höflichen Imperativ für Usted für das Verb leer (lesen). Der Vokal wechselt zu -a.;Verben auf -er und -ir nutzen im Subjunktiv und höflichen Imperativ die Endung -a.
Höflicher Imperativ Usted (auf -ir);{{c1::Escriba}} su nombre aquí, por favor.;Schreiben Sie (Sg. höflich) Ihren Namen bitte hier.;Bilde den höflichen Imperativ für Usted für das Verb escribir (schreiben).;
