main_topic;cloze_test;translation;hint;extra
Genitiv bei Eigennamen;Es el libro {{c1::de}} Carlos.;Das ist Carlos' Buch.;Nutze die reine Präposition für von (de) vor dem Eigennamen. Es gibt kein Besitz-S im Spanischen.;Da im Spanischen vor Vornamen kein Artikel steht, gibt es hier auch nichts zu verschmelzen.
Genitiv bei Eigennamen;¿Dónde está el coche {{c1::de}} María?;Wo ist Marias Auto?;Wende die lineare Besitzstruktur an: Das Auto von Maria. Setze die reine Präposition (de) ein.;
Genitiv bei Eigennamen;Es el gato {{c1::de}} Sofía.;Das ist Sofias Katze.;Nutze die reine Präposition (de) vor dem weiblichen Eigennamen.;Das Wort gato ist maskulin, richtet sich aber nach der Katze, nicht nach Sofia.
Genitiv bei Ländern und Städten;Las calles {{c1::de}} Hamburgo son grandes.;Die Straßen Hamburgs sind groß.;Ersetze das deutsche Genitiv-S durch die spanische Von-Struktur (de).;
Genitiv bei Eigennamen;Es la casa {{c1::de}} Juan.;Das ist Juans Haus.;Bilde den Besitz starr von hinten nach vorne mit der Präposition (de).;
Genitiv Verschmelzung del;El coche {{c1::del}} hombre es rojo.;Das Auto des Mannes ist rot.;Pflichtverschmelzung beachten: Wenn die Präposition de auf den männlichen Artikel el trifft, wird daraus zwingend del.;Die Formel lautet: de + el = del. Bei weiblichen oder Pluralformen passiert das nicht.
Genitiv Verschmelzung del;Es el libro {{c1::del}} profesor.;Das ist das Buch des Lehrers.;Nutze die Pflichtverschmelzung (del) für von dem vor dem maskulinen Nomen profesor.;
Genitiv Verschmelzung del;El perro {{c1::del}} niño es pequeño.;Der Hund des Jungen ist klein.;Bilde den Besitz von dem Jungen. Nutze die verschmolzene Form (del).;
Genitiv Verschmelzung del;El juguete {{c1::del}} perro es nuevo.;Das Spielzeug des Hundes ist neu.;Nutze die Verschmelzung (del) vor dem maskulinen Nomen perro.;
Genitiv Verschmelzung del;El nombre {{c1::del}} hotel es bonito.;Der Name des Hotels ist schön.;Das Nomen hotel ist maskulin laut LONERS-Regel. Nutze daher die Verschmelzung (del).;
