main_topic;cloze_test;translation;hint;extra
"Enklise Akkusativ Singular";"Puedo {{c1::leerlo}} hoy.";"Ich kann das Buch heute lesen. → Ich kann es heute lesen.";"Hänge das Akkusativ-Pronomen für „das Buch“ (lo) direkt an das Ende des Infinitivs von leer (lesen) an.";"Bei zwei Verben (Hilfsverb + Infinitiv) hast du im Spanischen immer die Wahl: Puedo leerlo ODER Lo puedo leer. Beide Varianten sind zu 100 % korrekt."
"Enklise Akkusativ Singular";"Debes {{c1::regarla}}.";"Du musst die Blume gießen. → Du musst sie gießen.";"Infinitiv von regar (gießen) + weibliches Akkusativ-Pronomen (la).";""
"Enklise Dativ Singular";"Él quiere {{c1::ayudarme}}.";"Er will mir helfen.";"Infinitiv von ayudar (helfen) + Dativ-Pronomen für „mir“ (me).";"Das Verb querer bedeutet im Spanischen sowohl „wollen“ als auch „lieben“ (z. B. Te quiero – Ich liebe dich)."
"Enklise Dativ Plural";"Ellos pueden {{c1::visitarnos}} mañana.";"Sie können uns morgen besuchen.";"Infinitiv von visitar (besuchen) + Pronomen für „uns“ (nos).";""
"Enklise Akkusativ Plural";"Queremos {{c1::cumplirlos}}.";"Wir möchten unsere Träume erfüllen. → Wir möchten sie erfüllen.";"Infinitiv von cumplir (erfüllen) + maskulines Plural-Pronomen (los).";"Das Verb cumplir nutzt man im Spanischen auch für Geburtstage: Cumplir años bedeutet „älter werden“ / „Geburtstag haben“."
"Doppelte Enklise mit Mutation";"Puedo {{c1::dárselo}} a él.";"Ich kann es ihm (Carlos) geben.";"Infinitiv von dar + Wohlklang-Mutation (se für ihm) + Akkusativ (lo für es). Achtung: Akzent auf dem „á“!";"Durch das Anhängen von zwei Pronomen wird das Wort so lang, dass die Betonung ohne Akzent nach hinten rutschen würde. Der Akzent auf dem á sichert die korrekte Aussprache."
"Doppelte Enklise mit Mutation";"Debes {{c1::traérsela}}.";"Du musst ihn (den Schlüssel, la llave) ihr bringen. → Du musst ihn ihr bringen.";"Infinitiv von traer (bringen) + se (ihr) + la (den Schlüssel). Denke an den Akzent auf dem „é“!";""
"Doppelte Enklise ohne Mutation";"Él quiere {{c1::mostrárnoslas}}.";"Er will sie (die Fotos) uns zeigen. → Er will sie uns zeigen.";"Infinitiv von mostrar (zeigen) + nos (uns) + las (die Fotos). Akzent auf dem „á“!";"Merkregel für die Pronomen-Reihenfolge: Wem (nos) vor Was (las)."
"Doppelte Enklise ohne Mutation";"Queremos {{c1::enviártelo}}.";"Wir möchten es (das Geschenk) dir schicken. → Wir möchten es dir schicken.";"Infinitiv von enviar (schicken) + te (dir) + lo (das Geschenk). Akzent auf dem „á“!";""
"Doppelte Enklise ohne Mutation";"Debes {{c1::decírmela}}.";"Du musst sie (die Wahrheit) mir sagen. → Du musst sie mir sagen.";"Infinitiv von decir (sagen) + me (mir) + la (die Wahrheit). Akzent auf dem „í“!";""
"Futur-Enklise Akkusativ";"Voy a {{c1::tomarlo}}.";"Ich werde ihn (den Kaffee) trinken.";"Zukunft mit voy a + Infinitiv von tomar (zu sich nehmen) + maskulines Pronomen (lo).";"Beim Futur mit ir a darf das Pronomen entweder ganz nach vorne (Lo voy a tomar) oder ganz nach hinten an den Infinitiv (Voy a tomarlo). Niemals dazwischen!"
"Futur-Enklise Akkusativ";"Vamos a {{c1::cantarlas}}.";"Wir werden sie (die Lieder) singen.";"Zukunft mit vamos a + Infinitiv von cantar (singen) + weibliches Plural-Pronomen (las).";""
"Futur-Enklise mit Mutation";"Él va a {{c1::mostrársela}} a vosotros.";"Er wird euch die schöne Stadt zeigen. → Er wird euch sie zeigen.";"Zukunft mit va a + Infinitiv von mostrar + se (euch – mutiert, da la folgt) + la (die Stadt). Akzent auf dem „á“!";"Da os la vor lo/la zu se la mutiert, schafft das hintere a vosotros die nötige Klarheit, dass „euch“ gemeint ist."
"Modal-Enklise Akkusativ";"Sé {{c1::cantarla}}.";"Ich weiß (wie man) es singt. → Ich kann es singen.";"Das konjugierte sé (ich weiß) + Infinitiv von cantar + weibliches Akkusativ-Pronomen für die Lied-Kurzform (la).";"Das Verb saber bedeutet „wissen“, im Sinne von „eine Fähigkeit gelernt haben“ übersetzt man es im Deutschen aber am besten mit „können“."
"Futur-Enklise Akkusativ";"Vas a {{c1::saberla}} mañana.";"Du wirst sie (die Antwort) morgen wissen.";"Zukunft mit vas a + Infinitiv von saber + weibliches Pronomen (la).";""
"Höflichkeitsform Enklise";"Usted puede {{c1::llamarnos}} esta noche.";"Sie (Usted) können uns heute Abend anrufen.";"Hilfsverb puede + Infinitiv von llamar (anrufen) + Pronomen für „uns“ (nos).";"Esta noche bedeutet im Spanischen sowohl „heute Abend“ als auch „heute Nacht“."
"Doppelte Enklise Höflichkeit";"Quiero {{c1::regalársela}} a usted.";"Ich möchte sie (die Überraschung, la sorpresa) Ihnen (Usted) schenken. → Ich möchte sie Ihnen schenken.";"Infinitiv von regalar (schenken) + se (Ihnen) + la (die Überraschung). Akzent auf dem „á“!";""
"Modal-Enklise Akkusativ";"Debemos {{c1::terminarlo}} hoy.";"Wir müssen es (das Projekt, mask.) heute beenden.";"Infinitiv von terminar (beenden) + maskulines Pronomen (lo).";""
"Modal-Enklise Akkusativ";"Debéis {{c1::celebrarlos}}.";"Ihr solltet sie (die Erfolge) feiern!";"Infinitiv von celebrar (feiern) + maskulines Plural-Pronomen (los).";""
"Doppelte Enklise Optimistisch";"Un día hermoso puede {{c1::ofrecértelo}}.";"Ein schöner Tag kann es (das Lächeln, la sonrisa) dir schenken. → Er kann es dir schenken.";"Infinitiv von ofrecer (anbieten/schenken) + te (dir) + lo (das Lächeln / die Sache). Akzent auf dem „é“!";"Das Wort sonrisa ist im Spanischen weiblich, aber wenn man abstrakt von „es“ im Sinne eines Geschenks spricht, greift man zum maskulinen/neutralen Pronomen lo."
