main_topic;cloze_test;translation;hint;extra
Relativsatz-Allrounder que;El libro {{c1::que}} Carlos lee es rojo.;Das Buch, das Carlos liest, ist rot.;Nutze das universelle Relativpronomen que (das) um den Nebensatz mit dem Buch zu verknüpfen.;Das Wörtchen que bleibt für männliche und weibliche Dinge im Singular und Plural völlig unveränderlich.
Relativsatz bei Personen;Carlos {{c1::que}} es mi amigo lee el libro.;Carlos, der mein Freund ist, liest das Buch.;Nutze das unkomplizierte Relativpronomen que (der) direkt nach der Person Carlos.;Im Gegensatz zum Deutschen unterscheidet das Spanische bei normalen Relativsätzen nicht zwischen Sachen und Personen.
Relativsatz feminin Singular;La casa {{c1::que}} compramos es hermosa.;Das Haus, das wir kaufen, ist wunderschön.;Setze das universelle Relativpronomen que (das) nach dem weiblichen Nomen casa ein.;
Relativsatz maskulin Plural;Los coches {{c1::que}} ves son rápidos.;Die Autos, die du siehst, sind schnell.;Nutze das unveränderliche Relativpronomen que (die) nach dem Pluralnomen coches.;
Relativsatz feminin Plural;Las flores {{c1::que}} crecen aquí son bonitas.;Die Blumen, die hier wachsen, sind schön.;Nutze das universelle Relativpronomen que (die) nach dem weiblichen Pluralnomen flores.;
Relativsatz mit Top-300-Verb;La música {{c1::que}} escucho me encanta.;Die Musik, die ich höre, liebe ich.;Setze das Relativpronomen que (die) ein um den Nebensatz flüssig anzuschließen.;Hier siehst du auch das psychologische Verb encantar aus Satzmuster 19.
Relativsatz mit Top-300-Verb;El amigo {{c1::que}} me ayuda es muy bueno.;Der Freund, der mir hilft, ist sehr gut.;Nutze das Relativpronomen que (der) nach dem maskulinen Nomen amigo.;Hier greift auch die starr vor dem Verb stehende Pronomenkette me ayuda.
Relativsatz mit Top-300-Verb;Las fotos {{c1::que}} muestras son preciosas.;Die Fotos, die du zeigst, sind wunderschön.;Setze das Allround-Relativpronomen que (die) nach der weiblichen Kurzform fotos ein.;
Relativsatz mit Top-300-Verb;El mensaje {{c1::que}} escribes es importante.;Die Nachricht, die du schreibst, ist wichtig.;Nutze das universelle Relativpronomen que (die) nach dem maskulinen Nomen mensaje.;Das Wort mensaje ist maskulin laut LONERS-Regel.
Relativsatz mit Top-300-Verb;La comida {{c1::que}} preparamos está buena.;Das Essen, das wir zubereiten, schmeckt gut.;Setze das Relativpronomen que (das) nach dem weiblichen Nomen comida ein.;Hier siehst du auch estar bueno für den aktuellen Geschmack (Satzmuster 16).
