main_topic;cloze_test;translation;hint;extra
Indefinido regelmäßige Verben;Ayer {{c1::leí}} el libro.;Gestern habe ich das Buch gelesen.;Bilde die 1. Person Singular im Indefinido für das regelmäßige Verb leer (lesen).;Das Indefinido wird für abgeschlossene Handlungen in der Vergangenheit genutzt (Signalwort: ayer - gestern).
Indefinido unregelmäßig ser/ir;El viaje {{c1::fue}} hermoso.;Die Reise war wunderschön.;Bilde die 3. Person Singular von ser (sein) im Indefinido.;Die Verben ser (sein) und ir (gehen) haben im Indefinido exakt dieselben unregelmäßigen Formen (fui, fuiste, fue...).
Indefinido unregelmäßig ser/ir;Ayer {{c1::fui}} a la playa.;Gestern bin ich an den Strand gegangen.;Bilde die 1. Person Singular von ir (gehen) im Indefinido.;Hier siehst du ir im Einsatz. Der Kontext (a la playa) verrät dass es gegangen und nicht war bedeutet.
Indefinido unregelmäßig hacer;Ayer {{c1::hice}} todo el trabajo.;Gestern habe ich die ganze Arbeit gemacht.;Bilde die unregelmäßige 1. Person Singular von hacer (machen/tun) im Indefinido.;Hacer wechselt in der Form für ich komplett zu hice.
Indefinido unregelmäßig tener;Él {{c1::tuvo}} una gran idea.;Er hatte eine große Idee.;Bilde die unregelmäßige 3. Person Singular von tener (haben) im Indefinido.;Der unregelmäßige Stamm von tener lautet tuv-.
Indefinido unregelmäßig estar;Ayer {{c1::estuve}} en casa.;Gestern war ich zu Hause.;Bilde die unregelmäßige 1. Person Singular von estar (sein für Orte) im Indefinido.;Der unregelmäßige Stamm von estar lautet estuv-.
Indefinido unregelmäßig decir;Ella me {{c1::dijo}} la verdad.;Sie hat mir die Wahrheit gesagt.;Bilde die unregelmäßige 3. Person Singular von decir (sagen) im Indefinido.;Der Indefinido-Stamm von decir lautet dij- (dijo).
Indefinido unregelmäßig ver;Ayer {{c1::vi}} a Carlos.;Gestern habe ich Carlos gesehen.;Bilde die 1. Person Singular von ver (sehen) im Indefinido. Achtung: kein Akzent!;Die Form vi wird ohne geschriebenen Akzent geschrieben da sie nur eine Silbe hat.
Indefinido unregelmäßig venir;Mis amigos {{c1::vinieron}} ayer.;Meine Freunde sind gestern gekommen.;Bilde die 3. Person Plural von venir (kommen) im Indefinido.;Der unregelmäßige Stamm von venir lautet vin-.
Indefinido unregelmäßig poder;Nosotros {{c1::pudimos}} encontrar la solución.;Wir konnten die Lösung finden.;Bilde die 1. Person Plural von poder (können) im Indefinido.;Der unregelmäßige Stamm von poder lautet pud-.
Indefinido unregelmäßig querer;Tú {{c1::quisiste}} celebrar la vida.;Du wolltest das Leben feiern.;Bilde die 2. Person Singular von querer (wollen) im Indefinido.;Der unregelmäßige Stamm von querer lautet quis-.
Indefinido unregelmäßig saber;Ayer {{c1::supe}} la gran noticia.;Gestern habe ich die große Nachricht erfahren (gewusst).;Bilde die 1. Person Singular von saber (wissen) im Indefinido.;Saber im Indefinido bedeutet oft punktuell etwas erfahren (supe) statt dauerhaft wissen.
Indefinido unregelmäßig dar;Ella le {{c1::dio}} el regalo a él.;Sie hat ihm das Geschenk gegeben.;Bilde die 3. Person Singular von dar (geben) im Indefinido. Achtung: kein Akzent!;Die Form dio hat keinen Akzent da sie einsilbig ist.
Indefinido regelmäßige Verben;Nosotros {{c1::compramos}} un coche nuevo el año pasado.;Wir haben letztes Jahr ein neues Auto gekauft.;Bilde die 1. Person Plural im Indefinido für ein regelmäßiges Verb auf -ar (comprar).;Bei Verben auf -ar ist die Form für wir im Präsens und im Indefinido exakt gleich (compramos).
Indefinido regelmäßige Verben;Vosotros {{c1::vivisteis}} en una ciudad bonita.;Ihr habt in einer schönen Stadt gewohnt/gelebt.;Bilde die 2. Person Plural im Indefinido für ein regelmäßiges Verb auf -ir (vivir).;
Indefinido mit Pronomen vorne;Lo {{c1::leí}} ayer.;Ich habe es gestern gelesen.;Das Pronomen lo steht vorne. Ergänze die 1. Person Singular von leer im Indefinido.;Bei einfachen kurzen Zeitformen wie dem Indefinido stehen unbetonte Pronomen im Aussagesatz immer vor dem konjugierten Verb.
Indefinido mit Pronomen vorne;La {{c1::compré}} la semana pasada.;Ich habe sie (la moto) letzte Woche gekauft.;Das feminine Pronomen la steht vorne. Ergänze comprar für ich im Indefinido mit Akzent.;Regelmäßige Verben auf -ar enden in der ich-Form im Indefinido immer auf ein betontes -é.
Indefinido mit Pronomen vorne;Me {{c1::gustó}} mucho la comida.;Das Essen hat mir sehr geschmeckt (gefallen).;Bilde die 3. Person Singular im Indefinido für das Verb gustar.;Da la comida das Subjekt ist steht gustar in der 3. Person Singular (gustó).
Indefinido mit doppelten Pronomen;Se lo {{c1::di}} a Carlos.;Ich habe es Carlos gegeben (Ich habe es ihm gegeben).;Die Pronomen se lo stehen bereits vorne. Ergänze dar für ich im Indefinido (di).;Auch in der Vergangenheit gilt deine eiserne Formel: no + Dativ + Akkusativ + Verb.
Indefinido mit doppelten Pronomen;Se las {{c1::trajiste}} a ella.;Du hast sie (las llaves) ihr gebracht.;Die Pronomen se las stehen vorne. Ergänze die unregelmäßige 2. Person von traer (traer -> trajiste).;
Optimistischer Satz;El año pasado {{c1::logramos}} el éxito.;Letztes Jahr haben wir den Erfolg erzielt/erreicht.;Bilde das Indefinido für wir mit dem Verb lograr (erreichen).;El año pasado (letztes Jahr) ist ein typisches Signalwort für das Indefinido.
Optimistischer Satz;Ayer {{c1::disfruté}} del hermoso día.;Gestern habe ich den wunderschönen Tag genossen.;Bilde die 1. Person Singular im Indefinido für das Verb disfrutar (genießen).;
Optimistischer Satz;El sol {{c1::brilló}} toda la tarde.;Die Sonne hat den ganzen Nachmittag geschienen.;Bilde die 3. Person Singular im Indefinido für das Verb brillar (scheinen).;Regelmäßige Verben auf -ar enden in der 3. Person Singular im Indefinido immer auf ein betontes -ó.
Optimistischer Satz;La situación {{c1::cambió}} para bien.;Die Situation hat sich zum Guten verändert.;Bilde die 3. Person Singular im Indefinido für das Verb cambiar (verändern).;
Optimistischer Satz;¿{{c1::Sonreíste}} cuando viste la foto?;Hast du gelächelt als du das Foto gesehen hast?;Bilde die 2. Person Singular im Indefinido für das Verb sonreír (lächeln).;
Verneintes Indefinido;No {{c1::perdí}} la esperanza.;Ich habe die Hoffnung nicht verloren.;Setze das verneinte Verb im Indefinido für ich ein (perder -> perdí).;Deine Pareto-Regel 12 bleibt starr: Das no steht immer direkt vor dem konjugierten Verb.
Verneintes Indefinido;Ella no {{c1::dijo}} nada malo.;Sie hat nichts Schlechtes gesagt.;Nutze die 3. Person Singular von decir (dijo) nach der Verneinung no.;Hier siehst du wieder die doppelte Verneinung (no + Verb + nada).
Indefinido in einer Frage;¿{{c1::Ganasteis}} el partido el sábado?;Habt ihr das Spiel am Samstag gewonnen?;Bilde die Frage im Indefinido für ihr mit dem Verb ganar (gewinnen).;
Indefinido Höflichkeitsform;Usted {{c1::tomó}} una buena decisión.;Sie (Sg. höflich) haben eine gute Entscheidung getroffen.;Nutze die 3. Person Singular im Indefinido für das Höflichkeitspronomen usted (tomar -> tomó).;Entscheidungen treffen wird im Spanischen oft mit tomar una decisión ausgedrückt.
Indefinido Höflichkeitsform Plural;Ustedes {{c1::crearon}} algo hermoso.;Sie (Pl. höflich) haben etwas Wunderschönes erschaffen.;Nutze die 3. Person Plural im Indefinido für das Pronomen ustedes (crear -> crearon).;
