main_topic;cloze_test;translation;hint;extra
Gustar im Singular (mir);Me {{c1::gusta}} el libro.;Ich mag das Buch (Das Buch gefällt mir).;Das Nomen el libro steht im Singular weshalb das Verb gustar die Form gusta annehmen muss.;Die Person steht als Dativpronomen me vor dem Verb. Das Buch ist das eigentliche Subjekt des Satzes.
Gustar im Plural (mir);Me {{c1::gustan}} los libros.;Ich mag die Bücher (Die Bücher gefallen mir).;Das Nomen los libros steht im Plural weshalb das Verb gustar zwingend zu gustan anwachsen muss.;Hier siehst du den Hebel: Das Verb ändert sich nur weil die Sache in die Mehrzahl rutscht nicht die Person.
Gustar im Singular (dir);Te {{c1::gusta}} el jardín.;Du magst den Garten.;Nutze das Dativpronomen für dir (te) vor der Singularform gusta.;Das Wort jardín ist maskulin laut LONERS-Regel.
Gustar im Plural (dir);Te {{c1::gustan}} las flores.;Du magst die Blumen.;Nutze das Dativpronomen für dir (te) vor der Pluralform gustan.;
Gustar im Singular (ihm/ihr);Le {{c1::gusta}} la música.;Er/Sie mag die Musik.;Nutze das Dativpronomen für ihm/ihr (le) vor der Singularform gusta.;Ohne Kontext ist le zweideutig weshalb man oft das Klarstellungssignal (a él / a ella) nutzt.
Gustar im Plural (ihm/ihr);Le {{c1::gustan}} die Songs.;Er/Sie mag die Lieder.;Nutze das Dativpronomen für ihm/ihr (le) vor der Pluralform gustan.;Das Wort canción verliert im Plural canciones seinen geschriebenen Akzent.
Gustar im Singular (uns);Nos {{c1::gusta}} esta ciudad.;Wir mögen diese Stadt.;Nutze das Dativpronomen für uns (nos) vor der Singularform gusta.;
Gustar im Plural (uns);Nos {{c1::gustan}} los viajes.;Wir mögen die Reisen.;Nutze das Dativpronomen für uns (nos) vor der Pluralform gustan.;Das Wort viaje ist maskulin laut LONERS-Regel.
Gustar im Singular (euch);Os {{c1::gusta}} el sol.;Ihr mögt die Sonne.;Nutze das Dativpronomen für euch (os) vor der Singularform gusta.;
Gustar im Plural (euch);Os {{c1::gustan}} los días hermosos.;Ihr mögt die wunderschönen Tage.;Nutze das Dativpronomen für euch (os) vor der Pluralform gustan.;
Gustar im Singular (ihnen);Les {{c1::gusta}} el nuevo proyecto.;Sie (Pl.) mögen das neue Projekt.;Nutze das Dativpronomen für ihnen (les) vor der Singularform gusta.;
Gustar im Plural (ihnen);Les {{c1::gustan}} los coches rápidos.;Sie (Pl.) mögen die schnellen Autos.;Nutze das Dativpronomen für ihnen (les) vor der Pluralform gustan.;
Gustar mit Infinitiv (Aktion);Me {{c1::gusta}} leer en el parque.;Ich mag es im Park zu lesen (Das Lesen im Park gefällt mir).;Wenn nach gustar ein Infinitiv (eine Handlung) folgt steht das Verb immer starr im Singular (gusta).;Folgen mehrere Infinitive bleibt gustar im alltäglichen Hochspanisch ebenfalls fast immer im Singular.
Gustar mit Infinitiv (Aktion);Nos {{c1::gusta}} viajar juntos.;Wir reisen gerne (Uns gefällt es zusammen zu reisen).;Nutze die Singularform gusta vor dem Infinitiv viajar.;Gerne etwas tun wird im Spanischen standardmäßig über gustar + Infinitiv ausgedrückt.
Gustar mit Klarstellung (mir);A mí me {{c1::gusta}} el café.;Ich mag den Kaffee (besonders).;Nutze das betonte Klarstellungssignal a mí am Satzanfang vor dem unbetoneten me.;Das betonte Signal am Anfang (a mí, a ti...) dient der ausdrücklichen Hervorhebung oder dem Kontrast zu anderen Personen.
Gustar mit Klarstellung (dir);A ti te {{c1::gusta}} sonreír.;Du lächelst gerne.;Nutze das betonte Klarstellungssignal a ti am Satzanfang. Achtung: ti hat keinen Akzent!;
Gustar mit Klarstellung (Carlos);A Carlos le {{c1::gusta}} el éxito.;Carlos mag den Erfolg.;Setze das Dativ-Signal vor den Namen Carlos am Satzanfang. Vor dem Verb steht zwingend le.;Hier greift perfekt deine Pareto-Regel 3: Das le vor dem Verb und das a vor dem Namen bilden eine feste Einheit.
