main_topic;cloze_test;translation;hint;extra
Verb tener Präsens (1. Sg. - Besitz);Yo {{c1::tengo}} un coche nuevo y rojo.;Ich habe ein neues, rotes Auto.;Bilde die unregelmäßige 1. Person Singular von tener (ich habe) im Präsens.;Die 1. Person Singular von tener endet unregelmäßig auf -go (tengo).
Verb tener Präsens (1. Sg. - Alter);Yo {{c1::tengo}} treinta años de edad.;Ich bin dreißig Jahre alt (Ich habe 30 Jahre von Alter).;Bilde die 1. Person Singular von tener im Präsens für eine Altersangabe.;Das Alter wird im Spanischen immer mit tener (haben) ausgedrückt, nie mit ser oder estar.
Verb tener Präsens (1. Sg. - Zustand Hunger);Hoy yo {{c1::tengo}} mucha hambre.;Heute habe ich großen Hunger.;Bilde die 1. Person Singular von tener (ich habe) im Präsens.;Hambre ist weiblich (mucha hambre), nutzt im Singular aber den Artikel el (el hambre) wegen des betonten "a".
Verb tener Präsens (1. Sg. - Verpflichtung);Yo {{c1::tengo que}} trabajar hasta tarde hoy.;Ich muss heute bis spät arbeiten.;Bilde die Form für eine persönliche Verpflichtung (ich muss) im Präsens.;Die Struktur tener que + Infinitiv drückt eine persönliche Notwendigkeit aus ("müssen").
Verb tener Präsens (1. Sg. - Zustand Kälte);En esta sala yo {{c1::tengo}} frío.;In diesem Saal ist mir kalt (habe ich Kälte).;Bilde die 1. Person Singular von tener (ich habe) im Präsens.;Körperliche Empfindungen wie Kälte (frío) oder Hitze (calor) nutzen das Verb tener.
Verb tener Präsens (2. Sg. - Besitz);¿Tú {{c1::tienes}} tiempo para hablar ahora?;Hast du jetzt Zeit zu sprechen?;Bilde die 2. Person Singular von tener (du hast) im Präsens mit Stammwechsel.;Der Stamm wechselt in der 2. Person von e zu ie (tienes).
Verb tener Präsens (2. Sg. - Zustand Durst);Tú {{c1::tienes}} mucha sed después de correr.;Du hast großen Durst nach dem Laufen.;Bilde die 2. Person Singular von tener (du hast) im Präsens.;Sed ist ein weibliches Substantiv (mucha sed) laut D-IÓ-A-Z-Regel.
Verb tener Präsens (2. Sg. - Verpflichtung);Tú {{c1::tienes que}} estudiar para el examen.;Du musst für die Prüfung lernen.;Bilde die Struktur für du musst (Verpflichtung) im Präsens.;Hinter tener que folgt immer das Verb im Infinitiv.
Verb tener Präsens (2. Sg. - Zustand Angst);¿Tú {{c1::tienes}} miedo de los perros grandes?;Hast du Angst vor großen Hunden?;Bilde die 2. Person Singular von tener (du hast) im Präsens.;"Tener miedo de" ist die feste Struktur für "Angst haben vor".
Verb tener Präsens (2. Sg. - Recht haben);Tú {{c1::tienes}} razón con lo que dices.;Du hast recht mit dem, was du sagst.;Bilde die 2. Person Singular von tener (du hast) im Präsens.;Razón ist weiblich (la razón) und bedeutet "der Grund" oder "das Recht".
Verb tener Präsens (3. Sg. - Besitz);El director {{c1::tiene}} una reunión importante.;Der Leiter hat ein wichtiges Treffen.;Bilde die 3. Person Singular von tener (er/sie/es hat) im Präsens mit Stammwechsel.;Auch in der 3. Person Singular wechselt das e zu ie (tiene).
Verb tener Präsens (3. Sg. - Alter);Mi hijo menor {{c1::tiene}} cinco años.;Mein jüngerer Sohn ist fünf Jahre alt.;Bilde die 3. Person Singular von tener für die Altersangabe.;Años steht immer im Plural bei Altersangaben über einem Jahr.
Verb tener Präsens (3. Sg. - Zustand Schlaf);Ella {{c1::tiene}} mucho sueño por la mañana.;Sie ist morgens sehr müde (Sie hat viel Schlaf/Müdigkeit).;Bilde die 3. Person Singular von tener (er/sie/es hat) im Präsens.;Sueño bedeutet Traum oder Schlaf/Müdigkeit.
Verb tener Präsens (3. Sg. - Verpflichtung);Él {{c1::tiene que}} cambiar de coche pronto.;Er muss bald das Auto wechseln.;Bilde die Struktur für er/sie muss (Verpflichtung) im Präsens.;"Cambiar de" bedeutet eine Sache gegen eine andere auszutauschen.
Verb tener Präsens (3. Sg. - Erfolg/Glück);Ella siempre {{c1::tiene}} suerte en el juego.;Sie hat immer Glück im Spiel.;Bilde die 3. Person Singular von tener (er/sie/es hat) im Präsens.;Suerte ist ein weibliches Substantiv (la suerte).
Verb tener Präsens (1. Pl. - Besitz);Nosotros {{c1::tenemos}} una familia muy grande.;Wir haben eine sehr große Familie.;Bilde die 1. Person Plural von tener (wir haben) im Präsens. Kein Stammwechsel!;Die Formen von nosotros und vosotros haben NIEMALS einen Stammwechsel (tenemos).
Verb tener Präsens (1. Pl. - Zustand Eile);Hoy nosotros {{c1::tenemos}} mucha prisa.;Heute haben wir große Eile (Wir sind sehr in Eile).;Bilde die 1. Person Plural von tener (wir haben) im Präsens.;Prisa (Eile) ist weiblich, daher nutzt man mucha statt mucho.
Verb tener Präsens (1. Pl. - Verpflichtung);Nosotros {{c1::tenemos que}} buscar soluciones.;Wir müssen nach Lösungen suchen.;Bilde die Struktur für wir müssen (Verpflichtung) im Präsens.;Buscar bedeutet suchen und verlangt im Spanischen keine Präposition für Sachen.
Verb tener Präsens (1. Pl. - Zustand Hitze);En verano nosotros {{c1::tenemos}} mucho calor.;Im Sommer ist uns sehr heiß (haben wir viel Hitze).;Bilde die 1. Person Plural von tener (wir haben) im Präsens.;Calor ist im Spanischen maskulin (mucho calor).
Verb tener Präsens (1. Pl. - Lust haben);Nosotros {{c1::tenemos}} ganas de viajar mucho.;Wir haben Lust, viel zu reisen.;Bilde die 1. Person Plural von tener (wir haben) im Präsens.;"Tener ganas de + Infinitiv" bedeutet Lust haben, etwas zu tun.
