main_topic;cloze_test;translation;hint;extra
Reguläres Genus feminin;La casa es {{c1::roja}}.;Das Haus ist rot.;Passe das Adjektiv rojo an das weibliche Nomen casa an.;Bei weiblichen Nomen auf -a enden die meisten flexiblen Adjektive ebenfalls auf -a.
Reguläres Genus maskulin;El perro es {{c1::negro}}.;Der Hund ist schwarz.;Das Nomen perro ist maskulin, das Adjektiv bleibt in der Grundform auf -o.;
Griechische Ausnahmen auf -ma;El problema es {{c1::pesado}}.;Das Problem ist groß/schwerwiegend.;Das Nomen problema endet zwar auf -a, ist aber maskulin. Nutze die männliche Adjektivendung.;Erinnerst du dich an den -matic-Hack? Problematic zeigt, dass el problema im Spanischen maskulin ist.
D-IÓ-A-Z Regel feminin;La ciudad es {{c1::bonita}}.;Die Stadt ist schön.;Das Nomen ciudad ist weiblich. Passe das Adjektiv bonito an.;Wörter auf -dad gehören zur weiblichen D-IÓ-A-Z-Regel.
Sonderfall la mano;La mano está {{c1::limpia}}.;Die Hand ist sauber.;Das Nomen mano endet auf -o, ist aber weiblich. Das Adjektiv muss weiblich sein.;Lass dich nicht von der Endung des Nomens täuschen. Das grammatikalische Geschlecht entscheidet.
Aussprache-Ausnahme el agua;El agua está {{c1::fría}}.;Das Wasser ist kalt.;Das Nomen agua ist weiblich, nutzt im Singular aber el zur besseren Aussprache. Das Adjektiv wird weiblich.;Der weibliche Kern von agua zeigt sich sofort am Adjektiv (fría) und im Plural (las aguas).
LONERS Regel maskulin;El coche es {{c1::rápido}}.;Das Auto ist schnell.;Das Nomen coche endet auf -e und ist laut LONERS maskulin. Passe das Adjektiv an.;
Sonderfall la foto;La foto es {{c1::linda}}.;Das Foto ist schön.;Das Nomen foto ist eine weibliche Kurzform. Das Adjektiv wird weiblich auf -a.;la foto leitet sich von la fotografía ab.
Unveränderliche Adjektive auf -e;La flor es {{c1::verde}}.;Die Blume ist grün.;Adjektive auf -e verändern sich im weiblichen Singular nicht.;Es gibt im Spanischen kein Wort wie verda. verde bleibt starr.
Unveränderliche Adjektive Konsonant;La gata es {{c1::gris}}.;Die Katze ist grau.;Adjektive, die auf einen Konsonanten enden, bleiben für beide Geschlechter gleich.;
Possessivpronomen feminin;Mi amiga es {{c1::pequeña}}.;Meine Freundin ist klein.;Passe das Adjektiv pequeño an das weibliche Nomen amiga an.;
Unveränderliche Adjektive auf -e;Esta sopa está {{c1::caliente}}.;Diese Suppe ist heiß.;Das Adjektiv caliente endet auf -e und bleibt für maskulin und feminin identisch.;
